iteration,particle,dim,depth,heads,dim_head,batch_size,log10_lr,learning_rate,dropout,gate_lr_mult,dsc_lr_mult,dsc_gamma_lr_mult,dsc_gamma_bound,fitness,best_val_RMSE,best_epoch,train_RMSE_at_best,val_RMSE_at_best,train_val_gap,mean_last10_val_RMSE,late_overfit_gap,deep_night_RMSE_at_best,deep_night_abs_max_at_best,elapsed_seconds,status
1,1,128,4,4,32,64,-3.6663997173309326,0.00021557593711563704,0.2989098131656647,10.903475761413574,3.490297794342041,2.1783506870269775,0.02697874791920185,3.5396406813043524,2.5939347534562214,143,1.1580337477758815,2.5939347534562214,1.4359010056803398,2.681216412810624,0.08728165935440257,1.4662376642227173,8.493420600891113,896.85,ok
1,2,192,3,2,32,128,-3.819901943206787,0.00015139030250985172,0.14946815371513367,4.767425537109375,0.8494335412979126,1.4374183416366577,0.03359949216246605,5.214904516191965,3.58601036911937,150,1.2524385508008384,3.58601036911937,2.3335718183185317,3.6764224866411164,0.09041211752174627,2.562596321105957,14.547138214111328,393.65,ok
1,3,192,3,4,32,64,-3.2030951976776123,0.0006264765254941104,0.23871514201164246,10.621191024780273,2.4435112476348877,3.644503593444824,0.03679375723004341,3.9170578259800184,2.73122961879083,72,1.2170709145258556,2.73122961879083,1.5141587042649745,3.5014969478859177,0.7702673290950877,1.2698932886123657,6.3891520500183105,828.76,ok
1,4,128,2,4,64,64,-3.1367223262786865,0.0007299240507149382,0.2920464277267456,6.703071117401123,3.8988399505615234,2.174323081970215,0.028905322775244713,2.799925594338465,2.18400556198921,15,1.3297104740511487,2.18400556198921,0.8542950879380611,2.523097096130237,0.3390915341410272,0.824345052242279,4.153024673461914,729.2,ok
1,5,192,2,8,16,128,-3.5630619525909424,0.00027348785650093896,0.12653949856758118,11.621426582336426,3.590665102005005,2.4443094730377197,0.0210356954485178,2.582644936985941,2.0279804619068034,44,1.1848852080263497,2.0279804619068034,0.8430952538804537,2.409155974107534,0.38117551220073054,0.7254104614257812,2.772141933441162,360.94,ok
1,6,128,3,8,64,64,-3.552374839782715,0.00028030133114302305,0.24821944534778595,8.657439231872559,2.6356117725372314,3.7197728157043457,0.024356167763471603,3.019821575917196,2.270525138542764,90,1.1741209759744284,2.270525138542764,1.0964041625683356,2.500255987838488,0.22973084929572396,0.9929268956184387,6.1243414878845215,825.65,ok
1,7,192,3,2,16,128,-3.956329822540283,0.00011057836837156659,0.1197977066040039,5.461577892303467,1.6127828359603882,1.2334859371185303,0.012943883426487446,3.0996273832745413,2.4016814024360875,150,1.307175508280446,2.4016814024360875,1.0945058941556416,2.4335672095928773,0.03188580715678979,1.4714269638061523,6.130172252655029,412.81,ok
1,8,192,4,8,32,64,-3.305276393890381,0.0004951349764855799,0.18382640182971954,8.704862594604492,2.218703508377075,1.871780514717102,0.02420913241803646,3.4008384306170902,2.583925599736642,111,1.143765398349188,2.583925599736642,1.440160201387454,2.674456446435941,0.0905308466992989,1.241929531097412,6.3081278800964355,916.72,ok
1,9,192,4,4,32,32,-3.3749032020568848,0.00042179050394024187,0.15186430513858795,5.498596668243408,1.402629017829895,3.16206955909729,0.019559267908334732,3.243038203008316,2.438591541517329,128,0.4936945413274955,2.438591541517329,1.9448970001898334,2.5768292538209807,0.13823771230365178,0.5409476161003113,3.9552788734436035,1875.7,ok
1,10,192,3,8,32,64,-3.627175807952881,0.0002359522874828537,0.16273315250873566,5.908848285675049,3.7661051750183105,0.9529441595077515,0.03190857172012329,3.270458662395124,2.340453920109204,102,1.0981013797136807,2.340453920109204,1.2423525403955233,2.5830928617364552,0.2426389416272512,1.1481099128723145,8.423370361328125,846.54,ok
2,1,192,3,4,32,128,-3.59985484440368,0.00025127261274484816,0.23890980705618858,12.0,3.2928729177735936,1.8499541059868831,0.027576200987012453,3.9873125471381563,2.763146620801523,147,1.1468373783603671,2.763146620801523,1.6163092424411558,2.8233163868724005,0.06016976607087754,2.122498035430908,11.938769340515137,417.15,ok
2,2,192,2,4,32,128,-3.7686248149427213,0.00017036296308612503,0.17246397213035056,7.467425584793091,1.8994336128234863,2.409755384451455,0.024599491618573666,2.404222493815938,2.0148967048161803,99,1.1728754986076186,2.0148967048161803,0.8420212062085617,2.128086409291213,0.11318970447503274,0.5764674544334412,2.449556589126587,361.45,ok
2,3,192,3,8,32,128,-3.3859305812480756,0.00041121544559073536,0.17871513590216637,12.0,3.4604939889776087,3.0232430477935424,0.027793756686151028,3.3637170557165694,2.6052597396722703,150,1.1168325433842614,2.6052597396722703,1.488427196288009,2.671030228212917,0.06577048854064671,1.0206077098846436,5.539662837982178,427.98,ok
2,4,192,2,4,64,64,-3.406722366809845,0.0003919923875860385,0.23204642161726952,9.403071165084839,3.59594622426445,2.804205883305593,0.025534298217265116,2.589173469920305,2.0484408147975657,24,1.1658875668235835,2.0484408147975657,0.8825532479739822,2.360595562214466,0.3121547474169004,0.6778262853622437,3.0421335697174072,765.89,ok
2,5,192,2,8,16,128,-3.6118471547961235,0.00024442906427550115,0.1433422565460205,11.47709971666336,3.596010060980916,2.622930198907852,0.02111987489479361,2.603684109289918,2.0336680178539566,60,1.1403206197042375,2.0336680178539566,0.8933473981497191,2.3485797899808842,0.31491177212692767,0.7532875537872314,3.384544610977173,320.34,ok
2,6,128,3,8,32,64,-3.557202624419507,0.00027720264863117546,0.18821943923830986,10.024304288322096,3.5475406250337556,2.669772744178772,0.01855482298809031,3.3232732791076574,2.6710317965449786,86,1.2048937194300875,2.6710317965449786,1.466138077114891,2.769831975959721,0.0988001794147424,0.8645226359367371,3.530954122543335,838.36,ok
2,7,128,2,4,16,64,-3.938703537364036,0.0001151586228515922,0.11034580858809989,8.161577939987183,2.662782907485962,2.283486008644104,0.01999237254622839,2.8562267981087057,2.2597380877954305,53,1.1906733525587911,2.2597380877954305,1.0690647352366394,2.612429862184325,0.35269177438889443,0.6697153449058533,2.6490373611450195,670.26,ok
2,8,192,3,8,16,64,-3.3320015234533695,0.0004655844603052036,0.12382639572024345,11.404862642288208,2.47163896817884,2.5508081000878553,0.02184364690854639,3.3608014994171653,2.5693531970985286,35,1.1988173319311162,2.5693531970985286,1.3705358651674124,2.8132639206816186,0.24391072358308996,1.1278815269470215,4.9108805656433105,790.24,ok
2,9,192,3,4,32,64,-3.2887288592053907,0.0005143646819607771,0.12491767932855848,5.250228712804057,1.8822558534098177,2.1120694875717163,0.02258179227487184,2.943621895420278,2.2181803012208827,100,1.0506639379653093,2.2181803012208827,1.1675163632555734,2.4528855536662992,0.2347052524454165,0.8241913914680481,5.508298397064209,834.65,ok
2,10,192,3,8,32,128,-3.5758488504434114,0.00026555296176603,0.1207970558084016,8.608848333358765,4.0,1.2823518301265697,0.027116096932542202,2.910111453577221,2.2133497686044,147,1.2096561666898233,2.2133497686044,1.0036936019145768,2.288899798141041,0.07555002953664092,1.209367036819458,6.738837718963623,403.64,ok
3,1,192,3,4,32,128,-3.701124803591854,0.00019901013596068017,0.1789098009467125,9.481157993045942,2.457114082965812,2.339747832065754,0.025024977492483613,3.9299874783114097,2.7823509009104366,147,1.158787854758372,2.7823509009104366,1.6235630461520645,2.813776326211452,0.03142542530101533,2.0139482021331787,10.869202613830566,392.65,ok
3,2,192,2,4,16,128,-3.7327308251578755,0.0001850415147201771,0.18856104502100238,9.357425618171693,2.634433662891388,3.0903913144218134,0.018299491237849,2.4259000907738097,1.9939714410433598,64,1.1511577645463837,1.9939714410433598,0.842813676496976,2.1361681944991093,0.14219675345574956,0.6019342541694641,2.955854892730713,348.71,ok
3,3,192,3,4,16,128,-3.6365929991356953,0.00023089099796345797,0.12753303064682214,9.800011981839095,2.450881212388933,1.982193018318835,0.01947669434501573,2.9287064440849715,2.269338471568589,146,1.1214273202401455,2.269338471568589,1.1479111513284435,2.2831461137895177,0.013807642220928784,1.0880310535430908,5.985754013061523,429.15,ok
3,4,192,2,4,32,128,-3.6767224073410034,0.0002105123564224246,0.17204641550779343,8.714007457135823,3.0694176455242603,2.690216171639819,0.02224549132628018,2.441019684577099,2.0068151468281323,80,1.1549433980836894,2.0068151468281323,0.8518717487444429,2.1396147743825,0.13279962755436747,0.6541742086410522,2.9365155696868896,364.26,ok
3,5,192,2,4,32,128,-3.7715351222445612,0.00016922513832216859,0.17482595298955567,8.777099668979645,2.5460099894553423,2.3541084045708907,0.02567018072645474,2.4156735022409364,2.0162572534457883,99,1.1506425617293043,2.0162572534457883,0.865614691716484,2.1099025141655257,0.09364526071973733,0.5949717164039612,2.668240785598755,323.23,ok
3,6,128,3,4,32,128,-3.590629817510869,0.00025666708747822207,0.13645702145401678,7.32430424063838,3.6686288844152677,1.8935150631555997,0.024632461291663844,2.9844845589114066,2.3271438272024727,145,1.1222583955079806,2.3271438272024727,1.2048854316944921,2.341170075495552,0.014026248293079302,1.1123312711715698,5.552577018737793,400.4,ok
