rank,save_dir,batch_size,final_epochs,RMSE,MAE,R2,step1_R2,deep_night_RMSE,deep_night_pred_abs_max,source_best_epoch,source_best_val_RMSE,source_fitness
1,results/pso_ppu_pv2017_ext_20260629_112156/PPU_Full_PSO_Top1/pl4/y2017/train1,128,145,1.7948797675539065,0.9456736445426941,0.9356918931007385,0.9579207897186279,0.31867286562919617,1.395485758781433,145,1.769332234557404,2.020776227154239
2,results/pso_ppu_pv2017_ext_20260629_112156/PPU_Full_PSO_Top2/pl4/y2017/train1,128,145,1.8273868863941505,0.9796656966209412,0.9333414435386658,0.9567260146141052,0.38143831491470337,1.6856708526611328,145,1.7850918747795053,2.044344651619197
3,results/pso_ppu_pv2017_ext_20260629_112156/PPU_Full_PSO_Top3/pl4/y2017/train1,128,145,1.8385906122913043,0.9863994121551514,0.9325215816497803,0.9556050300598145,0.38580450415611267,1.6616325378417969,145,1.7978473188773927,2.0748916771198402
4,results/pso_ppu_pv2017_ext_20260629_112156/PPU_Full_PSO_Top4/pl4/y2017/train1,128,146,1.8282190282392492,1.0172587633132935,0.9332807064056396,0.9584460258483887,0.3609914481639862,1.6239404678344727,146,1.8049101588961156,2.0910437145157554
5,results/pso_ppu_pv2017_ext_20260629_112156/PPU_Full_PSO_Top5/pl4/y2017/train1,128,146,1.8344593347142408,1.0646460056304932,0.9328244924545288,0.9534151554107666,0.33712273836135864,1.499240756034851,146,1.8576045864023962,2.1595831893617032
