epoch,gamma_wase,gamma_dsc,physbias_w_norm_layer0,physbias_w_norm_layer1,physbias_w_norm_layer2,physbias_w_norm_layer3
1,0.024706903845071793,0.038406044244766235,0.08484558016061783,0.03351102024316788,0.046093277633190155,0.0393436998128891
2,0.061060432344675064,0.09023912996053696,0.14227192103862762,0.0752449706196785,0.09649879485368729,0.09592803567647934
3,0.1375674456357956,0.18069133162498474,0.18826770782470703,0.1193542331457138,0.12969337403774261,0.17675304412841797
4,0.3873048424720764,0.3614959418773651,0.23598161339759827,0.15569791197776794,0.16092194616794586,0.2703082859516144
5,0.7050345540046692,0.5866672992706299,0.30302053689956665,0.1884574443101883,0.1725192368030548,0.3676030933856964
6,0.7731613516807556,0.5497322678565979,0.47513070702552795,0.3460758924484253,0.24674542248249054,0.6003913283348083
7,0.7746596932411194,0.5384931564331055,0.586879312992096,0.5097935199737549,0.3509937822818756,0.9085314869880676
8,0.7756671905517578,0.5322898626327515,0.6970693469047546,0.6803829073905945,0.47657784819602966,1.0639536380767822
9,0.7782732844352722,0.5292153358459473,0.8313935399055481,0.8426066040992737,0.5949989557266235,1.1213603019714355
10,0.7793036699295044,0.5242637991905212,0.9874430894851685,1.0230317115783691,0.7819325923919678,1.1651850938796997
11,0.7825358510017395,0.523369312286377,1.1926733255386353,1.2037642002105713,1.03742516040802,1.220522165298462
12,0.7835434079170227,0.5210469365119934,1.333798885345459,1.362533450126648,1.246274709701538,1.2449004650115967
13,0.7839763760566711,0.5190963745117188,1.5165516138076782,1.6152385473251343,1.5162180662155151,1.2672094106674194
14,0.7874069809913635,0.5197567939758301,1.7258703708648682,1.8097950220108032,1.8956941366195679,1.3610919713974
15,0.7871794700622559,0.5168300867080688,1.9926142692565918,2.0941665172576904,2.253720998764038,1.4096624851226807
16,0.7898914217948914,0.5163593292236328,2.233736276626587,2.4916317462921143,2.6977148056030273,1.4867202043533325
17,0.7876783013343811,0.5130504965782166,2.430403232574463,2.9988536834716797,2.977475166320801,1.5552958250045776
18,0.7869314551353455,0.5088820457458496,2.6220407485961914,3.317882776260376,3.195424795150757,1.619608759880066
19,0.7878988981246948,0.508761465549469,2.8730688095092773,3.742856502532959,3.4700498580932617,1.6958911418914795
20,0.7879809737205505,0.5076283812522888,3.283580780029297,4.278062343597412,4.093830585479736,1.6871358156204224
21,0.7895296216011047,0.5068657994270325,3.5360500812530518,4.493264675140381,4.449126720428467,1.7261501550674438
22,0.7902212738990784,0.5073438286781311,3.915142774581909,4.811872959136963,4.883923530578613,1.7131401300430298
23,0.791441798210144,0.5063127279281616,4.33708381652832,5.012572765350342,5.258546829223633,1.779527187347412
24,0.7910553812980652,0.504838764667511,4.52054500579834,5.155025482177734,5.4415788650512695,1.8204337358474731
25,0.7919723391532898,0.5066701173782349,4.709717273712158,5.319897651672363,5.532304763793945,1.842347264289856
26,0.7907373309135437,0.505011796951294,4.742178916931152,5.490344047546387,5.589544773101807,1.8933229446411133
27,0.7926673889160156,0.5064693689346313,4.84650993347168,5.636532306671143,5.631288051605225,1.8885301351547241
28,0.7918874621391296,0.5055232644081116,4.976264476776123,5.735538482666016,5.854445934295654,1.891903042793274
29,0.791792631149292,0.5046525597572327,4.98596715927124,5.885138511657715,5.996074676513672,1.9053316116333008
30,0.7930668592453003,0.5073398947715759,5.074916362762451,5.973457336425781,6.054365158081055,1.905738115310669
31,0.7925741672515869,0.5058646202087402,5.1700897216796875,6.012284755706787,6.262899398803711,1.9218248128890991
32,0.7940595746040344,0.5056170225143433,5.216262340545654,6.137332916259766,6.29688835144043,1.9487751722335815
