timestamp,actual,predicted,is_predicted_point
2017/12/29 3:00,-0.02124243,,0
2017/12/29 4:00,-0.021345532,,0
2017/12/29 5:00,-0.021206945,,0
2017/12/29 6:00,0.6058949,,0
2017/12/29 7:00,3.6319685,,0
2017/12/29 8:00,7.4076304,,0
2017/12/29 9:00,9.708241,,0
2017/12/29 10:00,10.4473295,,0
2017/12/29 11:00,13.96557,,0
2017/12/29 12:00,14.780488,,0
2017/12/29 13:00,10.436605,,0
2017/12/29 14:00,11.449948,,0
2017/12/29 15:00,8.070238,,0
2017/12/29 16:00,2.8191257,,0
2017/12/29 17:00,0.28452244,,0
2017/12/29 18:00,0.111435585,,0
2017/12/29 19:00,-0.003649364,,0
2017/12/29 20:00,-0.021540489,,0
2017/12/29 21:00,-0.0214033,,0
2017/12/29 22:00,-0.02126959,,0
2017/12/29 23:00,-0.02133982,,0
2017/12/30 0:00,-0.021092676,,0
2017/12/30 1:00,-0.021349804,,0
2017/12/30 2:00,-0.02126321,,0
2017/12/30 3:00,-0.021168398,-0.021884897723793983,1
2017/12/30 4:00,-0.021276474,,0
2017/12/30 5:00,-0.02126802,,0
2017/12/30 6:00,0.3612494,,0
2017/12/30 7:00,3.8225436,,0
2017/12/30 8:00,5.7364264,,0
2017/12/30 9:00,8.301086,,0
2017/12/30 10:00,11.8451,,0
2017/12/30 11:00,16.254444,,0
2017/12/30 12:00,16.558365,,0
2017/12/30 13:00,16.181318,,0
2017/12/30 14:00,11.844725,,0
2017/12/30 15:00,13.121433,,0
2017/12/30 16:00,11.163618,,0
2017/12/30 17:00,5.3064256,,0
2017/12/30 18:00,2.2040665,,0
2017/12/30 19:00,0.26116112,,0
2017/12/30 20:00,-0.0217405,,0
2017/12/30 21:00,-0.021507721,,0
2017/12/30 22:00,-0.021439865,,0
2017/12/30 23:00,-0.021319276,,0
2017/12/31 0:00,-0.021062015,,0
2017/12/31 1:00,-0.021298688,,0
2017/12/31 2:00,-0.021238178,,0
2017/12/31 3:00,-0.021279762,,0
