epoch,train_eval_loss,train_step_loss,test_loss
1,3.716314567320528,21.522431949399554,6.103631180715343
2,2.1528380873607613,2.9755972601332754,3.561606864406638
3,1.3613022299537882,1.7843688838886764,2.325209003605255
4,0.9422179740771913,1.2511366639497146,1.5838916639214782
5,0.7602068580382052,0.9414611177624397,1.2894078868709198
6,0.593365936809116,0.7433186690762358,1.064110398836876
7,0.4614266314701727,0.6242831208795872,0.8141245624246118
8,0.3909797099598667,0.5281697016841961,0.6829537975189348
9,0.3245192820565742,0.4475462869653162,0.5890719487786837
10,0.2870686457868208,0.38437808431544396,0.524925512810276
11,0.22991337037225912,0.32510733857469737,0.4306124475992978
12,0.19765075469574733,0.28601364678931684,0.3854143771951057
13,0.177008985497101,0.25116199985989984,0.3478387294838962
14,0.15465046578680564,0.2299509529235228,0.31231614443809474
15,0.15135517134303936,0.2084930047111691,0.28540993498884926
16,0.12014787986613157,0.18022986178128225,0.24753502841409483
17,0.11588531150455364,0.16391738265190484,0.2376523137636925
18,0.09350584043048278,0.15094865015092887,0.19994580419096228
19,0.0815097456874206,0.13713145340388677,0.18123144972814273
20,0.08714968872349164,0.12975070358447308,0.18113745238682996
21,0.07332567661477808,0.11543888781430586,0.15727829905949772
22,0.06759495076380279,0.1094719962972515,0.15254671143614537
23,0.06548340867834482,0.097134410421241,0.1359724682760021
24,0.05168948196179685,0.09271162720221393,0.1208142972972295
25,0.04723891031149535,0.08981099802086938,0.11253166688631659
26,0.048648217947859514,0.07975746466303771,0.10854830916069413
27,0.04605607439202872,0.0749223530292511,0.10166366895039876
28,0.03955428568940414,0.07449262371321894,0.0925350205539024
29,0.040076370580851686,0.06748014119155002,0.09086145875660796
30,0.03196003809571266,0.06075180286787591,0.08038968147208157
31,0.035751220549059194,0.05846190319027541,0.08499599918382897
32,0.028907309346206007,0.05718734291083408,0.07252739444715248
33,0.02876903163759332,0.053036778813825465,0.06851855274204795
34,0.031206625970134957,0.050287397683791396,0.07177805628406403
35,0.029913576426561814,0.05043278458826947,0.07173854983560571
36,0.02064907777596984,0.046108934606583614,0.055274664675264054
37,0.023669111057680253,0.04195089237588757,0.05602093673732183
38,0.02293431570655421,0.04113352731010824,0.053495668929461476
