epoch,gamma_wase,gamma_dsc,physbias_w_norm_layer0,physbias_w_norm_layer1,physbias_w_norm_layer2,physbias_w_norm_layer3
1,0.016966694965958595,0.028590528294444084,0.059137262403964996,0.018555933609604836,0.014454316347837448,0.01799708791077137
2,0.04092361778020859,0.06689024716615677,0.12963350117206573,0.04691465198993683,0.038383599370718,0.026121938601136208
3,0.06514106690883636,0.13025787472724915,0.18047022819519043,0.06315344572067261,0.058090467005968094,0.04892338067293167
4,0.13134801387786865,0.22010567784309387,0.2104741483926773,0.07306337356567383,0.08031024783849716,0.07678959518671036
5,0.3360353708267212,0.3804728090763092,0.23667584359645844,0.0832289606332779,0.10103998333215714,0.09888938814401627
6,0.6203171610832214,0.5483575463294983,0.2843875586986542,0.10856039077043533,0.16175611317157745,0.14147624373435974
7,0.7635248303413391,0.5495193600654602,0.6657959222793579,0.2366788536310196,0.2984945476055145,0.4313744604587555
8,0.7672180533409119,0.533407986164093,0.8713364005088806,0.38304629921913147,0.5049978494644165,0.5697413682937622
9,0.7686933875083923,0.5311964750289917,1.0647081136703491,0.5599694848060608,0.6816509366035461,0.6824409365653992
10,0.7690346837043762,0.5258093476295471,1.2142651081085205,0.6717579960823059,0.8020614385604858,0.7490658760070801
11,0.7709267735481262,0.5203022360801697,1.379375696182251,0.7696830630302429,0.8833479881286621,0.8033487796783447
12,0.7734250426292419,0.5218311548233032,1.4580448865890503,0.8429807424545288,0.9327057600021362,0.8297973871231079
13,0.7734485268592834,0.5162601470947266,1.6269705295562744,0.9504949450492859,0.9767875075340271,0.8729614019393921
14,0.7726903557777405,0.510992705821991,1.7389353513717651,1.0469194650650024,1.031538963317871,0.928865909576416
15,0.7744672298431396,0.5104056596755981,1.9169453382492065,1.1318352222442627,1.0812851190567017,0.9770404696464539
16,0.7789222598075867,0.508449137210846,2.086469888687134,1.214600682258606,1.1540287733078003,1.020918846130371
17,0.7775864601135254,0.5051736831665039,2.189918041229248,1.2764921188354492,1.2151744365692139,1.0434293746948242
18,0.7823627591133118,0.5039071440696716,2.4858899116516113,1.373366117477417,1.2498877048492432,1.0782294273376465
19,0.7822829484939575,0.5011570453643799,2.5469725131988525,1.4743318557739258,1.2957857847213745,1.1104133129119873
20,0.7838097810745239,0.5016719102859497,2.648228168487549,1.5150326490402222,1.310135841369629,1.1281214952468872
21,0.7845584154129028,0.502018928527832,2.722344160079956,1.5625649690628052,1.3999433517456055,1.1750458478927612
22,0.78523850440979,0.49778974056243896,2.8786725997924805,1.6178942918777466,1.4325963258743286,1.1980955600738525
23,0.7873100638389587,0.49178653955459595,2.9025654792785645,1.6861321926116943,1.4796684980392456,1.2304656505584717
24,0.7958955764770508,0.4858575165271759,3.035799980163574,1.8022083044052124,1.5414822101593018,1.2383917570114136
25,0.7995522022247314,0.47988462448120117,3.272379159927368,1.8971803188323975,1.6158413887023926,1.279244303703308
26,0.8021969199180603,0.4669089913368225,3.2856409549713135,2.0444397926330566,1.6208856105804443,1.327231526374817
27,0.8071188926696777,0.4594854414463043,3.4346096515655518,2.111407995223999,1.7218825817108154,1.3846760988235474
28,0.8096435070037842,0.45568230748176575,3.5980522632598877,2.257631301879883,1.7963498830795288,1.402953028678894
29,0.8142004609107971,0.46179530024528503,3.70381760597229,2.3321125507354736,1.8220064640045166,1.4191312789916992
30,0.8124800324440002,0.45158931612968445,3.8863461017608643,2.4025137424468994,1.8708679676055908,1.4508816003799438
31,0.8160130381584167,0.4499318301677704,3.9464869499206543,2.4591686725616455,1.8881206512451172,1.4805638790130615
32,0.8148812651634216,0.44982802867889404,4.015003204345703,2.5557732582092285,1.9522371292114258,1.5014233589172363
33,0.8154319524765015,0.44522932171821594,4.153857707977295,2.637441873550415,2.0028319358825684,1.4983934164047241
34,0.8156669735908508,0.4424374997615814,4.206204414367676,2.710921287536621,2.0115315914154053,1.515373706817627
35,0.8172037601470947,0.4443078339099884,4.332860469818115,2.7715206146240234,2.0723021030426025,1.5360442399978638
36,0.8166332840919495,0.4415908455848694,4.377587795257568,2.8316807746887207,2.103074312210083,1.5343669652938843
37,0.8157258629798889,0.43775326013565063,4.398064136505127,2.8952713012695312,2.1618995666503906,1.5427439212799072
38,0.8194102048873901,0.44076037406921387,4.472350597381592,2.9626035690307617,2.1918516159057617,1.5523109436035156
39,0.8187317848205566,0.4392319619655609,4.517356872558594,2.997687339782715,2.2512145042419434,1.5872507095336914
40,0.8177764415740967,0.43724480271339417,4.626241207122803,3.042850971221924,2.3072502613067627,1.5935851335525513
41,0.8192206025123596,0.4361724257469177,4.6656999588012695,3.112318754196167,2.3335678577423096,1.6061233282089233
42,0.8196069002151489,0.437349408864975,4.68989372253418,3.2147746086120605,2.3818273544311523,1.6163700819015503
43,0.8191025257110596,0.4303520917892456,4.764811038970947,3.280027389526367,2.4155526161193848,1.6481127738952637
44,0.8187880516052246,0.430929958820343,4.824502468109131,3.307898998260498,2.4449756145477295,1.6430442333221436
45,0.8199437856674194,0.43298831582069397,4.827864170074463,3.3380379676818848,2.4719505310058594,1.658221960067749
46,0.8188666701316833,0.42616018652915955,4.8743815422058105,3.4111170768737793,2.4878079891204834,1.6772775650024414
47,0.8208252787590027,0.4284173548221588,4.942150592803955,3.441009998321533,2.5111072063446045,1.6880847215652466
48,0.820146381855011,0.4270607829093933,4.9401469230651855,3.4554412364959717,2.5765268802642822,1.7111761569976807
49,0.8219423294067383,0.428625226020813,5.019837856292725,3.509870767593384,2.5920140743255615,1.7107443809509277
50,0.8194624781608582,0.4273221790790558,5.0862650871276855,3.5293161869049072,2.6096723079681396,1.7364319562911987
51,0.8224195837974548,0.4289080798625946,5.164576530456543,3.601422071456909,2.6103529930114746,1.7357122898101807
52,0.8213064670562744,0.4259386360645294,5.257786273956299,3.650564670562744,2.6674792766571045,1.7458690404891968
53,0.8214651346206665,0.4187210202217102,5.294621467590332,3.70210599899292,2.7109851837158203,1.7505760192871094
54,0.8225641846656799,0.4193423390388489,5.368499755859375,3.726792097091675,2.7503342628479004,1.7827959060668945
55,0.8234096765518188,0.41996219754219055,5.4161176681518555,3.7974982261657715,2.738294839859009,1.7796382904052734
