timestamp,step,actual,predicted
2018/12/26 2:00,1,-0.021594621,-0.13135977
2018/12/26 3:00,2,-0.021631254,-0.13267675
2018/12/26 4:00,3,-0.0216643,-0.14159197
2018/12/26 5:00,4,-0.02152754,-0.13796568
2018/12/26 6:00,5,0.5379413,0.075064555
2018/12/26 7:00,6,4.1604433,3.6657274
2018/12/26 8:00,7,9.3324,9.134099
2018/12/26 9:00,8,13.632742,13.794299
2018/12/26 10:00,9,16.691053,16.973007
2018/12/26 11:00,10,18.41641,19.006954
2018/12/26 12:00,11,19.32751,19.604053
2018/12/26 13:00,12,19.242174,19.420351
2018/12/26 14:00,13,17.954498,18.324394
2018/12/26 15:00,14,15.592418,15.665954
2018/12/26 16:00,15,10.815881,11.364658
2018/12/26 17:00,16,6.357982,5.312894
2018/12/26 18:00,17,1.8949159,1.1853065
2018/12/26 19:00,18,0.19721027,-0.10412914
2018/12/26 20:00,19,-0.021902144,-0.1455809
2018/12/26 21:00,20,-0.021854008,-0.144242
2018/12/26 22:00,21,-0.021774933,-0.14330912
2018/12/26 23:00,22,-0.021593513,-0.14037429
2018/12/27 0:00,23,-0.021254882,-0.13830745
2018/12/27 1:00,24,-0.021449422,-0.134921
