epoch,gamma_psg,gamma_wase,gamma_dsc,physbias_w_norm_layer0,physbias_w_norm_layer1,physbias_w_norm_layer2,physbias_w_norm_layer3
1,-0.016353774815797806,0.017522940412163734,0.02534324862062931,0.06839726865291595,0.04341747239232063,0.029745562002062798,0.0267336405813694
2,-0.07715384662151337,0.04899081215262413,0.07476683706045151,0.10297826677560806,0.04786865413188934,0.06834729015827179,0.04311138018965721
3,-0.18477490544319153,0.09171547740697861,0.14830802381038666,0.1552397608757019,0.08324114233255386,0.1245681643486023,0.07442346960306168
4,-0.36155954003334045,0.2132810354232788,0.2522144019603729,0.21759983897209167,0.1306094080209732,0.16426275670528412,0.1116751879453659
5,-0.6231263279914856,0.4314744472503662,0.41791266202926636,0.25718626379966736,0.16797347366809845,0.2001422792673111,0.14377760887145996
6,-0.8686366081237793,0.6775035858154297,0.6063275933265686,0.34464940428733826,0.2001355141401291,0.21715238690376282,0.20544716715812683
7,-0.8373116254806519,0.7082244157791138,0.5797622203826904,0.4702288806438446,0.30324438214302063,0.23444725573062897,0.37053269147872925
8,-0.8288437724113464,0.7131178379058838,0.5735601782798767,0.6244219541549683,0.42500758171081543,0.2870821952819824,0.5473086833953857
9,-0.8272779583930969,0.7197214365005493,0.5732021927833557,0.8040726780891418,0.6028846502304077,0.36408132314682007,0.6860057711601257
10,-0.8259977102279663,0.7236093878746033,0.5720483064651489,0.9461771249771118,0.7440800666809082,0.472684383392334,0.7464222311973572
11,-0.8242974281311035,0.7264549732208252,0.5707581043243408,1.1321059465408325,0.8849668502807617,0.5843830108642578,0.8278918266296387
12,-0.8246286511421204,0.7303448915481567,0.5710964202880859,1.2588176727294922,1.0003691911697388,0.7204460501670837,0.9222683310508728
13,-0.8248099088668823,0.7326388955116272,0.5709834098815918,1.4375649690628052,1.1465924978256226,0.8890936374664307,0.9795069098472595
14,-0.826045036315918,0.7375996112823486,0.5726487636566162,1.5980194807052612,1.3362250328063965,1.1062216758728027,1.059684157371521
15,-0.8244852423667908,0.7409833073616028,0.5730840563774109,1.7219369411468506,1.5037033557891846,1.2587335109710693,1.1852179765701294
16,-0.8237676620483398,0.7438879609107971,0.5728734731674194,1.847211241722107,1.738968014717102,1.460602045059204,1.3065041303634644
17,-0.821412205696106,0.7445861101150513,0.5707899928092957,2.0093061923980713,1.9006446599960327,1.6498780250549316,1.4249138832092285
18,-0.821513831615448,0.7475358843803406,0.5703290700912476,2.2436864376068115,2.0666887760162354,1.8573780059814453,1.5249667167663574
19,-0.8194313049316406,0.750103235244751,0.5703164339065552,2.513293504714966,2.360928773880005,2.0735509395599365,1.6595028638839722
20,-0.8174079060554504,0.7519766688346863,0.5688908696174622,2.8956665992736816,2.728381395339966,2.3441357612609863,1.7639809846878052
21,-0.8146177530288696,0.7534406185150146,0.5668922662734985,3.352067708969116,3.222463369369507,2.675602912902832,1.862427830696106
22,-0.8133370876312256,0.7566751837730408,0.5672520995140076,3.7059521675109863,3.4931163787841797,2.7989494800567627,1.9797637462615967
23,-0.8103418350219727,0.7589454054832458,0.5659290552139282,4.237920761108398,4.047540187835693,3.196218490600586,2.0708696842193604
24,-0.8078086376190186,0.7598623037338257,0.563664436340332,4.560402870178223,4.489218711853027,3.440504550933838,2.191150665283203
25,-0.8063974380493164,0.7622846364974976,0.5633695125579834,4.74520206451416,4.957744598388672,3.7099597454071045,2.2652463912963867
26,-0.8016626834869385,0.7646714448928833,0.5613828897476196,5.150928974151611,5.226166725158691,4.00408411026001,2.3402633666992188
27,-0.8010357618331909,0.7665277719497681,0.5598198771476746,5.49992561340332,5.756755352020264,4.263158321380615,2.403477191925049
28,-0.796247661113739,0.7684207558631897,0.5576426982879639,5.848809242248535,6.292298793792725,4.436899662017822,2.4603054523468018
29,-0.7943764925003052,0.770887553691864,0.5552192330360413,6.277231693267822,6.844948768615723,4.717984199523926,2.607090950012207
30,-0.7906310558319092,0.7717318534851074,0.5541065335273743,6.5806498527526855,7.265985488891602,4.961154460906982,2.6776123046875
31,-0.7871366143226624,0.7760826349258423,0.5547064542770386,6.909577369689941,7.773575305938721,5.170718193054199,2.8245174884796143
32,-0.7844861149787903,0.7791150212287903,0.5501236319541931,7.143202304840088,8.2294282913208,5.29321813583374,2.8768088817596436
33,-0.7841679453849792,0.7814857959747314,0.5502529144287109,7.309764862060547,8.5228271484375,5.4373321533203125,2.888178586959839
34,-0.7837343811988831,0.7841813564300537,0.5478397011756897,7.609310150146484,8.933195114135742,5.537389755249023,2.9175784587860107
35,-0.7825140953063965,0.7856695652008057,0.5470226407051086,7.807256698608398,9.234552383422852,5.671931743621826,2.9860427379608154
36,-0.7800683379173279,0.7871099710464478,0.5444274544715881,7.82192325592041,9.440390586853027,5.65502405166626,3.035672664642334
37,-0.7770116329193115,0.7864521741867065,0.5395650863647461,7.830454349517822,9.557329177856445,5.848657608032227,3.069185495376587
38,-0.776140034198761,0.7874083518981934,0.539405882358551,7.825395584106445,9.870064735412598,5.965656280517578,3.105926990509033
39,-0.7765050530433655,0.7938578128814697,0.5391472578048706,7.981468200683594,10.000314712524414,6.065216064453125,3.1637701988220215
40,-0.7751845717430115,0.7949302196502686,0.5376268029212952,7.987780570983887,10.150896072387695,6.085383415222168,3.1765825748443604
41,-0.7747780084609985,0.7952477335929871,0.5361039638519287,8.096880912780762,10.246187210083008,6.235340595245361,3.1795153617858887
42,-0.7742001414299011,0.7969963550567627,0.5348963141441345,8.223685264587402,10.461014747619629,6.317323684692383,3.1787970066070557
43,-0.7739368081092834,0.7973782420158386,0.5340492725372314,8.291144371032715,10.550336837768555,6.411643028259277,3.193260908126831
44,-0.7727722525596619,0.7971919178962708,0.5303232073783875,8.327583312988281,10.600322723388672,6.505221843719482,3.2081265449523926
45,-0.7690059542655945,0.7979509234428406,0.5280905365943909,8.352005004882812,10.685220718383789,6.606372356414795,3.2276251316070557
46,-0.7702907919883728,0.8022463917732239,0.5284105539321899,8.442827224731445,10.694178581237793,6.657927989959717,3.282891035079956
47,-0.7710559368133545,0.8055612444877625,0.5276915431022644,8.525066375732422,10.777519226074219,6.678320407867432,3.2817673683166504
48,-0.7679728865623474,0.8042451739311218,0.5247513651847839,8.52053165435791,10.843640327453613,6.715041637420654,3.2802772521972656
49,-0.767079770565033,0.8045181035995483,0.5237506031990051,8.57734203338623,10.897900581359863,6.767795085906982,3.2657852172851562
50,-0.7679994702339172,0.8066750168800354,0.5239220857620239,8.580517768859863,10.896392822265625,6.824465751647949,3.2668023109436035
51,-0.7672449946403503,0.8072789907455444,0.521752655506134,8.568965911865234,10.881209373474121,6.8342156410217285,3.3046751022338867
52,-0.7669622898101807,0.8090945482254028,0.5213411450386047,8.56975269317627,10.877365112304688,6.864872932434082,3.3255932331085205
53,-0.7652571797370911,0.8087966442108154,0.5201812982559204,8.626946449279785,10.960577964782715,6.859739303588867,3.3164939880371094
54,-0.7645995020866394,0.8113283514976501,0.5201429128646851,8.725576400756836,10.991631507873535,6.882198810577393,3.3000574111938477
55,-0.7651544213294983,0.8118183016777039,0.5200217962265015,8.73781967163086,11.03847599029541,6.897457599639893,3.2892637252807617
56,-0.7620288729667664,0.8118356466293335,0.5173301696777344,8.748368263244629,11.144902229309082,6.867209434509277,3.3253729343414307
57,-0.7642210125923157,0.8139397501945496,0.5178006291389465,8.84374713897705,11.264971733093262,6.89959192276001,3.364844799041748
58,-0.763043224811554,0.8145422339439392,0.5163840055465698,8.861331939697266,11.360711097717285,6.891623020172119,3.354416608810425
59,-0.7621477246284485,0.8147895932197571,0.5137102007865906,8.900089263916016,11.373178482055664,6.940521240234375,3.3647563457489014
60,-0.7605582475662231,0.8155971169471741,0.5125389099121094,8.952641487121582,11.371026992797852,6.9380316734313965,3.38769268989563
61,-0.7608504891395569,0.8170877695083618,0.5124930143356323,9.008383750915527,11.418976783752441,6.945393085479736,3.386143684387207
62,-0.7592863440513611,0.8169066309928894,0.510097324848175,9.035694122314453,11.39729118347168,6.9826836585998535,3.3915915489196777
63,-0.7584795951843262,0.8182012438774109,0.5100175738334656,9.028207778930664,11.41640853881836,7.0063300132751465,3.383897542953491
64,-0.7581672072410583,0.8197064995765686,0.5116984844207764,9.013772010803223,11.438769340515137,7.036919593811035,3.3848989009857178
65,-0.7582007646560669,0.8199164867401123,0.5106090307235718,9.047194480895996,11.4426851272583,7.064474105834961,3.398697853088379
66,-0.7575716376304626,0.8195517063140869,0.5082276463508606,9.136053085327148,11.590605735778809,7.134903430938721,3.408521890640259
67,-0.7568864822387695,0.8209829926490784,0.5076216459274292,9.148653030395508,11.573762893676758,7.184798717498779,3.4215593338012695
68,-0.755824863910675,0.8230116367340088,0.5070592761039734,9.183371543884277,11.596445083618164,7.3935723304748535,3.4406919479370117
69,-0.7547113299369812,0.8217264413833618,0.5059195160865784,9.261794090270996,11.63765811920166,7.496768474578857,3.461289882659912
70,-0.7554985284805298,0.8234085440635681,0.5057160258293152,9.303686141967773,11.690218925476074,7.538516998291016,3.4711170196533203
71,-0.7538197636604309,0.8251044154167175,0.5036017894744873,9.313647270202637,11.663097381591797,7.554162979125977,3.4687752723693848
72,-0.7532903552055359,0.8247801661491394,0.5033416748046875,9.316533088684082,11.723602294921875,7.573500156402588,3.4791815280914307
73,-0.7532142996788025,0.8264254927635193,0.5028231739997864,9.353519439697266,11.777474403381348,7.600986480712891,3.481952667236328
74,-0.7513575553894043,0.8272026181221008,0.5021873116493225,9.388494491577148,11.822930335998535,7.610546112060547,3.485262155532837
75,-0.7510960698127747,0.8279479146003723,0.5006547570228577,9.42869758605957,11.851844787597656,7.68450403213501,3.4824376106262207
76,-0.7488892674446106,0.8287397623062134,0.4956526756286621,9.46350383758545,11.832635879516602,7.706696033477783,3.4900083541870117
77,-0.7476101517677307,0.830081582069397,0.49393102526664734,9.457114219665527,11.848563194274902,7.743598937988281,3.5178472995758057
78,-0.7482763528823853,0.8327665328979492,0.49481716752052307,9.46851921081543,11.810355186462402,7.757353782653809,3.5327560901641846
79,-0.7473616003990173,0.8327070474624634,0.49432992935180664,9.469708442687988,11.817974090576172,7.731037616729736,3.5364935398101807
80,-0.7477993369102478,0.8342249393463135,0.4952668845653534,9.551129341125488,11.848048210144043,7.711184501647949,3.524627923965454
81,-0.7457647323608398,0.8347648978233337,0.492272287607193,9.582914352416992,11.869511604309082,7.729228496551514,3.537388324737549
82,-0.7460321187973022,0.8351195454597473,0.49172359704971313,9.63780689239502,11.877043724060059,7.7183837890625,3.55329966545105
83,-0.7450103163719177,0.8362199664115906,0.4902788996696472,9.725939750671387,11.898909568786621,7.711106300354004,3.5666584968566895
84,-0.7442572712898254,0.8373448848724365,0.4897629916667938,9.720467567443848,11.873461723327637,7.7288713455200195,3.574934482574463
85,-0.7456210851669312,0.8381186723709106,0.4897066354751587,9.72388744354248,11.919560432434082,7.754168510437012,3.571533441543579
86,-0.7410006523132324,0.8382909297943115,0.4867892861366272,9.781732559204102,11.947050094604492,7.776797294616699,3.568143606185913
87,-0.7422690987586975,0.8387194275856018,0.487505167722702,9.798307418823242,11.975014686584473,7.803139686584473,3.5645933151245117
88,-0.7424127459526062,0.8407740592956543,0.486990362405777,9.828994750976562,12.017516136169434,7.784994602203369,3.568401575088501
89,-0.7426203489303589,0.8425953984260559,0.4863339364528656,9.852301597595215,12.020502090454102,7.872413635253906,3.6553092002868652
90,-0.7416841983795166,0.8433047533035278,0.48384615778923035,10.123058319091797,12.245157241821289,7.979762077331543,3.8699467182159424
91,-0.7381702065467834,0.8445388674736023,0.48008185625076294,10.154516220092773,12.360705375671387,8.013721466064453,3.9269461631774902
92,-0.7325660586357117,0.8433699607849121,0.47700241208076477,10.256078720092773,12.348459243774414,7.988349437713623,3.944984197616577
93,-0.7311338782310486,0.8485426306724548,0.4741705358028412,10.425558090209961,12.357992172241211,8.104876518249512,3.96842360496521
94,-0.726187527179718,0.8486936688423157,0.4714694917201996,10.419700622558594,12.390869140625,8.230332374572754,3.9911460876464844
95,-0.6470864415168762,0.8881187438964844,0.44507429003715515,10.569282531738281,12.774147033691406,8.459196090698242,4.171085357666016
