epoch,train_mse,validation_mse
1,132139.953125,179027.09375
2,61828.44921875,83872.7578125
3,29957.11328125,41112.38671875
4,14047.1025390625,19198.10546875
5,5288.0888671875,7374.0615234375
6,1839.1959228515625,2674.279052734375
7,770.4094848632812,1134.806884765625
8,427.608642578125,627.3858032226562
9,276.0751037597656,404.1675720214844
10,197.0598602294922,286.0148010253906
11,146.40707397460938,212.57643127441406
12,113.76138305664062,163.93252563476562
13,91.88542175292969,132.72047424316406
14,76.12419128417969,108.84538269042969
15,61.85983657836914,89.8311538696289
16,51.4516716003418,75.23465728759766
17,43.04902267456055,62.861507415771484
18,37.547035217285156,54.90568161010742
19,32.85973358154297,48.055564880371094
20,28.341455459594727,41.10575866699219
21,24.52503204345703,35.53577423095703
22,21.147750854492188,30.501131057739258
23,19.129467010498047,27.429424285888672
24,16.470287322998047,24.24892807006836
25,15.632201194763184,22.682334899902344
26,13.233871459960938,19.655059814453125
27,12.297149658203125,18.414127349853516
28,10.98838996887207,16.427078247070312
29,9.466975212097168,13.981762886047363
30,8.96852970123291,13.279895782470703
31,7.919548988342285,11.736310958862305
32,7.303974628448486,10.843894958496094
33,6.38133430480957,9.663084983825684
34,5.873963832855225,8.785408020019531
35,5.512094497680664,8.381694793701172
36,5.315037250518799,7.7787699699401855
37,4.4944071769714355,6.746888160705566
38,4.32573127746582,6.579719543457031
39,4.144298553466797,6.035516262054443
40,3.6731364727020264,5.5109663009643555
41,3.3843283653259277,5.1030988693237305
42,3.3379783630371094,5.0641398429870605
43,3.47898268699646,5.160730838775635
44,2.867203950881958,4.307713031768799
45,2.755115032196045,4.105170726776123
46,3.1518819332122803,4.384096145629883
47,2.6963236331939697,4.045143127441406
48,2.536135196685791,3.8855087757110596
49,2.2341978549957275,3.3987369537353516
50,2.2365882396698,3.354487419128418
