epoch,train_mae,validation_mae
1,265.98931884765625,298.5825500488281
2,184.1923370361328,206.93643188476562
3,126.43081665039062,143.2298583984375
4,86.05635070800781,97.02569580078125
5,52.29655075073242,59.0853385925293
6,30.569469451904297,35.47591018676758
7,19.59682273864746,22.762832641601562
8,14.60983657836914,16.95988655090332
9,11.763956069946289,13.62816047668457
10,10.001462936401367,11.509076118469238
11,8.567373275756836,9.879523277282715
12,7.578907012939453,8.741447448730469
13,6.855750560760498,7.916413307189941
14,6.266178607940674,7.236124515533447
15,5.644426345825195,6.546800136566162
16,5.1425957679748535,6.006473064422607
17,4.682389259338379,5.48399019241333
18,4.382089614868164,5.147335529327393
19,4.130603313446045,4.841500759124756
20,3.8470935821533203,4.491943836212158
21,3.5733954906463623,4.1556220054626465
22,3.308171510696411,3.8460936546325684
23,3.1718153953552246,3.671537160873413
24,2.9055750370025635,3.430941104888916
25,2.874890089035034,3.374694347381592
26,2.6363439559936523,3.120427131652832
27,2.552009105682373,3.0477912425994873
28,2.3824870586395264,2.823726177215576
29,2.214506149291992,2.6170966625213623
30,2.1696550846099854,2.5661957263946533
31,2.0240285396575928,2.4160680770874023
32,1.9464455842971802,2.3262975215911865
33,1.8097586631774902,2.1744863986968994
34,1.7371485233306885,2.0824835300445557
35,1.6796361207962036,2.0400784015655518
36,1.6710981130599976,1.9750020503997803
37,1.5027085542678833,1.8141423463821411
38,1.4733785390853882,1.7843406200408936
39,1.431929588317871,1.6879243850708008
40,1.327396273612976,1.5763481855392456
41,1.2673916816711426,1.5164178609848022
42,1.2648738622665405,1.5416491031646729
43,1.3152278661727905,1.5937150716781616
44,1.1462489366531372,1.3967149257659912
45,1.1200027465820312,1.3465701341629028
46,1.270614743232727,1.4629098176956177
47,1.111555814743042,1.3375953435897827
48,1.1003724336624146,1.3351242542266846
49,0.9869970679283142,1.1968778371810913
50,0.9881470203399658,1.181037425994873
