epoch,gamma_psg,gamma_wase,gamma_dsc,alpha_pgia_layer0,alpha_pgia_layer1,alpha_pgia_layer2
1,-0.19009831547737122,0.14021100103855133,0.011405402794480324,0.06883237510919571,0.041332755237817764,0.0015515444101765752
2,-0.8144375681877136,0.4396476447582245,0.005240171682089567,0.08504212647676468,0.06052933260798454,0.0012286436976864934
3,-1.30379319190979,0.6303920149803162,0.0022923278156667948,0.09184230118989944,0.06656330823898315,0.0012955969432368875
4,-1.731827974319458,0.727232038974762,0.001622611889615655,0.09321635216474533,0.06787838041782379,0.001243329024873674
5,-1.9681366682052612,0.7840705513954163,0.0010719031561166048,0.09403030574321747,0.06867757439613342,0.0015856096288189292
6,-2.1164960861206055,0.8205094337463379,0.000578235718421638,0.09485598653554916,0.06903252005577087,0.0014149388298392296
7,-2.2276768684387207,0.846731424331665,0.0004068615671712905,0.09579990804195404,0.06922797113656998,0.0015284629771485925
8,-2.3183982372283936,0.8661648035049438,0.0002583267632871866,0.09605808556079865,0.0695827379822731,0.0013768902281299233
9,-2.4034786224365234,0.8831517696380615,0.00031989769195206463,0.09652677178382874,0.06983817368745804,0.001427538227289915
10,-2.4804744720458984,0.8963415026664734,0.0001875503221526742,0.09683454036712646,0.07027219980955124,0.001348826801404357
11,-2.554356098175049,0.908074676990509,0.00022961311333347112,0.09727449715137482,0.07099618762731552,0.001152823562733829
12,-2.6336400508880615,0.9192824959754944,5.528970632440178e-06,0.09779398888349533,0.07192283868789673,0.0010693228105083108
13,-2.7033531665802,0.9281253814697266,-1.2100427738914732e-05,0.09807167947292328,0.07258635014295578,0.0011820601066574454
14,-2.7734434604644775,0.9363017082214355,-6.373243377311155e-05,0.09876994043588638,0.07339095324277878,0.0012819197727367282
15,-2.8394858837127686,0.9437413811683655,-0.00010547252168180421,0.09925282001495361,0.0743679478764534,0.0015187023673206568
16,-2.90169095993042,0.9500930905342102,-2.6415582397021353e-05,0.09982673078775406,0.07531892508268356,0.0017063753912225366
17,-2.9634060859680176,0.9555853605270386,-0.00015919061843305826,0.1004788801074028,0.07598446309566498,0.0017332303104922175
18,-3.018963098526001,0.9601747989654541,-4.595716382027604e-05,0.10099182277917862,0.07676848769187927,0.0019408885855227709
