epoch,train_eval_loss,train_step_loss,test_loss,train_RMSE,test_RMSE,train_R2,test_R2
1,3.9490421803457547,12.320993724858985,6.673197794805737,41.525806170681385,53.980784070149674,-38.80397033691406,-57.16655731201172
2,2.3100462572187888,3.0868698763397506,3.969521707367938,31.760150398263427,41.633343934260644,-22.28388023376465,-33.60011672973633
3,1.543735569430423,1.9535378262681782,2.6106004753134604,25.963224959410738,33.763106902287774,-14.55992603302002,-21.75515365600586
4,1.1127485077475636,1.3705487757358912,1.8206362323531973,22.043000246411133,28.195759512596705,-10.215835571289062,-14.869475364685059
5,0.8011202115456019,1.0002729341668903,1.3044121569398472,18.703420332359165,23.865998333714092,-7.074810028076172,-10.36983585357666
6,0.5941673953647901,0.7507551121261885,0.9646511983026294,16.107442597484244,20.52377949848282,-4.988850116729736,-7.408328056335449
7,0.42408820288003807,0.5564098543715927,0.7033414628043592,13.60818704003592,17.52489074585907,-3.2745537757873535,-5.130636692047119
8,0.3235830091778012,0.4200185233691953,0.5429336739786016,11.886802189158347,15.397335545299104,-2.261521816253662,-3.7324509620666504
9,0.24592834560254243,0.3206521924936546,0.42031377898140454,10.362785042775588,13.547495052310698,-1.4788098335266113,-2.6636414527893066
10,0.20077132711428655,0.2569724144238346,0.3438844304550982,9.363172878231836,12.254016451329463,-1.0236542224884033,-1.9974493980407715
11,0.16852173969831769,0.21048656696418547,0.2893981562811283,8.578278865024895,11.241391766813416,-0.69859778881073,-1.5225229263305664
12,0.1369165287775238,0.17547345723745958,0.24349339148737895,7.732147820904384,10.311355804777316,-0.3800363540649414,-1.122396469116211
13,0.11825331986708931,0.1509834702284831,0.2108255498677816,7.185861682761455,9.594752753224432,-0.19192230701446533,-0.8376489877700806
14,0.09874360072642403,0.12766163852417245,0.17867717421211604,6.566389983620542,8.832969754012122,0.004723906517028809,-0.5574296712875366
15,0.08720627512101177,0.11075768282390991,0.15764865062794323,6.170865287758128,8.29692787397818,0.12101316452026367,-0.3741356134414673
16,0.07316351398069364,0.09746165981270233,0.1357622909982113,5.6522253059678915,7.699486544445396,0.2625557780265808,-0.1833643913269043
17,0.06465181801182077,0.08434453817471019,0.12146234485065685,5.313278320742466,7.282709982215315,0.34834855794906616,-0.058719754219055176
18,0.05767244078775796,0.07463700204806507,0.10768745475799578,5.018296905625236,6.857325358459911,0.41869646310806274,0.0613483190536499
19,0.05117724114244089,0.06747230697634085,0.0973857917262187,4.7272722704427,6.521087186542013,0.4841642379760742,0.1511421799659729
20,0.04613041139771859,0.06058782788942445,0.08753415391811853,4.488134210765946,6.182455144797384,0.5350332260131836,0.23701339960098267
21,0.040492654592125706,0.053801439702510834,0.07878848714375919,4.204944996513754,5.865479892567802,0.5918583869934082,0.3132445812225342
22,0.03759455628103552,0.048952192419542455,0.07216199089146261,4.0516757841856315,5.613405782423841,0.6210694313049316,0.37100404500961304
23,0.03297598285992034,0.044530769634359285,0.06483163991745981,3.794644300957413,5.320662208300661,0.667621910572052,0.4348986744880676
24,0.030748609271997317,0.04063508399533776,0.06062731489309112,3.6642485939382867,5.145248606378077,0.6900725364685059,0.47154539823532104
25,0.027995707448400287,0.03728662248489992,0.0556113691313598,3.4963742958753588,4.927810238962201,0.7178200483322144,0.5152666568756104
26,0.025817013722301593,0.03418576590857416,0.05170766049074813,3.357570997724507,4.751706870738641,0.7397800087928772,0.549293041229248
27,0.023514294697995316,0.03188352184897324,0.04736802951481221,3.2043369884554114,4.547941417105419,0.7629900574684143,0.5871192216873169
28,0.022012174526152947,0.02977493865731752,0.044099151781451844,3.100299722272013,4.388208993863912,0.7781305313110352,0.6156122088432312
29,0.020270766732601007,0.026939505148889882,0.041006531014723256,2.9751391274112904,4.231542336579494,0.7956828474998474,0.6425688862800598
30,0.019095814062852653,0.025661508570302208,0.038705439687524955,2.8876281049310513,4.111101259328591,0.8075256943702698,0.6626262068748474
31,0.01778638206179316,0.023623214050565125,0.03623232901471216,2.786865480333569,3.977592769478435,0.8207239508628845,0.6841829419136047
32,0.016618678169465297,0.022435884887598595,0.034308457524521545,2.6938315040666976,3.87055098561574,0.8324937224388123,0.7009522914886475
33,0.015543643827063134,0.020672014861736657,0.032074602622178844,2.605245280369246,3.74242258627617,0.8433294296264648,0.7204235792160034
34,0.014477483815959938,0.01955874169350795,0.02994538887082815,2.5143094621348054,3.616072876406856,0.8540756702423096,0.7389826774597168
35,0.013614857175666826,0.018408019780972094,0.028375322986426116,2.438252846290525,3.519999448602807,0.8627704381942749,0.7526680827140808
36,0.012842783832717433,0.017515660825905936,0.0270900033827575,2.3681094951831847,3.4393528886320324,0.8705524802207947,0.7638714909553528
37,0.012224793074527505,0.016560104394437006,0.025558557832084293,2.310430683429418,3.340722112430621,0.8767814636230469,0.7772202491760254
38,0.011687088197080019,0.015685805875175405,0.024442777489170883,2.2590474378004792,3.2669873475949833,0.8822011947631836,0.7869459390640259
39,0.011082809656548957,0.014933617117832292,0.02332967373219267,2.199870526231905,3.191732849816025,0.8882919549942017,0.7966482043266296
40,0.010543046471483965,0.014079541934408107,0.022553284042831693,2.145632046144307,3.138174438938043,0.8937324285507202,0.8034155368804932
41,0.009928438454513333,0.013571291195474705,0.02123361938404587,2.082153087722632,3.044978250760984,0.8999273180961609,0.8149183392524719
42,0.009455799414053357,0.012791217322338302,0.020349593691446906,2.031988860512785,2.9809182804222703,0.904691219329834,0.8226239085197449
43,0.009122907829874002,0.012247215429285788,0.019673163240606136,1.9959002436476563,2.9309559428542484,0.9080466032028198,0.8285199403762817
44,0.008706262141479218,0.011720519266882033,0.01871633873863722,1.9497909776216513,2.858792438467297,0.9122461080551147,0.8368600606918335
45,0.008372884576098688,0.011330658218489503,0.018117264245427492,1.9120962202887961,2.812668180735487,0.9156063795089722,0.8420819044113159
46,0.008186718756576825,0.010809641050280264,0.017531473204502043,1.8907195138557895,2.7668230295998377,0.9174827933311462,0.847187876701355
47,0.007723731233856736,0.010468650301742667,0.016730075975770333,1.8364781009896167,2.702844947022989,0.9221494197845459,0.8541732430458069
48,0.0075209935794967086,0.009856549996601523,0.016377457691779337,1.8122153223029676,2.674209556374333,0.9241929054260254,0.8572468161582947
49,0.00721173154655231,0.009688831514345025,0.015789116481974032,1.7745652163278567,2.6257363149559994,0.9273101091384888,0.862375020980835
50,0.006940783782147936,0.009245754983979013,0.015244846755671733,1.7409104255319836,2.5800832074077023,0.9300410747528076,0.8671191334724426
51,0.00668884604663655,0.008973808010231774,0.014620334489336008,1.7090224605131232,2.5266834086196472,0.9325804710388184,0.8725626468658447
52,0.006588006758002906,0.008594266455269084,0.014433040422599883,1.696091222563503,2.5104473212389986,0.9335968494415283,0.8741952180862427
53,0.006314689406019843,0.008335442001105479,0.013970638357482003,1.660535558115952,2.4699053414928795,0.9363517165184021,0.8782256841659546
54,0.006182648198475035,0.008018799073431851,0.013591843921842406,1.6430828756836175,2.4361913053313105,0.9376826286315918,0.8815274238586426
55,0.005981148732642219,0.007684373903035556,0.013181651879065783,1.6160861333044068,2.3991483448844337,0.9397135972976685,0.8851028680801392
56,0.005774199800244092,0.007493528757103771,0.012838271037042312,1.5878814659464477,2.3676933528651687,0.941799521446228,0.8880959153175354
57,0.005771400615915109,0.007252429453831799,0.012587407577235471,1.5874965877946843,2.3444465110894246,0.9418277740478516,0.8902825713157654
58,0.005542580840360775,0.007131025722285487,0.012289955641215974,1.5557084301729884,2.3165801885185036,0.9441341161727905,0.8928753137588501
59,0.0053986747553949384,0.0069081267992139985,0.01190885272688563,1.5353795634134118,2.280379560398585,0.9455845952033997,0.8961971402168274
60,0.00529265043423663,0.006726623258008709,0.011795797812863716,1.5202281305126149,2.2695296742208924,0.9466532468795776,0.8971825838088989
61,0.005243867135534375,0.006474518990319855,0.01153998611108312,1.5132058884540631,2.2447854120885773,0.9471449851989746,0.8994123935699463
62,0.005078776966068277,0.0064371080700097215,0.011225520627303693,1.4891956153764097,2.213988769854258,0.9488089680671692,0.9021533727645874
63,0.005034324273748218,0.006302147189963539,0.011179015219313816,1.482664146277689,2.2093980369823663,0.9492570161819458,0.9025587439537048
64,0.004966053128225057,0.006135367990453851,0.01107144343846181,1.4725765135855071,2.1987422338785554,0.9499451518058777,0.9034963846206665
65,0.0047849428033434685,0.005967072382534169,0.010647122385571384,1.445474811409705,2.1561963724295317,0.9517706632614136,0.907194972038269
66,0.0046778947585713925,0.005817959401405083,0.010449406230292911,1.4292144826706683,2.1360824167446086,0.9528496265411377,0.9089183211326599
67,0.004716732192016823,0.005706393713447845,0.010374982035657622,1.4351351815859226,2.128461710862602,0.9524582028388977,0.9095670580863953
68,0.0045486111597100665,0.005717061047073243,0.010251622325423924,1.4093264518546933,2.115770154112147,0.9541527032852173,0.9106423258781433
69,0.0044725029729987785,0.005473080600770014,0.009928221197180096,1.3974861020129015,2.0821304154532605,0.9549198746681213,0.9134612083435059
70,0.004349603762429797,0.005350908954223653,0.009822251457292874,1.3781517493318365,2.0709886130660444,0.9561586380004883,0.9143849015235901
71,0.004400066491415299,0.005256119131479623,0.009953824774478762,1.386123142474768,2.0848133043823465,0.9556499719619751,0.9132380485534668
72,0.0042480422101868025,0.005224648832325947,0.009517205611782936,1.3619670490530595,2.0385760315298826,0.9571822881698608,0.9170438051223755
73,0.0041813621387655,0.005077612371060927,0.009428466453492266,1.3512355872134583,2.0290497821248903,0.9578543901443481,0.9178172945976257
74,0.004257566967800083,0.004989123318941807,0.00952050002081998,1.3634931077268875,2.0389288496743636,0.9570862650871277,0.9170150756835938
75,0.004241800089079995,0.004975035417614118,0.009545771717139146,1.3609659816069726,2.0416331256005718,0.9572452306747437,0.9167948365211487
