epoch,train_loss,test_loss
1,0.10833391333887686,0.11226430038611095
2,0.10227018826606363,0.1095244240153719
3,0.04560127809906525,0.022819921667515126
4,0.017838971308699162,0.01792567740711901
5,0.015659863158241222,0.017035636145414576
6,0.014796043025461099,0.01706132611811713
7,0.01400625081616937,0.015657348894617625
8,0.013191434073636763,0.01504958313199933
9,0.013145174565473842,0.01486092771368998
10,0.01257632853254614,0.0146734945182861
11,0.01253660360768561,0.0150418765153046
12,0.012012850592701204,0.014875669515243283
13,0.012143363382984185,0.01444947391886402
14,0.011835095446549078,0.014376225083617977
15,0.011553325419820444,0.015636311162746063
16,0.011509292020899132,0.014577483913550774
17,0.011264412341198857,0.014195030744842909
18,0.011278532705312263,0.014229451495878122
19,0.011124788665626183,0.0144199479750737
20,0.010876202175231395,0.013840812749953734
21,0.01069919482314055,0.014021597142952183
22,0.010759482150549587,0.014010494850851872
23,0.010522004993655623,0.014261486970267637
24,0.010645646745864596,0.014597517709868649
25,0.010560012624417412,0.013840077772598576
26,0.010359133657500828,0.014081072872849527
27,0.01033059571564383,0.014417503930248873
28,0.010369777074663347,0.014474756200797856
29,0.010211040954689082,0.014427892605049742
30,0.01025087623547809,0.014293447016151968
31,0.010033595028885976,0.014145500664771707
32,0.010036925456768745,0.014059741088810066
33,0.00996390836220621,0.014937435462208534
34,0.009829431471774255,0.014036680795942192
35,0.009818895602080956,0.014281514570703384
36,0.009898991665524659,0.013894746675052576
37,0.009788203578252979,0.014298035120763988
38,0.009604078221919317,0.014321081038495456
39,0.009510535128507377,0.014311614739536136
40,0.009549423851289195,0.015422317537875777
41,0.009693257805323267,0.013957333962295067
42,0.009592119803366201,0.014511462822728962
43,0.009498741978168858,0.014313329535070807
44,0.009666375888326046,0.015013581788581278
45,0.009479067052610188,0.014354860867132191
46,0.009201089695049644,0.01432930428267422
47,0.009292814387897362,0.015068369822714615
48,0.009249788260713406,0.014533895662882261
49,0.009360312387594544,0.014427953930054273
50,0.009307067031697737,0.014591856553495207
51,0.009435039961370505,0.01422962481888977
52,0.009163294836716471,0.014378259984638405
53,0.009323074085313316,0.014454094675817975
54,0.009160773708829,0.01421810160132332
55,0.009158385316628761,0.014240930503648188
56,0.00908671965034238,0.014351231623785916
57,0.009199529911364386,0.014389144829086339
58,0.009068430228452527,0.014012188590304167
59,0.009213910206255824,0.014719497192547552
60,0.009033095392039146,0.013863871464747246
61,0.009049844632941565,0.014438527950982528
62,0.008861754631577254,0.01443824146149887
63,0.008952333721336116,0.014435394162622591
64,0.008930450476825825,0.014651816083911669
65,0.009057054643932715,0.014078753879638735
66,0.009084476919794509,0.01460469011389823
67,0.009049950125028237,0.013977781097680607
68,0.008887769048647081,0.014282103731400438
69,0.008809321930948877,0.014261061498136432
70,0.008859490917288385,0.014965336994026546
71,0.00877825875140541,0.014784670465073927
72,0.008758936181212332,0.014405871336175888
73,0.008830444914331327,0.014043545682431647
74,0.008730374931655361,0.014786993338795448
75,0.00882583236634824,0.014731299875873245
76,0.008841934288790087,0.014562852922137137
77,0.008670848746942472,0.01478013144892261
78,0.00861507758046056,0.014469739120815776
79,0.008496929939712603,0.013818210469455354
80,0.008676053555218572,0.01449155823448328
81,0.008628815596563841,0.01408373711725559
82,0.00860961852981651,0.014125700930081721
83,0.008687554473150136,0.013984063864444141
84,0.008605444626071147,0.01412540185049659
85,0.008599235804237548,0.015388534930362194
86,0.00873655977531402,0.01445751965554707
87,0.008504524948249312,0.014069342550269707
88,0.008485347869191551,0.014165820834157919
89,0.00845997051154244,0.014585787165237384
90,0.008490200490686904,0.013819210996627118
91,0.008314476187603694,0.014797115396639263
92,0.008600402020567185,0.015804955423205952
93,0.008588045622469448,0.013616055722296651
94,0.008319305628924573,0.013871619805555653
95,0.008419013596661543,0.014504810366175932
96,0.008222696429825701,0.014003664282090203
97,0.008207282665885088,0.013697778340429068
98,0.008312939001533253,0.014087493156289889
99,0.008203011047659263,0.013833927016498314
100,0.008105342335809656,0.013724700444274478
