epoch,train_r²,test_r²
1,-2390.895751953125,-3553.83203125
2,-975.326416015625,-1434.5341796875
3,-507.8091735839844,-740.4500732421875
4,-243.64541625976562,-368.6073303222656
5,-110.44013214111328,-168.30587768554688
6,-45.258426666259766,-72.01607513427734
7,-22.405345916748047,-37.268436431884766
8,-13.192890167236328,-22.48940658569336
9,-8.349486351013184,-14.58880615234375
10,-5.631502628326416,-10.43087387084961
11,-3.9709386825561523,-7.357989311218262
12,-2.977342128753662,-5.808549404144287
13,-2.1659352779388428,-4.447604656219482
14,-1.5506293773651123,-3.481921672821045
15,-1.0535223484039307,-2.5690345764160156
16,-0.6863373517990112,-2.023641586303711
17,-0.4709136486053467,-1.6626474857330322
18,-0.2070612907409668,-1.2282052040100098
19,-0.016609549522399902,-0.8673588037490845
20,0.06116551160812378,-0.7054851055145264
21,0.26582974195480347,-0.39333415031433105
22,0.29230642318725586,-0.28718090057373047
23,0.43936699628829956,-0.08428382873535156
24,0.491110622882843,0.04955112934112549
25,0.5473822355270386,0.12380713224411011
26,0.5943728685379028,0.23384380340576172
27,0.648000180721283,0.31696009635925293
28,0.6770061254501343,0.38359469175338745
29,0.695216178894043,0.43132448196411133
30,0.7525129318237305,0.5102360248565674
31,0.7634918689727783,0.5443320274353027
32,0.7934343814849854,0.5994610786437988
33,0.8253923654556274,0.6466277241706848
34,0.8247402906417847,0.6577031016349792
35,0.8519740104675293,0.7062441110610962
36,0.8609808683395386,0.7187473773956299
37,0.8588200211524963,0.7311877012252808
38,0.8792595863342285,0.7586022615432739
39,0.8702877759933472,0.759246826171875
40,0.8941164612770081,0.7871904373168945
41,0.8824445009231567,0.7952560186386108
42,0.9040641188621521,0.8149524927139282
43,0.9110120534896851,0.8210604786872864
44,0.9156267642974854,0.8402090072631836
45,0.9178464412689209,0.8435307145118713
46,0.9297642707824707,0.8607451319694519
47,0.930983304977417,0.8665037751197815
48,0.9450745582580566,0.8802701234817505
49,0.9377375245094299,0.8751253485679626
50,0.9361003637313843,0.8721466064453125
