epoch,train_loss,test_loss
1,1063.2984932912907,408.6340376420454
2,157.38594123231414,165.10927404923873
3,73.28330966788279,85.40048179626464
4,37.00548400341625,42.59579551003196
5,17.471755992638673,19.526904648000542
6,7.28579094824097,8.425654337622902
7,3.3604072791309982,4.4154289343140345
8,1.8315028847663055,2.710193133354187
9,1.142378070264915,1.79866999279369
10,0.7890237203226403,1.3185386690226468
11,0.57496596991736,0.9645521703091535
12,0.4448836048444112,0.7856336907906966
13,0.3447003552051777,0.6283735219727863
14,0.27739346789921954,0.5171283157034354
15,0.22617075606271134,0.41192242313515054
16,0.18745317925729663,0.34896120103922756
17,0.1571421494856127,0.3072226945649494
18,0.13219993572000047,0.2572288494218479
19,0.1127850613403768,0.21553166447715325
20,0.09559738880871607,0.1968922534449534
21,0.08339691008200668,0.16089422763748604
22,0.072939234370357,0.14858916307037526
23,0.06310764371369366,0.1252423929558559
24,0.054562005183786295,0.10980461754582145
25,0.04853416976689453,0.10125434547662734
26,0.04194776477738166,0.08851339728994803
27,0.03808508296562752,0.07893455289304256
28,0.034492322597915015,0.07128048136153005
29,0.03096255968311723,0.06576589776033705
30,0.026941632506538166,0.056607812372120946
31,0.024739190660626957,0.05270844938402826
32,0.021720724407705904,0.046332304416732355
33,0.01969748435043533,0.040867491168054666
34,0.018593327382780578,0.0395564796233719
35,0.01681561367542531,0.033997631750323554
36,0.015686932293164757,0.03258619134060361
37,0.01398989025223563,0.031168684956024994
38,0.013001817278563976,0.027986522916365754
39,0.01197331046090929,0.027825591899454594
40,0.011118173400298671,0.024659099599177187
41,0.010586105864232694,0.02369575397196141
42,0.009730145337383651,0.02149221674454483
43,0.008798286790998889,0.02073563290759921
44,0.008688482952177385,0.018528135620396246
45,0.008336995729407024,0.018151945002715695
46,0.007708200400021854,0.016164933051913976
47,0.007570783573775574,0.015490749461407011
48,0.00686253828298248,0.013933327510444956
49,0.0063908077664935675,0.014527353432706811
50,0.006232965869846548,0.014853695788505402
