epoch,train_mae,test_mae
1,233.12997436523438,325.1304626464844
2,149.1652374267578,205.9809112548828
3,108.74930572509766,148.64268493652344
4,75.01016998291016,104.72539520263672
5,50.50920486450195,70.52696228027344
6,32.07334899902344,46.358882904052734
7,22.69782257080078,33.584571838378906
8,17.76862907409668,26.275758743286133
9,14.38864803314209,21.43967056274414
10,12.13529109954834,18.39025115966797
11,10.54166316986084,15.701169967651367
12,9.482930183410645,14.204345703125
13,8.506542205810547,12.746720314025879
14,7.576026439666748,11.546542167663574
15,6.785493850708008,10.303437232971191
16,6.139341831207275,9.477011680603027
17,5.812995433807373,8.926090240478516
18,5.218232154846191,8.147279739379883
19,4.785882472991943,7.4456467628479
20,4.711730003356934,7.128673553466797
21,4.053810119628906,6.42090368270874
22,4.0557026863098145,6.197861194610596
23,3.5573787689208984,5.669520854949951
24,3.4267265796661377,5.297394275665283
25,3.26318359375,5.091979503631592
26,3.1021361351013184,4.7636237144470215
27,2.8695602416992188,4.481115341186523
28,2.7590863704681396,4.278698444366455
29,2.7202765941619873,4.113941192626953
30,2.4237728118896484,3.801696300506592
31,2.4019179344177246,3.674682378768921
32,2.2172043323516846,3.433014154434204
33,2.0208044052124023,3.211585283279419
34,2.037276029586792,3.167573928833008
35,1.8624502420425415,2.9170446395874023
36,1.819042444229126,2.875227689743042
37,1.8503472805023193,2.8034090995788574
38,1.6885465383529663,2.64725661277771
39,1.7640115022659302,2.6679461002349854
40,1.5831842422485352,2.4692187309265137
41,1.6796106100082397,2.418790102005005
42,1.4948786497116089,2.302483558654785
43,1.4577276706695557,2.2617242336273193
44,1.3752117156982422,2.1021337509155273
45,1.3720734119415283,2.0953617095947266
46,1.232365369796753,1.9522863626480103
47,1.2170449495315552,1.8904284238815308
48,1.04476797580719,1.76065993309021
49,1.1791670322418213,1.831678032875061
50,1.2017672061920166,1.8660883903503418
