epoch,train_eval_loss,train_step_loss,test_loss
1,0.12810419971733322,11.236230735790055,0.171119306072499
2,0.017173706962121792,0.05607178923234625,0.024174964925505353
3,0.011953280895133282,0.015879864576009085,0.01805353212383831
4,0.010144085380719632,0.013209647745034605,0.015430493208938084
5,0.00902635432290494,0.01137764924117979,0.014135363205560213
6,0.008424205493295821,0.01033211738433478,0.013463402387412907
7,0.007971078732809826,0.009673602070729688,0.012999043831353599
8,0.007666536572385082,0.009102396974515802,0.012696349532212988
9,0.007338835780028103,0.008816584118835206,0.012430950019480911
10,0.007184679464270745,0.008566937031540668,0.012695760846887744
11,0.006999160340869045,0.008056787018365454,0.01207751165191537
12,0.006663098203363484,0.007738065369919223,0.011874921394116951
