timestamp,step,actual,predicted
2017/12/25 10:00,1,16.436625,15.972742
2017/12/25 11:00,2,18.252323,18.20412
2017/12/25 12:00,3,18.565582,18.951475
2017/12/25 13:00,4,18.201536,18.37134
2017/12/25 14:00,5,16.77098,16.198072
2017/12/25 15:00,6,11.667092,12.881137
2017/12/25 16:00,7,9.9091,8.95347
2017/12/25 17:00,8,4.101683,4.8849454
2017/12/25 18:00,9,1.8733093,1.7469901
2017/12/25 19:00,10,0.21175325,0.09605056
2017/12/25 20:00,11,-0.021477088,-0.29772204
2017/12/25 21:00,12,-0.021380499,-0.2889956
2017/12/25 22:00,13,-0.021232285,-0.103794485
2017/12/25 23:00,14,-0.021055229,-0.031896893
2017/12/26 0:00,15,-0.02085516,-0.07659425
2017/12/26 1:00,16,-0.020995563,-0.22079751
2017/12/26 2:00,17,-0.020960875,-0.23336361
2017/12/26 3:00,18,-0.020981167,-0.1361856
2017/12/26 4:00,19,-0.021036558,0.015930004
2017/12/26 5:00,20,-0.020979203,0.40856916
2017/12/26 6:00,21,0.4431722,1.5305121
2017/12/26 7:00,22,3.2879536,3.8230171
2017/12/26 8:00,23,8.326607,7.470361
2017/12/26 9:00,24,11.624677,11.869533
