epoch,gamma_psg,physbias_w_norm_layer0,physbias_w_norm_layer1,physbias_w_norm_layer2,physbias_w_norm_layer3
33,-1.2570254802703857,7.004228591918945,6.394633769989014,7.026858806610107,3.122084617614746
34,-1.1922907829284668,7.230597972869873,6.562798023223877,7.2875871658325195,3.1165263652801514
35,-1.0449250936508179,7.442822456359863,6.798356056213379,7.573320388793945,3.181159496307373
36,-1.1406482458114624,7.700118541717529,6.937492847442627,7.888221263885498,3.300670623779297
37,-1.1995930671691895,7.886739730834961,7.127523899078369,7.979675769805908,3.3271031379699707
38,-1.2568776607513428,7.9159135818481445,7.257945537567139,8.071937561035156,3.323023557662964
39,-1.2779648303985596,8.030847549438477,7.387108325958252,8.183745384216309,3.353842258453369
40,-1.391209602355957,8.18587589263916,7.63277530670166,8.24990177154541,3.3209643363952637
41,-1.4669594764709473,8.360279083251953,7.764613151550293,8.30519962310791,3.3530139923095703
42,-1.5229878425598145,8.513848304748535,7.8578619956970215,8.410463333129883,3.33909273147583
43,-1.2781747579574585,8.676106452941895,7.856971263885498,8.480748176574707,3.363816499710083
44,-1.3390591144561768,8.694141387939453,7.895992279052734,8.542549133300781,3.37023663520813
45,-1.3337156772613525,8.770502090454102,7.90294885635376,8.538936614990234,3.3953793048858643
46,-1.275367259979248,8.850390434265137,7.871459484100342,8.57383918762207,3.41743803024292
47,-1.3532418012619019,8.882104873657227,8.05178451538086,8.651456832885742,3.35221266746521
48,-1.4450149536132812,8.933639526367188,8.129850387573242,8.887687683105469,3.3225722312927246
49,-1.453192949295044,9.06873607635498,8.414064407348633,9.07043743133545,3.3406107425689697
50,-1.3684582710266113,9.088279724121094,8.577103614807129,9.238919258117676,3.2903823852539062
51,-1.3433878421783447,9.248091697692871,8.716511726379395,9.581597328186035,3.288141965866089
52,-1.322051763534546,9.406757354736328,8.991098403930664,9.92541790008545,3.3273918628692627
53,-1.332718849182129,9.402669906616211,8.993244171142578,10.200414657592773,3.3344717025756836
54,-1.2987446784973145,9.485800743103027,9.148499488830566,10.284504890441895,3.324253797531128
55,-1.2238695621490479,9.429871559143066,9.411234855651855,10.379450798034668,3.3141722679138184
56,-1.297326922416687,9.466703414916992,9.289658546447754,10.542740821838379,3.2805800437927246
57,-1.2400916814804077,9.500688552856445,9.386746406555176,10.648033142089844,3.2964773178100586
58,-1.2576138973236084,9.573686599731445,9.479154586791992,10.707273483276367,3.2893245220184326
59,-1.2207828760147095,9.547679901123047,9.403871536254883,10.695818901062012,3.2915117740631104
60,-1.214125633239746,9.497485160827637,9.469996452331543,10.732447624206543,3.2887320518493652
61,-1.1212338209152222,9.511080741882324,9.419696807861328,10.763374328613281,3.2956788539886475
62,-1.1917380094528198,9.56579303741455,9.400382995605469,10.791305541992188,3.2607171535491943
63,-1.2087459564208984,9.55160903930664,9.45948600769043,10.801471710205078,3.266601324081421
64,-1.1886662244796753,9.529745101928711,9.531359672546387,10.921226501464844,3.193941354751587
65,-1.155934453010559,9.526412010192871,9.500664710998535,10.973362922668457,3.163753032684326
66,-1.1684324741363525,9.53632926940918,9.502514839172363,10.952003479003906,3.136475086212158
67,-1.1571308374404907,9.578810691833496,9.5658597946167,10.972249031066895,3.1065149307250977
68,-1.086185097694397,9.625903129577637,9.582416534423828,10.930157661437988,3.1049134731292725
69,-1.07828688621521,9.65307331085205,9.592643737792969,10.998368263244629,3.072883367538452
70,-1.0860658884048462,9.686504364013672,9.53864860534668,11.005900382995605,3.0310616493225098
71,-1.0988492965698242,9.722456932067871,9.533843040466309,11.029267311096191,3.06388521194458
72,-1.138386845588684,9.730427742004395,9.587867736816406,11.082740783691406,3.0646302700042725
73,-1.1336275339126587,9.687577247619629,9.611595153808594,11.122932434082031,3.053870439529419
74,-1.1278282403945923,9.7271146774292,9.698690414428711,11.07231616973877,3.0511512756347656
75,-1.1111241579055786,9.769353866577148,9.840249061584473,11.168197631835938,3.0998308658599854
76,-1.0707730054855347,9.8549222946167,9.931337356567383,11.352862358093262,3.1389071941375732
77,-0.8964619636535645,9.906953811645508,10.021977424621582,11.474995613098145,3.1706554889678955
78,-0.8851227760314941,10.01577377319336,10.165688514709473,11.496814727783203,3.21378755569458
79,-0.8812940716743469,10.038378715515137,10.149580955505371,11.476975440979004,3.213717460632324
80,-0.8886507153511047,10.042045593261719,10.220770835876465,11.524404525756836,3.2742393016815186
81,-0.9442307949066162,10.00643253326416,10.273908615112305,11.578417778015137,3.2654635906219482
82,-0.9962511658668518,10.100483894348145,10.296133041381836,11.6317777633667,3.2865121364593506
83,-1.0084688663482666,10.15003490447998,10.310334205627441,11.77680778503418,3.3123297691345215
84,-0.9734222292900085,10.19994831085205,10.317801475524902,11.841032981872559,3.3535921573638916
85,-0.989555835723877,10.261563301086426,10.308250427246094,11.96336555480957,3.3935718536376953
86,-1.0215833187103271,10.257221221923828,10.321730613708496,12.012310028076172,3.4081978797912598
87,-1.0720322132110596,10.270707130432129,10.36671257019043,12.049118995666504,3.432936191558838
88,-1.105175495147705,10.282135963439941,10.40736198425293,12.072367668151855,3.4659063816070557
89,-1.1014105081558228,10.281617164611816,10.448192596435547,12.06303596496582,3.4700825214385986
90,-1.1338920593261719,10.266249656677246,10.467645645141602,12.041926383972168,3.4728357791900635
91,-1.1214900016784668,10.218270301818848,10.53221607208252,12.042267799377441,3.457963466644287
92,-1.1086297035217285,10.240679740905762,10.617650985717773,12.051968574523926,3.4707629680633545
93,-1.0862611532211304,10.243226051330566,10.66757869720459,12.049887657165527,3.462329149246216
94,-1.1055545806884766,10.272275924682617,10.675000190734863,12.058199882507324,3.4734549522399902
95,-1.115031361579895,10.271220207214355,10.687665939331055,12.079435348510742,3.464249610900879
96,-1.1042362451553345,10.283711433410645,10.718395233154297,12.1030912399292,3.4642627239227295
97,-1.1187217235565186,10.287271499633789,10.763416290283203,12.097262382507324,3.5130746364593506
98,-1.1334924697875977,10.30873966217041,10.769434928894043,12.100348472595215,3.535242795944214
99,-1.1418131589889526,10.32468032836914,10.805229187011719,12.125768661499023,3.546363592147827
100,-1.1466642618179321,10.353262901306152,10.819104194641113,12.132401466369629,3.5656800270080566
101,-1.1388524770736694,10.36815357208252,10.773727416992188,12.147459983825684,3.586200475692749
102,-1.145430088043213,10.370392799377441,10.787553787231445,12.154281616210938,3.599456548690796
103,-1.1373705863952637,10.3887939453125,10.781206130981445,12.15916919708252,3.5910420417785645
104,-1.142439842224121,10.42202091217041,10.767399787902832,12.139647483825684,3.598954439163208
105,-1.1419113874435425,10.455835342407227,10.804616928100586,12.14855670928955,3.605586290359497
106,-1.1459707021713257,10.491809844970703,10.79784870147705,12.160077095031738,3.5879578590393066
107,-1.164957046508789,10.512528419494629,10.794615745544434,12.18726921081543,3.634726047515869
108,-1.1616204977035522,10.517125129699707,10.805293083190918,12.20396614074707,3.612957000732422
109,-1.165862798690796,10.521317481994629,10.828213691711426,12.227783203125,3.6040453910827637
110,-1.1617958545684814,10.526816368103027,10.823230743408203,12.239892959594727,3.6177403926849365
111,-1.1563668251037598,10.52576732635498,10.808734893798828,12.250199317932129,3.6093556880950928
112,-1.1671971082687378,10.551563262939453,10.823835372924805,12.238452911376953,3.6249732971191406
113,-1.2096443176269531,10.56546688079834,10.836655616760254,12.260451316833496,3.643784284591675
114,-1.208690881729126,10.530050277709961,10.839746475219727,12.255011558532715,3.6471030712127686
115,-1.1953339576721191,10.53814697265625,10.854449272155762,12.211981773376465,3.645752429962158
116,-1.195846438407898,10.529510498046875,10.862882614135742,12.195884704589844,3.622710704803467
117,-1.1906269788742065,10.521957397460938,10.867040634155273,12.204473495483398,3.6566343307495117
118,-1.1991044282913208,10.52316665649414,10.874578475952148,12.213951110839844,3.6763062477111816
119,-1.202788233757019,10.520981788635254,10.868379592895508,12.211563110351562,3.6990442276000977
120,-1.2114405632019043,10.519255638122559,10.87954044342041,12.222504615783691,3.709822416305542
121,-1.179005742073059,10.52979850769043,10.880305290222168,12.222509384155273,3.7697885036468506
122,-1.165264368057251,10.531784057617188,10.904118537902832,12.22049331665039,3.787625551223755
123,-1.1746950149536133,10.53290843963623,10.914311408996582,12.213949203491211,3.7930469512939453
124,-1.174006700515747,10.540284156799316,10.90773868560791,12.195948600769043,3.799441337585449
125,-1.1780788898468018,10.538607597351074,10.908759117126465,12.202674865722656,3.7954587936401367
126,-1.1918017864227295,10.542633056640625,10.909453392028809,12.219955444335938,3.760284185409546
127,-1.2161808013916016,10.540434837341309,10.90636157989502,12.21711540222168,3.7597970962524414
128,-1.209947109222412,10.542664527893066,10.913455963134766,12.217527389526367,3.7657923698425293
129,-1.2305880784988403,10.541643142700195,10.925276756286621,12.22675609588623,3.773179531097412
130,-1.2050155401229858,10.537482261657715,10.922057151794434,12.225223541259766,3.775082588195801
131,-1.2124977111816406,10.546358108520508,10.929786682128906,12.242274284362793,3.775113821029663
132,-1.2044116258621216,10.555746078491211,10.930696487426758,12.24395751953125,3.7696614265441895
133,-1.2121391296386719,10.558906555175781,10.92259407043457,12.248329162597656,3.7660062313079834
134,-1.2051936388015747,10.56558895111084,10.9238862991333,12.250277519226074,3.767531633377075
135,-1.2049477100372314,10.56547737121582,10.926963806152344,12.247583389282227,3.7684285640716553
136,-1.2089753150939941,10.579763412475586,10.918537139892578,12.246099472045898,3.7685680389404297
137,-1.227155089378357,10.583086967468262,10.923385620117188,12.245560646057129,3.774547815322876
138,-1.2301456928253174,10.584612846374512,10.928268432617188,12.24780559539795,3.7860496044158936
139,-1.234374761581421,10.589731216430664,10.942548751831055,12.250252723693848,3.7888355255126953
140,-1.2275562286376953,10.590123176574707,10.941496849060059,12.24476432800293,3.7714481353759766
141,-1.2015255689620972,10.591741561889648,10.943095207214355,12.235973358154297,3.7748360633850098
142,-1.1999402046203613,10.593940734863281,10.94361686706543,12.22578239440918,3.777092456817627
143,-1.2010228633880615,10.594910621643066,10.933999061584473,12.227036476135254,3.7832345962524414
144,-1.2348085641860962,10.60035514831543,10.924211502075195,12.25132942199707,3.7450902462005615
145,-1.2541958093643188,10.59457778930664,10.925422668457031,12.25861644744873,3.749445915222168
146,-1.2550687789916992,10.59872817993164,10.925028800964355,12.267653465270996,3.7557551860809326
147,-1.2635072469711304,10.59835433959961,10.916807174682617,12.266839981079102,3.7638180255889893
148,-1.256340503692627,10.597532272338867,10.908669471740723,12.268758773803711,3.7655029296875
149,-1.2494819164276123,10.592267990112305,10.90318775177002,12.26514720916748,3.7609870433807373
150,-1.2444500923156738,10.595852851867676,10.910537719726562,12.264813423156738,3.760221004486084
151,-1.2520850896835327,10.6028470993042,10.903635025024414,12.264914512634277,3.753782272338867
152,-1.2493007183074951,10.611413955688477,10.89932918548584,12.268832206726074,3.751887083053589
153,-1.2396278381347656,10.618038177490234,10.8998384475708,12.271261215209961,3.755357265472412
154,-1.24335777759552,10.61135196685791,10.903205871582031,12.273940086364746,3.7560617923736572
155,-1.243618369102478,10.608587265014648,10.902775764465332,12.274625778198242,3.754664421081543
156,-1.2484827041625977,10.60784912109375,10.899518966674805,12.272736549377441,3.749145746231079
157,-1.2424194812774658,10.607718467712402,10.897449493408203,12.27214527130127,3.7502570152282715
158,-1.250855803489685,10.604913711547852,10.90317440032959,12.280231475830078,3.7483925819396973
159,-1.2591122388839722,10.601729393005371,10.910684585571289,12.276147842407227,3.7417471408843994
160,-1.2692632675170898,10.603541374206543,10.907391548156738,12.27475357055664,3.734769344329834
161,-1.273016095161438,10.605645179748535,10.907742500305176,12.268044471740723,3.7316176891326904
162,-1.2750340700149536,10.606096267700195,10.912541389465332,12.267635345458984,3.7228567600250244
163,-1.2798899412155151,10.60415267944336,10.916688919067383,12.269108772277832,3.719902753829956
164,-1.2779120206832886,10.606315612792969,10.921177864074707,12.266172409057617,3.718641519546509
165,-1.277138113975525,10.606505393981934,10.928446769714355,12.26167106628418,3.7184174060821533
166,-1.2706551551818848,10.605977058410645,10.925179481506348,12.260190963745117,3.7199506759643555
167,-1.2722172737121582,10.605956077575684,10.920882225036621,12.263689994812012,3.720418930053711
168,-1.273582935333252,10.609892845153809,10.923545837402344,12.26495361328125,3.720365524291992
169,-1.2752790451049805,10.610237121582031,10.922957420349121,12.262703895568848,3.723541736602783
170,-1.2787084579467773,10.609098434448242,10.926115989685059,12.261307716369629,3.7219629287719727
171,-1.2829307317733765,10.610651969909668,10.923906326293945,12.263476371765137,3.720961570739746
172,-1.2913439273834229,10.612781524658203,10.922758102416992,12.26474380493164,3.717534303665161
173,-1.2952196598052979,10.613972663879395,10.921670913696289,12.265235900878906,3.7139170169830322
174,-1.30247163772583,10.614554405212402,10.92201042175293,12.265520095825195,3.712165117263794
175,-1.3031409978866577,10.613649368286133,10.922014236450195,12.262907028198242,3.7102572917938232
176,-1.3034957647323608,10.614486694335938,10.922473907470703,12.261630058288574,3.7102460861206055
177,-1.3056678771972656,10.614884376525879,10.923104286193848,12.260966300964355,3.7087104320526123
178,-1.3046152591705322,10.615745544433594,10.923361778259277,12.261303901672363,3.7072465419769287
179,-1.3055953979492188,10.618144035339355,10.91995906829834,12.261552810668945,3.7053306102752686
180,-1.304818034172058,10.618170738220215,10.91755199432373,12.261242866516113,3.705514430999756
181,-1.305030345916748,10.618535995483398,10.91688346862793,12.261991500854492,3.7060906887054443
182,-1.3072595596313477,10.619280815124512,10.915946006774902,12.262514114379883,3.705171823501587
183,-1.3083107471466064,10.619674682617188,10.915937423706055,12.263266563415527,3.7052810192108154
184,-1.3096297979354858,10.620763778686523,10.915891647338867,12.263396263122559,3.703712224960327
185,-1.3108515739440918,10.62124252319336,10.916999816894531,12.263476371765137,3.701892137527466
186,-1.310289740562439,10.620759010314941,10.916831970214844,12.263320922851562,3.70167875289917
187,-1.311096429824829,10.621508598327637,10.917115211486816,12.263323783874512,3.7023682594299316
188,-1.3121963739395142,10.62159252166748,10.9160737991333,12.262948989868164,3.702899694442749
189,-1.311816930770874,10.621444702148438,10.916204452514648,12.262636184692383,3.702296018600464
190,-1.311515212059021,10.621585845947266,10.91656494140625,12.263296127319336,3.702848434448242
191,-1.312421441078186,10.622103691101074,10.916086196899414,12.263710021972656,3.7017531394958496
192,-1.313246250152588,10.621622085571289,10.916484832763672,12.263282775878906,3.701756000518799
193,-1.3131179809570312,10.621363639831543,10.916360855102539,12.262965202331543,3.7006945610046387
194,-1.3137824535369873,10.621875762939453,10.916501998901367,12.262967109680176,3.700134754180908
195,-1.3140970468521118,10.622354507446289,10.916894912719727,12.263556480407715,3.6995298862457275
196,-1.3146731853485107,10.622723579406738,10.917536735534668,12.263738632202148,3.6994330883026123
197,-1.3159868717193604,10.622946739196777,10.917908668518066,12.263425827026367,3.699084997177124
198,-1.3163682222366333,10.623462677001953,10.91817569732666,12.263877868652344,3.6990976333618164
199,-1.316456913948059,10.62331771850586,10.918655395507812,12.263665199279785,3.6993236541748047
200,-1.31699800491333,10.62314224243164,10.918550491333008,12.26325511932373,3.6997079849243164
