epoch,train_mse,validation_mse
1,183207.421875,249647.625
2,0.0,89886.0703125
3,0.0,46566.8203125
4,0.0,28035.267578125
5,0.0,17709.3671875
6,0.0,12091.9970703125
7,0.0,8581.951171875
8,0.0,6047.3046875
9,0.0,4162.0419921875
10,0.0,2916.83349609375
11,0.0,2000.04931640625
12,0.0,1317.3804931640625
13,0.0,872.5344848632812
14,0.0,596.4473266601562
15,0.0,408.75579833984375
16,0.0,301.0700378417969
17,0.0,229.63885498046875
18,0.0,174.47311401367188
19,0.0,135.0068359375
20,0.0,111.62297058105469
21,0.0,92.21839141845703
22,0.0,76.62003326416016
23,0.0,65.10365295410156
24,0.0,56.05216979980469
25,32.60335922241211,48.59660339355469
26,0.0,41.73151779174805
27,0.0,37.09028244018555
28,0.0,33.022010803222656
29,0.0,29.168237686157227
30,0.0,26.2260799407959
31,0.0,23.1400203704834
32,0.0,20.956308364868164
33,0.0,18.826702117919922
34,0.0,16.964067459106445
35,0.0,15.66243839263916
36,0.0,14.711628913879395
37,0.0,13.155951499938965
38,0.0,11.529516220092773
39,0.0,10.740248680114746
40,0.0,10.066605567932129
41,0.0,9.411567687988281
42,0.0,8.60538387298584
43,0.0,8.267962455749512
44,0.0,7.393240451812744
45,0.0,6.997866630554199
46,0.0,6.60493278503418
47,0.0,6.498018741607666
48,0.0,5.7990264892578125
49,0.0,5.426989555358887
50,3.2730464935302734,5.187591075897217
