epoch,train_mae,validation_mae
1,312.4010009765625,349.1766357421875
2,0.0,209.92172241210938
3,0.0,152.44320678710938
4,0.0,118.59529113769531
5,0.0,92.71827697753906
6,0.0,75.71345520019531
7,0.0,64.07585144042969
8,0.0,53.885337829589844
9,0.0,44.44694137573242
10,0.0,37.24370574951172
11,0.0,30.762832641601562
12,0.0,24.69168472290039
13,0.0,20.10942268371582
14,0.0,16.622356414794922
15,0.0,13.599472999572754
16,0.0,11.67843246459961
17,0.0,10.348841667175293
18,0.0,8.940987586975098
19,0.0,7.771463394165039
20,0.0,7.160059928894043
21,0.0,6.490280628204346
22,0.0,5.9182939529418945
23,0.0,5.456122398376465
24,0.0,5.107685089111328
25,4.132258892059326,4.786844253540039
26,0.0,4.404792308807373
27,0.0,4.1941022872924805
28,0.0,3.9461355209350586
29,0.0,3.7216904163360596
30,0.0,3.5560989379882812
31,0.0,3.3208227157592773
32,0.0,3.1722235679626465
33,0.0,2.9798824787139893
34,0.0,2.846595287322998
35,0.0,2.755894184112549
36,0.0,2.667415142059326
37,0.0,2.532644271850586
38,0.0,2.321911573410034
39,0.0,2.250656843185425
40,0.0,2.2023446559906006
41,0.0,2.131477117538452
42,0.0,2.0019643306732178
43,0.0,2.011942148208618
44,0.0,1.8719476461410522
45,0.0,1.7918827533721924
46,0.0,1.7419613599777222
47,0.0,1.7326840162277222
48,0.0,1.6158816814422607
49,0.0,1.5804054737091064
50,1.2372380495071411,1.5111531019210815
