epoch,train_loss,validation_loss
1,1798.6729600895087,570.3654826771129
2,273.4562796417778,205.49073180285367
3,118.37934992863582,106.5742282000455
4,66.38649844558987,64.1486937566237
5,43.077119116247054,40.50278050249273
6,29.366633539369122,27.66238958185369
7,21.303999088219637,19.61673937060616
8,15.08487443246785,13.826301791451193
9,10.931795628113154,9.517238654873587
10,7.716709658944395,6.6692178235812625
11,5.460922695475922,4.574683519926938
12,3.7246408984505917,3.0111434547738596
13,2.52453220737051,1.9945612891831181
14,1.7254244311321416,1.363351246850057
15,1.207710467852079,0.9342365066774867
16,0.8631294009953561,0.6881467615338889
17,0.6677141757406426,0.5248096287250519
18,0.5069343075597075,0.39882140403444116
19,0.41355202748225284,0.30861388659104705
20,0.3306964131502005,0.2551454830999402
21,0.2765710070817428,0.210768786131997
22,0.23681000730342414,0.17505504377186298
23,0.19914182654675647,0.1487766900099814
24,0.17365393584825584,0.1280743874694136
25,0.14715174783969068,0.11105355992913246
26,0.12813925147938304,0.09537508863617074
27,0.11334634417965567,0.08475620574741201
28,0.10101590279115022,0.07550720633430914
29,0.0887297542446111,0.06666311528533697
30,0.08047100330686428,0.05993678852577101
31,0.07122054850385034,0.052898175538178875
32,0.0653083680649481,0.047880499020472846
33,0.05694771853424388,0.043034487488594925
34,0.052375893973739894,0.03877859867431901
35,0.047143831871141344,0.03580212273465639
36,0.0434670725936544,0.03361952655144374
37,0.03867762939199893,0.03008018749427389
38,0.03524022925226293,0.026355872756208886
39,0.032347807726828305,0.024544950579928063
40,0.02917649131819341,0.023012614930683576
41,0.02741002360876848,0.021513479989318348
42,0.025442889665622682,0.019697411250407724
43,0.023273979445930418,0.01889021779855036
44,0.021288438617477756,0.016910053662617098
45,0.019222082283634406,0.016009075508918613
46,0.01814992613980227,0.015101279502480545
47,0.016850920369264465,0.014874560123478825
48,0.01586901453274065,0.013259213616203686
49,0.014450060622491075,0.012421993581070141
50,0.013588874600827694,0.011873484422473914
