epoch,train_loss,test_loss
1,1884.6304020411533,609.7286948464133
2,177.7632630755644,150.43101251775568
3,57.83874412321708,64.52972406907516
4,27.307392581527782,34.56852091008967
5,15.163252642456914,20.809117152474144
6,9.308575934647395,13.073279627886686
7,5.954491711558311,8.940622758865356
8,3.971367537135809,6.043431531299245
9,2.7107454555135377,4.143128017945723
10,1.8763811227301477,2.927642530744726
11,1.326289373384395,2.0968316219069743
12,0.9340561706695198,1.4628501718694513
13,0.654867409120703,1.0773569724776528
14,0.4628854041368189,0.7557368156584826
15,0.32529034692916514,0.5523112004453485
16,0.23106741359536076,0.43356921171600166
17,0.16701023903251255,0.32214039184830406
18,0.12262984053909498,0.26662222174080935
19,0.09308726370264667,0.21855792484500192
20,0.07308894819077191,0.19161449880762535
21,0.05975213314585842,0.16085662665692244
22,0.04933477284063196,0.13691694262352858
23,0.041981980169602966,0.12155757438052785
24,0.03594817468642909,0.1017453653907234
25,0.031182650279935817,0.09051856601780112
26,0.027485047322763523,0.08152208922600204
27,0.02454237212282671,0.07354756759648973
28,0.021834193864408793,0.06712721935050055
29,0.01993179270131907,0.060746077752926134
30,0.018149780616723874,0.05689187781377272
31,0.016758155829749755,0.05031288953667337
32,0.01536345414318879,0.04614936131983995
33,0.01406703536079523,0.042818252005699005
34,0.01302762871100939,0.03913148782131347
35,0.01197848503560947,0.03538528127087788
36,0.01119173200748546,0.0333010937595232
37,0.010378780289435051,0.029824985216625712
38,0.009614724482239132,0.027002374463799324
39,0.009039234177607327,0.02491844149983742
40,0.008374227208693123,0.02337348420088264
41,0.007846463660757657,0.021681899204850197
42,0.007543522859114646,0.02032862709496509
43,0.007022460743330174,0.019271281890740448
44,0.006632414728429326,0.01781209667467258
45,0.006377909473523917,0.015795759844001046
46,0.005988259136265782,0.01580451226962561
47,0.005736636465738917,0.01391899772200056
48,0.005515270700848753,0.013485288399864327
49,0.0053156880637796975,0.012742436084557664
50,0.005095259859248506,0.012333290109580213
