epoch,train_mse,test_mse
1,284789.09375,15352837.0
2,0.0,13374565.0
3,0.0,11323618.0
4,0.0,9300669.0
5,0.0,7457422.0
6,0.0,5947120.0
7,0.0,4725568.0
8,0.0,3743632.0
9,0.0,2960854.75
10,0.0,2335199.25
11,0.0,1838158.375
12,0.0,1441057.125
13,0.0,1127648.125
14,0.0,877405.375
15,0.0,678832.9375
16,0.0,519434.71875
17,0.0,391622.40625
18,0.0,293192.46875
19,0.0,218844.53125
20,0.0,162188.734375
21,0.0,121306.3359375
22,0.0,90617.2578125
23,0.0,67982.09375
24,0.0,51432.09765625
25,0.0,38986.57421875
26,0.0,29827.1171875
27,0.0,22928.69140625
28,0.0,17894.974609375
29,0.0,13938.859375
30,0.0,10870.0380859375
31,0.0,8507.9892578125
32,0.0,6707.0673828125
33,0.0,5334.07373046875
34,0.0,4229.35791015625
35,0.0,3327.480712890625
36,0.0,2599.009033203125
37,0.0,2019.7540283203125
38,0.0,1563.4610595703125
39,0.0,1204.1715087890625
40,0.0,971.7457885742188
41,0.0,778.4008178710938
42,0.0,616.8544921875
43,0.0,484.7376708984375
44,0.0,380.35150146484375
45,0.0,298.06378173828125
46,0.0,234.9342498779297
47,0.0,187.04904174804688
48,0.0,149.66395568847656
49,0.0,122.50883483886719
50,0.13281743228435516,103.27093505859375
51,0.0,89.43961334228516
52,0.0,78.85176849365234
53,0.0,71.21501159667969
54,0.0,64.7096939086914
55,0.0,59.49264144897461
56,0.0,55.28120040893555
57,0.0,51.96193313598633
58,0.0,49.18910217285156
59,0.0,43.994102478027344
60,0.0,39.258934020996094
61,0.0,34.8903923034668
62,0.0,30.981081008911133
63,0.0,27.657100677490234
64,0.0,24.872983932495117
65,0.0,22.553911209106445
66,0.0,20.754060745239258
67,0.0,19.18538475036621
68,0.0,17.979354858398438
69,0.0,16.869916915893555
70,0.0,15.861513137817383
71,0.0,14.888723373413086
72,0.0,14.038440704345703
73,0.0,13.314909934997559
74,0.0,12.628397941589355
75,0.0,12.034236907958984
76,0.0,11.506885528564453
77,0.0,11.085158348083496
78,0.0,10.679012298583984
79,0.0,10.286434173583984
80,0.0,9.982294082641602
81,0.0,9.700090408325195
82,0.0,9.427709579467773
83,0.0,9.163530349731445
84,0.0,8.850221633911133
85,0.0,8.614072799682617
86,0.0,8.406039237976074
87,0.0,8.280048370361328
88,0.0,8.139925003051758
89,0.0,8.026782989501953
90,0.0,7.888836860656738
91,0.0,7.762600898742676
92,0.0,7.633570671081543
93,0.0,7.470869541168213
94,0.0,7.347886085510254
95,0.0,7.232029438018799
96,0.0,7.131832599639893
97,0.0,7.039180755615234
98,0.0,6.917026519775391
99,0.0,6.853445053100586
100,0.04078390449285507,6.809982776641846
101,0.0,6.748392581939697
102,0.0,6.687951564788818
103,0.0,6.606442451477051
104,0.0,6.536372661590576
105,0.0,6.487344264984131
106,0.0,6.445700645446777
107,0.0,6.422036647796631
108,0.0,6.373292922973633
109,0.0,6.326744079589844
110,0.0,6.278950214385986
111,0.0,6.237008571624756
112,0.0,6.193950653076172
113,0.0,6.162458419799805
114,0.0,6.1562886238098145
115,0.0,6.135603427886963
116,0.0,6.123218536376953
117,0.0,6.106078147888184
118,0.0,6.0829362869262695
119,0.0,6.073209285736084
120,0.0,6.0584516525268555
121,0.0,6.055232048034668
122,0.0,6.066688537597656
