epoch,train_mae,test_mae
1,385.086669921875,3105.05126953125
2,0.0,2898.294921875
3,0.0,2667.001708984375
4,0.0,2416.834716796875
5,0.0,2166.860595703125
6,0.0,1937.127197265625
7,0.0,1728.535888671875
8,0.0,1540.05712890625
9,0.0,1371.0716552734375
10,0.0,1218.6968994140625
11,0.0,1082.3221435546875
12,0.0,959.1055297851562
13,0.0,849.141357421875
14,0.0,749.0697021484375
15,0.0,658.9371948242188
16,0.0,576.3734130859375
17,0.0,500.4996337890625
18,0.0,432.94696044921875
19,0.0,373.3448791503906
20,0.0,320.151123046875
21,0.0,275.49200439453125
22,0.0,236.47828674316406
23,0.0,203.02130126953125
24,0.0,174.72525024414062
25,0.0,150.8118133544922
26,0.0,130.65484619140625
27,0.0,113.38652038574219
28,0.0,99.09512329101562
29,0.0,86.48119354248047
30,0.0,75.69528198242188
31,0.0,66.38972473144531
32,0.0,58.43072509765625
33,0.0,51.60132598876953
34,0.0,45.512020111083984
35,0.0,40.00320053100586
36,0.0,35.06407928466797
37,0.0,30.668399810791016
38,0.0,26.791152954101562
39,0.0,23.389751434326172
40,0.0,20.724515914916992
41,0.0,18.292306900024414
42,0.0,16.09595489501953
43,0.0,14.111326217651367
44,0.0,12.350786209106445
45,0.0,10.777519226074219
46,0.0,9.402685165405273
47,0.0,8.206745147705078
48,0.0,7.15341854095459
49,0.0,6.270358085632324
50,0.22923365235328674,5.544122219085693
51,0.0,4.942160129547119
52,0.0,4.4383158683776855
53,0.0,4.030556678771973
54,0.0,3.685795307159424
55,0.0,3.3984079360961914
56,0.0,3.1610043048858643
57,0.0,2.9598450660705566
58,0.0,2.7883622646331787
59,0.0,2.63063645362854
60,0.0,2.4947681427001953
61,0.0,2.3742313385009766
62,0.0,2.264345169067383
63,0.0,2.1670455932617188
64,0.0,2.0792274475097656
65,0.0,2.001958131790161
66,0.0,1.9341683387756348
67,0.0,1.872631311416626
68,0.0,1.8193367719650269
69,0.0,1.7695602178573608
70,0.0,1.7246471643447876
71,0.0,1.682488203048706
72,0.0,1.6436015367507935
73,0.0,1.6086161136627197
74,0.0,1.575966238975525
75,0.0,1.5461363792419434
76,0.0,1.5185219049453735
77,0.0,1.4930020570755005
78,0.0,1.46981680393219
79,0.0,1.4484727382659912
80,0.0,1.428321123123169
81,0.0,1.410888910293579
82,0.0,1.3942447900772095
83,0.0,1.3781650066375732
84,0.0,1.3618488311767578
85,0.0,1.3476269245147705
86,0.0,1.334146499633789
87,0.0,1.322959065437317
88,0.0,1.312234878540039
89,0.0,1.302574634552002
90,0.0,1.2930617332458496
91,0.0,1.284848690032959
92,0.0,1.2765326499938965
93,0.0,1.2677780389785767
94,0.0,1.2606703042984009
95,0.0,1.254046082496643
96,0.0,1.24809992313385
97,0.0,1.2424732446670532
98,0.0,1.2367630004882812
99,0.0,1.2324986457824707
100,0.1255338191986084,1.2288566827774048
101,0.0,1.2251169681549072
102,0.0,1.221663236618042
103,0.0,1.2174670696258545
104,0.0,1.2135162353515625
105,0.0,1.2103255987167358
106,0.0,1.2072103023529053
107,0.0,1.2049378156661987
108,0.0,1.2019718885421753
109,0.0,1.19906485080719
110,0.0,1.1961231231689453
111,0.0,1.1935546398162842
112,0.0,1.1908985376358032
113,0.0,1.1891016960144043
114,0.0,1.1883392333984375
115,0.0,1.187244176864624
116,0.0,1.1861754655838013
117,0.0,1.1851541996002197
118,0.0,1.1845512390136719
