timestamp,actual,predicted,is_predicted_point
2017/12/10 18:00,1.810621,,0
2017/12/10 19:00,0.18937324,,0
2017/12/10 20:00,-0.021720173,,0
2017/12/10 21:00,-0.021583714,,0
2017/12/10 22:00,-0.021469215,,0
2017/12/10 23:00,-0.021435617,,0
2017/12/11 0:00,-0.021148982,,0
2017/12/11 1:00,-0.021370927,,0
2017/12/11 2:00,-0.021283332,,0
2017/12/11 3:00,-0.021269303,,0
2017/12/11 4:00,-0.021299306,,0
2017/12/11 5:00,-0.004011864,,0
2017/12/11 6:00,1.4008839,,0
2017/12/11 7:00,5.277395,,0
2017/12/11 8:00,7.048244,,0
2017/12/11 9:00,11.09591,,0
2017/12/11 10:00,16.927715,,0
2017/12/11 11:00,16.248928,,0
2017/12/11 12:00,16.2658,,0
2017/12/11 13:00,11.739409,,0
2017/12/11 14:00,10.858333,,0
2017/12/11 15:00,11.192947,,0
2017/12/11 16:00,6.387851,,0
2017/12/11 17:00,3.5984426,,0
2017/12/11 18:00,1.8017098,1.7972835302352905,1
2017/12/11 19:00,0.13263401,,0
2017/12/11 20:00,-0.021680433,,0
2017/12/11 21:00,-0.021425277,,0
2017/12/11 22:00,-0.021220231,,0
2017/12/11 23:00,-0.021219427,,0
2017/12/12 0:00,-0.021012094,,0
2017/12/12 1:00,-0.021244839,,0
2017/12/12 2:00,-0.02120153,,0
2017/12/12 3:00,-0.021134134,,0
2017/12/12 4:00,-0.021182355,,0
2017/12/12 5:00,-0.02108251,,0
2017/12/12 6:00,0.6409014,,0
2017/12/12 7:00,4.7985034,,0
2017/12/12 8:00,9.90204,,0
2017/12/12 9:00,12.615639,,0
2017/12/12 10:00,11.022878,,0
2017/12/12 11:00,19.057577,,0
2017/12/12 12:00,19.453316,,0
2017/12/12 13:00,16.910065,,0
2017/12/12 14:00,13.512306,,0
2017/12/12 15:00,11.430775,,0
2017/12/12 16:00,5.6182966,,0
2017/12/12 17:00,3.4096255,,0
2017/12/12 18:00,1.544325,,0
