epoch,train_loss,test_loss
1,89.01837971054505,25.284418273855138
2,6.598701865316551,2.8027895115039967
3,0.8132160934750164,0.504694204363558
4,0.20368271557805695,0.15249475991974273
5,0.07919561593123128,0.07010833737957808
6,0.04213380336622211,0.04091403288421808
7,0.02743885307094065,0.02837010025460687
8,0.01957297342542176,0.021202821474246406
9,0.01538978763812474,0.01761245177368875
10,0.012789675817938051,0.015101332109662946
11,0.010736460484146514,0.015352362301200628
12,0.009744670627220908,0.012771610985510051
13,0.008675388247645069,0.011769621466993596
14,0.008070882603473892,0.01161886815464607
15,0.007707648709303238,0.01312292574180497
16,0.007153355854859349,0.010598712156664717
17,0.006889292977915676,0.01120963421891685
18,0.006925891782374721,0.01059517855497284
19,0.006545298337331477,0.010287531397167456
20,0.006091817586234483,0.009791858781008396
21,0.006455726241018344,0.009642495040747302
22,0.005778890173277321,0.009098364048878904
23,0.005705802318439862,0.009324780913259558
24,0.005792306495665042,0.008828382671776193
25,0.005442049325482972,0.008857791963102365
26,0.005702335990760823,0.009878062623708198
27,0.00531059125368701,0.009392996560092326
28,0.004944627464555256,0.009049617732806062
29,0.005015789501795493,0.0086328393404579
30,0.004968345824576845,0.009339836883117203
31,0.005611475017443995,0.009940448195535552
32,0.004916831962524904,0.009090434449414412
33,0.004676816345814824,0.009281375337633546
34,0.0045894183725484206,0.008539642897193079
35,0.004534620006958231,0.008538222839383202
36,0.005183249129641749,0.01217017111506451
37,0.005062251158110867,0.008329001120593468
38,0.004511179924979545,0.010748609822864333
39,0.00484471828878039,0.009606302194124847
40,0.004794779579616456,0.008082164909595761
41,0.004384824834224359,0.009319068941598138
42,0.004604791831246916,0.008852698471552381
43,0.004415475640165245,0.008920056137463285
44,0.004375916036122226,0.008115549071657437
45,0.004144778740091824,0.008114466057762641
46,0.004003767657994563,0.008775739743012108
47,0.004500878510766045,0.008428886481043365
48,0.0043765511216865595,0.00820726523158589
49,0.004276957238042971,0.009166994084673072
50,0.004102010628323846,0.007714250330873592
51,0.003944016502632664,0.007925725509671288
52,0.003924333847837227,0.007973865248021428
53,0.003830097898597194,0.00832040668077146
54,0.0037499573652928467,0.00797202446416055
55,0.003860798049130625,0.007625628790938882
56,0.0036860968309419804,0.00762458882592101
57,0.0036711376315422322,0.008213752113213693
58,0.003547238767806388,0.008327084931941633
59,0.003448450494237749,0.007681899686792382
60,0.0037633245740146767,0.007941921741736156
61,0.003590583410407808,0.0075687152728076195
62,0.0035606793331408823,0.007676872628508136
63,0.003403087540433925,0.007983575396119031
64,0.0035121883090235137,0.007870117970957869
65,0.004024926320079575,0.008737004064540897
66,0.0041119562688818915,0.008270404312362964
67,0.004055880574524734,0.009892824777462348
68,0.0038826706227367727,0.008283914592875927
69,0.003792631740150886,0.007818014808300952
70,0.0034434074755196643,0.00842161241841192
71,0.00360277106780907,0.007817528009009376
72,0.003489223609691503,0.007822988541900285
73,0.003369901631197187,0.007779550348425767
74,0.003288378050141733,0.00848341209779459
75,0.003269714479569659,0.0075993625289777775
76,0.003135745635824104,0.007791062170225713
77,0.0030939114890953475,0.007767413494918772
78,0.003141219138274422,0.00755117578416873
79,0.0030359548715674363,0.0078004239831999354
80,0.0029633193658708343,0.008155727830146335
81,0.0029704751390811474,0.008066432251965764
82,0.00280998684667164,0.007735980307053843
83,0.0027880066544444205,0.008247989238481279
84,0.002794407953009897,0.008706225253667476
85,0.0027459509386224064,0.00794176528277738
86,0.002652038699048615,0.008460083499947493
87,0.0026063883310471114,0.008005319208475865
88,0.002561227446090143,0.008309678726450161
89,0.0024301201560987143,0.00809144728797643
90,0.002607546269101587,0.008049471769481897
91,0.00246601669002481,0.007827891872255821
92,0.002560017841800647,0.00911185203154606
93,0.0026135276214254446,0.008066928990754403
94,0.003999717745203177,0.008649063462615703
95,0.0033938938098476558,0.008384838579567495
96,0.0029164837375740198,0.008190629061708157
97,0.002755812343175166,0.010267919106236487
98,0.0027524834832233142,0.008504468639363983
99,0.0030098536846589158,0.008344813505472202
100,0.002690116381740511,0.008594942874710628
