epoch,gamma_psg,gamma_wase,gamma_dsc
1,0.0,0.10079029202461243,0.0
2,0.0,0.3656589686870575,0.0
3,0.0,0.49216657876968384,0.0
4,0.0,0.539457380771637,0.0
5,0.0,0.5614126324653625,0.0
6,0.0,0.5741656422615051,0.0
7,0.0,0.5826442837715149,0.0
8,0.0,0.5888058543205261,0.0
9,0.0,0.593409538269043,0.0
10,0.0,0.5969758629798889,0.0
11,0.0,0.5998993515968323,0.0
12,0.0,0.6024499535560608,0.0
13,0.0,0.604589581489563,0.0
14,0.0,0.6066249012947083,0.0
15,0.0,0.6082417368888855,0.0
16,0.0,0.6101929545402527,0.0
17,0.0,0.6116959452629089,0.0
18,0.0,0.6131052374839783,0.0
19,0.0,0.614755392074585,0.0
20,0.0,0.6162077188491821,0.0
21,0.0,0.6173561215400696,0.0
22,0.0,0.6190569400787354,0.0
23,0.0,0.6204403638839722,0.0
24,0.0,0.6219661831855774,0.0
25,0.0,0.6233659982681274,0.0
26,0.0,0.624133288860321,0.0
27,0.0,0.6264437437057495,0.0
28,0.0,0.6277105212211609,0.0
29,0.0,0.6288124918937683,0.0
30,0.0,0.6299073100090027,0.0
31,0.0,0.6334158778190613,0.0
32,0.0,0.6361759305000305,0.0
33,0.0,0.6375730037689209,0.0
34,0.0,0.6389697194099426,0.0
35,0.0,0.6401550769805908,0.0
36,0.0,0.6480416655540466,0.0
37,0.0,0.6560840010643005,0.0
38,0.0,0.6577036380767822,0.0
39,0.0,0.6613132953643799,0.0
40,0.0,0.6718087792396545,0.0
41,0.0,0.6718495488166809,0.0
42,0.0,0.6779101490974426,0.0
43,0.0,0.6806540489196777,0.0
44,0.0,0.6821857690811157,0.0
45,0.0,0.6873557567596436,0.0
46,0.0,0.6903730034828186,0.0
47,0.0,0.69279944896698,0.0
48,0.0,0.707817018032074,0.0
49,0.0,0.7270078659057617,0.0
50,0.0,0.7415549159049988,0.0
51,0.0,0.7480586171150208,0.0
52,0.0,0.7504942417144775,0.0
53,0.0,0.7565999031066895,0.0
54,0.0,0.7622196078300476,0.0
55,0.0,0.7691614627838135,0.0
56,0.0,0.772374153137207,0.0
57,0.0,0.7746307849884033,0.0
58,0.0,0.7838789820671082,0.0
59,0.0,0.7853041291236877,0.0
60,0.0,0.8002007007598877,0.0
61,0.0,0.8044273257255554,0.0
62,0.0,0.8102660775184631,0.0
63,0.0,0.8141645193099976,0.0
64,0.0,0.8141292929649353,0.0
65,0.0,0.8180809617042542,0.0
66,0.0,0.8102101683616638,0.0
67,0.0,0.8243926167488098,0.0
68,0.0,0.8136621713638306,0.0
69,0.0,0.834463357925415,0.0
70,0.0,0.8417141437530518,0.0
71,0.0,0.8379718065261841,0.0
72,0.0,0.8452728390693665,0.0
73,0.0,0.847820520401001,0.0
74,0.0,0.8503462672233582,0.0
75,0.0,0.8554290533065796,0.0
76,0.0,0.8611072301864624,0.0
77,0.0,0.8683817386627197,0.0
78,0.0,0.8717332482337952,0.0
79,0.0,0.8722219467163086,0.0
80,0.0,0.8755016922950745,0.0
81,0.0,0.8799558877944946,0.0
82,0.0,0.8808725476264954,0.0
83,0.0,0.8849784731864929,0.0
84,0.0,0.8851968050003052,0.0
85,0.0,0.8894404768943787,0.0
86,0.0,0.8935253620147705,0.0
87,0.0,0.8958901762962341,0.0
88,0.0,0.8983176946640015,0.0
89,0.0,0.8988955020904541,0.0
90,0.0,0.9061141610145569,0.0
91,0.0,0.9083913564682007,0.0
92,0.0,0.9031765460968018,0.0
93,0.0,0.9058088660240173,0.0
94,0.0,0.8596582412719727,0.0
95,0.0,0.8655180335044861,0.0
96,0.0,0.8711139559745789,0.0
97,0.0,0.906495213508606,0.0
98,0.0,0.9133105278015137,0.0
99,0.0,0.9041208028793335,0.0
100,0.0,0.9106157422065735,0.0
