epoch,train_loss,validation_loss
1,1803.9621939574472,577.4719944000244
2,285.35231347620135,228.05324103615501
3,140.30936576346673,128.59366577321833
4,84.80199583606607,78.45730356736617
5,56.35498987006012,50.1978659954938
6,37.3857820612439,31.70582005110654
7,24.688302728551378,20.239649935202166
8,14.508858215174026,10.836025216362692
9,7.971076993547248,5.628527285023169
10,4.301677609336447,3.052704530683431
11,2.5353208681535437,1.8442852310836315
12,1.6460706270658052,1.2093216421251947
13,1.164764923456858,0.8493537630208514
14,0.884025039404807,0.6476455207236789
15,0.6903125775988991,0.49841152918948367
16,0.5418384620071163,0.3990632946687666
17,0.460944734734191,0.3363086252727292
18,0.37239638667487535,0.2710138907317411
19,0.31993142043697764,0.22188055396757342
20,0.26968794743690266,0.19066278416324745
21,0.237799333661971,0.16707768964327194
22,0.20833023474413967,0.1457155364650217
23,0.17952985554580858,0.12645141302015295
24,0.15823957654675083,0.10679985451596705
25,0.13752416230341385,0.09997857582162727
26,0.12212797368948276,0.08533934865739536
27,0.10990340599911452,0.07645380259914832
28,0.09752544624036585,0.0694820753256367
29,0.08701684429536205,0.06353574570014396
30,0.07891042601074692,0.055143472537483
31,0.07160455200093738,0.05111538007093424
32,0.06524034236838831,0.04586527178021656
33,0.05715647985684801,0.041634780132550404
34,0.052907967377872865,0.03796937492337416
35,0.04780968693057461,0.03427518129518086
36,0.0443281304069172,0.03311631645456972
37,0.03951556433940075,0.030024202858013185
38,0.03542041617649547,0.02665878983680159
39,0.032877684587381294,0.023406533238647335
40,0.029441895591613105,0.021715835509398443
41,0.027871699066909814,0.020079135418530892
42,0.025703559585532845,0.01957991771103645
43,0.02340835243595775,0.01875111631075428
44,0.021494413296190593,0.016270745450376788
45,0.019040355034525225,0.015578600535677238
46,0.018030382251951117,0.014968126477800648
47,0.016883780386232766,0.014203966134862805
48,0.015820459313911094,0.013141256032130596
49,0.014355741196019938,0.011703042636244472
50,0.013341728110174984,0.011268711191157556
