epoch,train_mse,validation_mse
1,185781.609375,252757.75
2,0.0,99747.703125
3,0.0,56183.9375
4,0.0,34291.76953125
5,0.0,21956.74609375
6,0.0,13859.337890625
7,0.0,8853.7060546875
8,0.0,4739.94775390625
9,0.0,2461.936279296875
10,0.0,1335.36181640625
11,0.0,806.6611938476562
12,0.0,529.0584106445312
13,0.0,371.6578063964844
14,0.0,283.3716735839844
15,0.0,218.0223846435547
16,0.0,174.56646728515625
17,0.0,147.17181396484375
18,0.0,118.58322143554688
19,0.0,97.05296325683594
20,0.0,83.4250259399414
21,0.0,73.05824279785156
22,0.0,63.75248336791992
23,0.0,55.32275390625
24,0.0,46.736087799072266
25,30.0482120513916,43.72870635986328
26,0.0,37.333580017089844
27,0.0,33.45518112182617
28,0.0,30.391616821289062
29,0.0,27.80030059814453
30,0.0,24.115507125854492
31,0.0,22.35895538330078
32,0.0,20.06960105895996
33,0.0,18.213951110839844
34,0.0,16.613916397094727
35,0.0,14.996527671813965
36,0.0,14.49138355255127
37,0.0,13.129079818725586
38,0.0,11.6644287109375
39,0.0,10.241738319396973
40,0.0,9.496350288391113
41,0.0,8.780974388122559
42,0.0,8.55027961730957
43,0.0,8.203721046447754
44,0.0,7.112006664276123
45,0.0,6.80859375
46,0.0,6.548567771911621
47,0.0,6.200949668884277
48,0.0,5.747534275054932
49,0.0,5.110779762268066
50,3.160388469696045,4.91989278793335
