epoch,train_loss,validation_loss
1,1248.1706447262736,386.39829496903855
2,158.4732617936896,103.416405656121
3,44.2288925238615,51.09762047637593
4,18.375091174650475,47.05149581757459
5,8.467081560891055,57.124715794216506
6,4.107683296034322,66.58455798842691
7,2.4143567635462833,66.43517641452226
8,1.6421167621245751,60.46154788542878
9,1.2525647600021588,53.00492479787631
10,1.0270065972085536,46.190866030075334
11,0.8704072854222631,39.32209314405918
12,0.7452802308917751,33.87438394535672
13,0.6501529867479787,29.70805472000079
14,0.5672913914954169,26.080795527520504
15,0.4930357911883021,23.39036975563927
16,0.4237644806416077,16.598421216011047
17,0.3384679946497347,16.034761426123705
18,0.281495050742076,15.324966311793435
19,0.23243351271871984,14.610544830222022
20,0.19003806351380942,13.483579325235702
21,0.15482120171806515,12.488997963849794
22,0.12625062121794775,11.51425734941255
23,0.10495769918053108,10.621233341622759
24,0.08845250251201484,9.74965355079621
25,0.07512819379039065,8.993161187930541
26,0.0657449672384375,8.355954413471574
27,0.0573390411246105,7.754841718738052
28,0.05074914825870793,7.207257112488151
29,0.04554337119826904,6.735495980194008
30,0.04103662550846148,6.282223291906782
31,0.03707526559175472,5.903652637561953
32,0.03379357673404132,5.534358072856611
33,0.030643335031069946,5.193865046963435
34,0.027951131503169354,4.861407681220126
35,0.025639223915761743,4.574172217420048
36,0.023879760953448934,4.300079599594358
37,0.02208818795060265,4.066401302581653
38,0.02050350635097577,3.8150505435399036
39,0.01869869585970097,3.612331357975067
40,0.017627106323705975,3.4096202217042446
41,0.01619624764212137,3.218543773686344
42,0.015306096446849186,3.046536754837937
43,0.014137152496989838,2.891365758937106
44,0.013368342799195172,2.7387339447370986
45,0.012611746801801863,2.5986038267146796
46,0.0117581857880853,2.465199138778685
47,0.011288664449755785,2.330569261642681
48,0.01047174704189484,2.219796319428662
49,0.009828348569682187,2.107099654698025
50,0.009271734633852216,2.0014983588004145
