epoch,train_mae,validation_mae
1,257.4439697265625,288.0539855957031
2,0.0,149.8745574951172
3,0.0,104.38239288330078
4,0.0,89.65447235107422
5,0.0,83.82443237304688
6,0.0,81.05213165283203
7,0.0,76.33084106445312
8,0.0,70.86348724365234
9,0.0,65.52415466308594
10,0.0,60.84267044067383
11,0.0,56.26948928833008
12,0.0,52.271392822265625
13,0.0,49.17860794067383
14,0.0,46.20374298095703
15,0.0,43.90166473388672
16,0.0,38.05310821533203
17,0.0,36.949249267578125
18,0.0,35.70973587036133
19,0.0,34.548553466796875
20,0.0,32.84720230102539
21,0.0,31.303085327148438
22,0.0,29.759716033935547
23,0.0,28.364484786987305
24,0.0,26.964658737182617
25,4.028347969055176,25.68494987487793
26,0.0,24.63100242614746
27,0.0,23.591835021972656
28,0.0,22.588815689086914
29,0.0,21.73452377319336
30,0.0,20.883028030395508
31,0.0,20.177335739135742
32,0.0,19.435049057006836
33,0.0,18.76654624938965
34,0.0,18.060380935668945
35,0.0,17.41565704345703
36,0.0,16.838361740112305
37,0.0,16.349285125732422
38,0.0,15.737881660461426
39,0.0,15.264776229858398
40,0.0,14.773151397705078
41,0.0,14.305232048034668
42,0.0,13.858929634094238
43,0.0,13.473441123962402
44,0.0,13.000941276550293
45,0.0,12.671722412109375
46,0.0,12.285303115844727
47,0.0,11.891988754272461
48,0.0,11.597281455993652
49,0.0,11.237115859985352
50,1.3005963563919067,10.911441802978516
