epoch,train_mae,test_mae
1,227.04263305664062,314.69610595703125
2,147.26724243164062,198.62466430664062
3,96.84086608886719,134.116943359375
4,53.18169403076172,77.15762329101562
5,29.510696411132812,44.08327865600586
6,19.06209945678711,29.18154525756836
7,14.051477432250977,21.67310333251953
8,11.062455177307129,17.217193603515625
9,9.14348030090332,14.252670288085938
10,7.81060791015625,12.178644180297852
11,6.8118791580200195,10.636513710021973
12,6.044650554656982,9.391512870788574
13,5.429105758666992,8.435273170471191
14,4.934449195861816,7.663756847381592
15,4.524343490600586,6.9857988357543945
16,4.178964138031006,6.425323486328125
17,3.885807991027832,5.961349010467529
18,3.6361987590789795,5.529032230377197
19,3.415221929550171,5.165278434753418
20,3.2238407135009766,4.862918853759766
21,3.0575950145721436,4.585888862609863
22,2.907242774963379,4.324212074279785
23,2.776683807373047,4.125056266784668
24,2.6583468914031982,3.8943138122558594
25,2.5504672527313232,3.732023239135742
26,2.4531896114349365,3.5526187419891357
27,2.363945484161377,3.425827980041504
28,2.282752513885498,3.30430269241333
29,2.2068557739257812,3.1749014854431152
30,2.1373655796051025,3.079519271850586
31,2.0731987953186035,2.951345920562744
32,2.014817714691162,2.8909380435943604
33,1.957205891609192,2.794372081756592
34,1.9041074514389038,2.713535785675049
35,1.8568047285079956,2.63254451751709
36,1.8049001693725586,2.649724006652832
37,1.7587956190109253,2.5501649379730225
38,1.7107118368148804,2.5311343669891357
39,1.673511266708374,2.4662351608276367
40,1.6384319067001343,2.4232959747314453
41,1.596556544303894,2.4246692657470703
42,1.556032419204712,2.4521284103393555
43,1.5851120948791504,2.2986299991607666
44,1.4869294166564941,2.3922765254974365
45,1.45615553855896,2.3663413524627686
46,1.418454647064209,2.3814332485198975
47,1.443287968635559,2.498969078063965
48,1.3566339015960693,2.351320505142212
49,1.3234139680862427,2.32509446144104
50,1.3397940397262573,2.223824977874756
