epoch,train_loss,test_loss
1,1158.7893969755216,385.74873684969816
2,147.92204024982004,153.62393535267222
3,63.83775469282983,68.69950271953236
4,24.9262326961392,23.009707979722457
5,7.446182221873825,7.542243794961409
6,2.579978262314774,3.302641475200653
7,1.2270655027577575,1.827041677182371
8,0.715069228494671,1.1499210306189276
9,0.4665858854010631,0.7892300734465773
10,0.32846472534775173,0.5757766925475815
11,0.24483326259353352,0.4386668284508315
12,0.18847236397540626,0.342086939107288
13,0.14959374231072098,0.2754823245108128
14,0.12211442541138667,0.22683946124532006
15,0.10139136051348117,0.1882160336117853
16,0.08579495386548446,0.15902375175871633
17,0.0733900684950777,0.13679217828268356
18,0.06393067346352367,0.11762582812119614
19,0.05604382428589841,0.1026851662857966
20,0.04984838923902859,0.09111876628276977
21,0.04468392006213397,0.08115586611357602
22,0.04043947118268886,0.07224426872350953
23,0.03677746765490429,0.06606594987890937
24,0.033654702407583385,0.058940557136454366
25,0.031173286548522715,0.05442308270457116
26,0.028949414760294095,0.04953653998672962
27,0.0270313357829418,0.04640212462029674
28,0.0253096686002794,0.04350791097703305
29,0.023826479741280347,0.04046980750493028
30,0.022521629995128637,0.03851692618971521
31,0.02135645609541398,0.03562109704044732
32,0.02025430230423808,0.03462462083182551
33,0.019355449278974476,0.0326862339607694
34,0.01846161447115627,0.031125996592031285
35,0.017662162763534436,0.029594713830473747
36,0.016911953178282493,0.030959958375685593
37,0.01621157908593545,0.028792966157197952
38,0.015550503037222814,0.02893359374508939
39,0.014892565490931552,0.027613574524664068
40,0.014535245529327874,0.027059637454592368
41,0.013806534719001938,0.027579815922812983
42,0.01327891682794956,0.02867451436309652
43,0.012752451780886158,0.024699570009992882
44,0.012293580036278062,0.027628200797533448
45,0.011773069894177392,0.02703799025409601
46,0.011298781219310184,0.027516454305838454
47,0.01134596176734063,0.03107345419173891
48,0.010657421455329432,0.027059040972116317
49,0.009937014848326153,0.0266008153388446
50,0.009583865235529036,0.02393088944425637
