epoch,train_mse,test_mse
1,114979.2734375,193422.421875
2,9320.5087890625,16968.2421875
3,1993.9874267578125,3963.452880859375
4,752.479248046875,1579.600830078125
5,407.2669982910156,902.0899658203125
6,253.458740234375,561.6911010742188
7,171.45819091796875,399.257080078125
8,125.89505767822266,295.4727783203125
9,92.25991821289062,220.04798889160156
10,70.82530212402344,177.39105224609375
11,56.62788009643555,138.5343017578125
12,44.87387466430664,115.0771713256836
13,37.165950775146484,95.67009735107422
14,31.373544692993164,77.42151641845703
15,26.390682220458984,66.83914184570312
16,23.26622200012207,58.455528259277344
17,19.51057243347168,50.62870788574219
18,16.72089958190918,42.04973220825195
19,15.013081550598145,38.55387878417969
20,13.111250877380371,32.99519729614258
21,11.762903213500977,30.040067672729492
22,10.647744178771973,26.76650047302246
23,9.768755912780762,24.202062606811523
24,8.8056001663208,21.41811752319336
25,8.066995620727539,19.99031639099121
26,7.500697135925293,18.3049259185791
27,7.1910858154296875,17.083974838256836
28,6.700436115264893,15.727952003479004
29,6.24445104598999,15.219145774841309
30,5.730927467346191,13.830177307128906
31,5.464719772338867,13.022780418395996
32,5.130503177642822,12.188690185546875
33,4.856468200683594,11.5835542678833
34,4.652687072753906,11.53866958618164
35,4.4539055824279785,10.43455982208252
36,4.218617916107178,10.202449798583984
37,4.077686786651611,10.27106761932373
38,3.748094081878662,9.66822338104248
39,3.554084539413452,8.766904830932617
40,3.5437772274017334,8.643404006958008
41,3.916698694229126,9.961942672729492
42,3.16278076171875,7.829664707183838
43,3.0853302478790283,7.061084747314453
44,3.029663324356079,7.528415203094482
45,2.754563808441162,6.761445045471191
46,3.046839475631714,6.714550971984863
47,2.6956357955932617,6.996790409088135
48,2.7360007762908936,6.432626724243164
49,2.5890793800354004,6.5453596115112305
50,2.5074851512908936,6.178122043609619
