date,Global_Horizontal_Radiation,Pyranometer_1,Wind_Speed,Temperature_Probe_1,Active_Power,theta_z,gamma,omega,delta,AM,GHI_cs,kt,I0,alpha_s,DL,tnoon,Iday
2019/1/2 5:00,-3.361002187,-3.356665174,1.543333327,39.59097354,-0.021456115,102.48011,-56.877174,-117.35284,-22.979342,40.0,0.0,0.0,0.0,-12.480109,13.5379095,12.823523,0.0
2019/1/2 6:00,46.93290205,21.48110511,1.371944457,39.94076379,0.454102818,90.66685,-64.07832,-102.35284,-22.979342,40.0,0.0,0.0,0.0,-0.66684717,13.5379095,12.823523,0.0
2019/1/2 7:00,169.4683418,111.91535,1.4463889,43.41439056,3.701471627,78.17261,-69.98644,-87.35284,-22.979342,4.7740335,138.8706,0.58811295,288.1561,11.827393,13.5379095,12.823523,1.0
2019/1/2 8:00,499.5707194,387.0818151,2.650833348,50.98958365,8.623290659,65.23197,-75.06102,-72.35284,-22.979342,2.3764567,373.61462,0.8481823,588.9898,24.768032,13.5379095,12.823523,1.0
2019/1/2 9:00,726.1666921,625.2378438,3.371944408,57.00180753,12.9492987,51.995483,-79.67052,-57.35284,-22.979342,1.6213907,607.1242,0.83888084,865.63745,38.004517,13.5379095,12.823523,1.0
2019/1/2 10:00,911.1932221,829.83284,3.242500007,63.89397017,16.1959761,38.566216,-84.205986,-42.35284,-22.979342,1.2778649,808.98505,0.82892567,1099.246,51.433784,13.5379095,12.823523,1.0
2019/1/2 11:00,1039.269826,974.4246827,2.479999959,72.8437055,18.09220823,25.026062,-89.40976,-27.35284,-22.979342,1.1030375,961.35895,0.8158204,1273.8954,64.97394,13.5379095,12.823523,1.0
2019/1/2 12:00,1104.171,1055.400187,2.118888875,77.79724248,18.72749074,11.495757,-98.78939,-12.35284,-22.979342,1.0201018,1052.3018,0.80146927,1377.6836,78.50424,13.5379095,12.823523,1.0
2019/1/2 13:00,1097.980774,1064.886383,2.157777796,75.68815549,18.48735126,3.3124723,132.61826,2.6471598,-22.979342,1.0013674,1074.9894,0.7822953,1403.5375,86.68753,13.5379095,12.823523,1.0
2019/1/2 14:00,1029.186971,998.2489421,1.891666651,76.12168757,17.25446987,16.253735,94.31636,17.64716,-22.979342,1.0412092,1027.754,0.7625328,1349.6953,73.74626,13.5379095,12.823523,1.0
2019/1/2 15:00,895.5813802,864.5738576,2.56027773,69.02025159,15.1637702,29.812567,87.406944,32.64716,-22.979342,1.1518276,914.08704,0.7341876,1219.8264,60.18743,13.5379095,12.823523,1.0
2019/1/2 16:00,706.1263072,670.0661062,2.876944433,63.61732483,10.70822231,43.322872,82.581955,47.64716,-22.979342,1.3731222,742.6133,0.69039845,1022.7808,46.677128,13.5379095,12.823523,1.0
2019/1/2 17:00,478.0797068,437.1634776,3.230277787,58.43617853,6.395202637,56.69398,78.074524,62.64716,-22.979342,1.8170247,527.16724,0.6192845,771.9872,33.30602,13.5379095,12.823523,1.0
2019/1/2 18:00,228.5450198,186.8042228,2.788055549,53.35648696,1.984218478,69.83967,73.34105,77.64716,-22.979342,2.8813646,288.50824,0.47167766,484.53647,20.160334,13.5379095,12.823523,1.0
2019/1/2 19:00,30.5223233,18.44027512,1.770833333,48.60646025,0.159294769,82.64331,68.01724,92.64716,-22.979342,7.3937163,68.873634,0.16955145,180.01807,7.35669,13.5379095,12.823523,1.0
2019/1/2 20:00,-6.858251333,-6.300231934,1.027777784,44.64401404,-0.021802057,94.929825,61.712284,107.64716,-22.979342,40.0,0.0,0.0,0.0,-4.929825,13.5379095,12.823523,0.0
2019/1/2 21:00,-5.90328455,-5.686556459,1.016111106,43.20907815,-0.021709994,106.42223,53.916653,122.64716,-22.979342,40.0,0.0,0.0,0.0,-16.422232,13.5379095,12.823523,0.0
2019/1/2 22:00,-5.245543758,-4.926438133,1.62722222,43.63417562,-0.021539036,116.67174,43.954735,137.64716,-22.979342,40.0,0.0,0.0,0.0,-26.671736,13.5379095,12.823523,0.0
2019/1/2 23:00,-5.483850519,-5.012847781,1.287222207,42.42271996,-0.021566918,124.967064,31.077015,152.64716,-22.979342,40.0,0.0,0.0,0.0,-34.967068,13.5379095,12.823523,0.0
2019/1/3 0:00,-5.137000561,-4.763540864,1.11722222,41.33964634,-0.02135294,130.36853,15.126752,-192.46358,-22.89243,40.0,0.0,0.0,0.0,-40.368534,13.531334,12.830905,0.0
2019/1/3 1:00,-4.629858335,-4.323167165,1.362777779,40.81695271,-0.021560928,131.7992,-3.1349413,-177.46358,-22.89243,40.0,0.0,0.0,0.0,-41.7992,13.531334,12.830905,0.0
2019/1/3 2:00,-4.817961057,-4.459877173,1.140000025,40.42587662,-0.021475399,128.94792,-20.910908,-162.46358,-22.89243,40.0,0.0,0.0,0.0,-38.947918,13.531334,12.830905,0.0
2019/1/3 3:00,-5.19729449,-4.766270171,0.740470368,40.05548484,-0.021426441,122.44976,-35.95505,-147.46358,-22.89243,40.0,0.0,0.0,0.0,-32.44976,13.531334,12.830905,0.0
2019/1/3 4:00,-5.586643959,-5.089826076,0.30583865,39.70207742,-0.021473057,113.36792,-47.759235,-132.46358,-22.89243,40.0,0.0,0.0,0.0,-23.367924,13.531334,12.830905,0.0
2019/1/3 5:00,-5.983965892,-5.428246462,-0.159808648,39.36622582,-0.02135555,102.61342,-56.89101,-117.46357,-22.89243,40.0,0.0,0.0,0.0,-12.613416,13.531334,12.830905,0.0
2019/1/3 6:00,-6.387216717,-5.779232908,-0.652385044,39.04850145,0.419399125,90.79766,-64.10732,-102.46357,-22.89243,40.0,0.0,0.0,0.0,-0.79766154,13.531334,12.830905,0.0
