date,Global_Horizontal_Radiation,Pyranometer_1,Wind_Speed,Temperature_Probe_1,Active_Power,theta_z,gamma,omega,delta,AM,GHI_cs,kt,I0,alpha_s,DL,tnoon,Iday
2018/1/1 0:00,-2.394636939,-1.839713862,2.954722236,41.44671249,-0.020921633,130.25977,14.811547,-192.24104,-23.05863,40.0,0.0,0.0,0.0,-40.25976,13.543916,12.81607,0.0
2018/1/1 1:00,-0.340131239,-0.311319779,3.458611091,38.88712343,-0.021581891,131.6218,-3.3964963,-177.24104,-23.05863,40.0,0.0,0.0,0.0,-41.62179,13.543916,12.81607,0.0
2018/1/1 2:00,-0.412645786,-0.462686859,1.93194446,38.98837852,-0.021658054,128.72023,-21.081982,-162.24104,-23.05863,40.0,0.0,0.0,0.0,-38.720234,13.543916,12.81607,0.0
2018/1/1 3:00,-0.231232477,-0.332816943,1.523055519,39.12539069,-0.021586046,122.19577,-36.039433,-147.24104,-23.05863,40.0,0.0,0.0,0.0,-32.19577,13.543916,12.81607,0.0
2018/1/1 4:00,-0.426492315,-0.334205302,4.179166655,38.81463655,-0.021653263,113.10484,-47.780655,-132.24104,-23.05863,40.0,0.0,0.0,0.0,-23.104845,13.543916,12.81607,0.0
2018/1/1 5:00,0.15104769,0.122637186,2.653611094,38.63917796,-0.021654165,102.35039,-56.870205,-117.24104,-23.05863,40.0,0.0,0.0,0.0,-12.350387,13.543916,12.81607,0.0
2018/1/1 6:00,15.98795591,15.68976405,3.542500019,38.84517447,0.231995476,90.53881,-64.05639,-102.24104,-23.05863,40.0,0.0,0.0,0.0,-0.5388111,13.543916,12.81607,0.0
2018/1/1 7:00,94.94843038,89.26326592,3.422222237,39.24930509,1.840192358,78.04715,-69.95202,-87.24104,-23.05863,4.726836,140.99963,0.32608986,291.17258,11.952849,13.543916,12.81607,1.0
2018/1/1 8:00,265.6667531,223.2771314,3.168888907,41.28057671,4.899520298,65.10938,-75.01368,-72.24104,-23.05863,2.3656077,375.87497,0.44896758,591.72815,24.89062,13.543916,12.81607,1.0
2018/1/1 9:00,672.7133916,586.0455297,3.090833306,48.9000419,12.81708968,51.875725,-79.606606,-57.241043,-23.05863,1.617088,609.1167,0.77504814,867.9633,38.124275,13.543916,12.81607,1.0
2018/1/1 10:00,823.633372,740.4465637,2.927777767,56.52286434,15.64422472,38.448948,-84.11624,-42.241043,-23.05863,1.2757909,810.55444,0.7480414,1101.0532,51.551052,13.543916,12.81607,1.0
2018/1/1 11:00,959.0049591,897.2226003,2.842777769,64.3093888,17.80131022,24.910254,-89.270355,-27.241043,-23.05863,1.1020019,962.42224,0.7520941,1275.113,65.089745,13.543916,12.81607,1.0
2018/1/1 12:00,1077.393667,1031.456279,2.128611108,70.68527158,19.27672799,11.377008,-98.5238,-12.241042,-23.05863,1.0196751,1052.8235,0.7816938,1378.2809,78.62299,13.543916,12.81607,1.0
2018/1/1 13:00,1089.02711,1051.900248,1.635,71.56067403,19.05226358,3.3345065,130.40988,2.7589579,-23.05863,1.0013897,1074.977,0.77592224,1403.5261,86.6655,13.543916,12.81607,1.0
2018/1/1 14:00,632.0121053,608.3607254,2.033611079,60.15372404,11.28668706,16.33888,93.96674,17.758957,-23.05863,1.0416608,1027.2546,0.4684596,1349.1283,73.66112,13.543916,12.81607,1.0
2018/1/1 15:00,871.7457733,838.1341121,2.972222189,57.11952273,15.25313906,29.898458,87.21118,32.758957,-23.05863,1.152817,913.18353,0.71525246,1218.7946,60.101543,13.543916,12.81607,1.0
2018/1/1 16:00,536.6104329,505.1521428,3.23999999,52.53546747,9.89985768,43.405285,82.435715,47.758957,-23.05863,1.3749832,741.4209,0.52536404,1021.4068,46.594715,13.543916,12.81607,1.0
2018/1/1 17:00,453.060056,420.0060145,3.774166663,50.16331037,7.109547217,56.771053,77.94946,62.758957,-23.05863,1.8207324,525.8311,0.5880713,770.4169,33.228947,13.543916,12.81607,1.0
2018/1/1 18:00,145.5263923,133.4846026,3.549444477,45.79924138,2.146728749,69.90973,73.22455,77.75896,-23.05863,2.8908398,287.21817,0.30134106,482.9292,20.090273,13.543916,12.81607,1.0
2018/1/1 19:00,18.8630125,16.3931793,3.994722247,42.90525913,0.206211592,82.70433,67.90162,92.75896,-23.05863,7.4489236,68.02473,0.105654046,178.53563,7.2956734,13.543916,12.81607,1.0
2018/1/1 20:00,-2.254944891,-1.96212396,4.257500013,41.0824337,-0.02219066,94.97902,61.591606,107.75896,-23.05863,40.0,0.0,0.0,0.0,-4.9790187,13.543916,12.81607,0.0
2018/1/1 21:00,-2.103779654,-1.921856682,3.543888907,39.86488597,-0.022017411,106.455635,53.78577,122.75896,-23.05863,40.0,0.0,0.0,0.0,-16.455637,13.543916,12.81607,0.0
2018/1/1 22:00,-2.335642854,-2.188358645,2.704166651,39.28246752,-0.021830184,116.683784,43.809986,137.75896,-23.05863,40.0,0.0,0.0,0.0,-26.683784,13.543916,12.81607,0.0
2018/1/1 23:00,-2.223970026,-2.015082816,3.241944452,38.90274461,-0.021712954,124.95076,30.91977,152.75896,-23.05863,40.0,0.0,0.0,0.0,-34.950764,13.543916,12.81607,0.0
2018/1/2 0:00,-2.455755671,-2.290837308,2.014166663,38.38864485,-0.021496995,130.3105,14.968309,-192.35284,-22.979342,40.0,0.0,0.0,0.0,-40.310497,13.5379095,12.823523,0.0
2018/1/2 1:00,-2.668007652,-2.547173619,2.049444417,37.95258363,-0.02168719,131.70683,-3.265045,-177.35284,-22.979342,40.0,0.0,0.0,0.0,-41.706825,13.5379095,12.823523,0.0
2018/1/2 2:00,-2.912087103,-2.775560637,1.173611119,37.50106748,-0.02165529,128.83072,-20.994364,-162.35284,-22.979342,40.0,0.0,0.0,0.0,-38.830727,13.5379095,12.823523,0.0
2018/1/2 3:00,-2.545200825,-2.45341303,0.834444443,37.16357136,-0.021735094,122.31994,-35.99431,-147.35284,-22.979342,40.0,0.0,0.0,0.0,-32.31994,13.5379095,12.823523,0.0
2018/1/2 4:00,-2.599194546,-2.54862829,0.632499993,36.84245968,-0.021880867,113.23411,-47.76665,-132.35284,-22.979342,40.0,0.0,0.0,0.0,-23.234106,13.5379095,12.823523,0.0
2018/1/2 5:00,-2.287758591,-2.302116896,0.544722224,36.58068943,-0.021753445,102.48011,-56.877174,-117.35284,-22.979342,40.0,0.0,0.0,0.0,-12.480109,13.5379095,12.823523,0.0
2018/1/2 6:00,67.53737675,21.06316761,1.055833345,36.78776137,0.361948526,90.66685,-64.07832,-102.35284,-22.979342,40.0,0.0,0.0,0.0,-0.66684717,13.5379095,12.823523,0.0
