epoch,train_r²,test_r²
1,0.0022788643836975098,-0.0019572973251342773
2,0.0012778639793395996,-0.006658673286437988
3,0.00308305025100708,-0.004163980484008789
4,0.006253957748413086,0.0002932548522949219
5,0.010079503059387207,0.0008650422096252441
6,0.4358353018760681,0.434961199760437
7,0.8381646871566772,0.8367993831634521
8,0.903878390789032,0.877349317073822
9,0.9181257486343384,0.8867717981338501
10,0.924576461315155,0.8923301100730896
11,0.9231448173522949,0.8784267902374268
12,0.9325777888298035,0.8913843631744385
13,0.9303171634674072,0.8826255202293396
14,0.9370487928390503,0.8942258358001709
15,0.9379211664199829,0.8951721787452698
16,0.9403879642486572,0.8922997713088989
17,0.9394384622573853,0.8974692821502686
18,0.9429799318313599,0.8940554261207581
19,0.9374439120292664,0.8879680037498474
20,0.9389805197715759,0.8854459524154663
21,0.9446060657501221,0.8940833210945129
22,0.9461846351623535,0.8939944505691528
23,0.9469546675682068,0.8970054388046265
24,0.944802463054657,0.8896645307540894
25,0.9487926363945007,0.8943611979484558
26,0.9442270398139954,0.8882907629013062
27,0.9473368525505066,0.8908432722091675
28,0.9497891664505005,0.8929536938667297
29,0.9492259621620178,0.8927479386329651
30,0.9504066705703735,0.8921337127685547
31,0.948722779750824,0.8931329846382141
32,0.951029360294342,0.8926042914390564
33,0.9508394002914429,0.8899484276771545
34,0.9526467323303223,0.8951970338821411
35,0.9529239535331726,0.8937671184539795
36,0.9527091979980469,0.893721878528595
37,0.9497215747833252,0.8861251473426819
38,0.9514080286026001,0.8933436870574951
39,0.949050784111023,0.8903645873069763
40,0.9458376169204712,0.882972776889801
41,0.9505318403244019,0.8829087018966675
42,0.9508880972862244,0.8883136510848999
43,0.951567530632019,0.8934104442596436
44,0.9504268765449524,0.8886041641235352
45,0.953063428401947,0.8915368318557739
46,0.9522461891174316,0.8929010629653931
47,0.9552093744277954,0.8905476331710815
48,0.9553574323654175,0.8923237919807434
49,0.955455482006073,0.8895398378372192
50,0.9512653946876526,0.8865219950675964
51,0.9547170400619507,0.8910688161849976
52,0.9543566703796387,0.892754316329956
53,0.9547567963600159,0.8932728171348572
54,0.9548507928848267,0.8908106088638306
55,0.955731987953186,0.8890610933303833
56,0.9539496302604675,0.886339008808136
57,0.9549469351768494,0.8863131403923035
58,0.9549945592880249,0.8894882202148438
59,0.9512319564819336,0.8839176893234253
60,0.9561981558799744,0.893932044506073
61,0.9502515196800232,0.8900009393692017
62,0.9572558403015137,0.8911896347999573
63,0.9572044014930725,0.8941494226455688
64,0.9566713571548462,0.8901582956314087
65,0.9555896520614624,0.892204225063324
66,0.9578858017921448,0.8917599320411682
67,0.9554843902587891,0.8846080303192139
68,0.9574878215789795,0.8934109807014465
69,0.9563404321670532,0.8903051614761353
70,0.9576035141944885,0.8924919366836548
71,0.9564979672431946,0.8894733786582947
72,0.9572914242744446,0.8877992033958435
73,0.9567502737045288,0.8932188153266907
74,0.9579888582229614,0.8920469284057617
75,0.9567884802818298,0.8920856714248657
76,0.9582628607749939,0.8892552256584167
77,0.9578433036804199,0.8903745412826538
78,0.9582808613777161,0.8892799615859985
79,0.9578025341033936,0.8874156475067139
80,0.9556495547294617,0.8865946531295776
81,0.9571549892425537,0.8932229280471802
82,0.9578329920768738,0.8939931988716125
83,0.953905463218689,0.8817253112792969
84,0.9548534750938416,0.8884872794151306
85,0.944481372833252,0.8740500807762146
86,0.9583532214164734,0.892693042755127
87,0.958793580532074,0.8908991813659668
88,0.9584274291992188,0.8932744264602661
89,0.9565019011497498,0.8887038230895996
90,0.9600911736488342,0.8918328285217285
