timestamp,step,actual,predicted
2019/12/1 18:00,1,1.3097242,0.9326512
2019/12/1 19:00,2,0.037639774,-0.066657126
2019/12/1 20:00,3,-0.022196487,-0.104755074
2019/12/1 21:00,4,-0.02208585,-0.10674678
2019/12/1 22:00,5,-0.022003815,-0.108192936
2019/12/1 23:00,6,-0.021983795,-0.11063801
2019/12/2 0:00,7,-0.021647695,-0.11477727
2019/12/2 1:00,8,-0.021937262,-0.11747433
2019/12/2 2:00,9,-0.02199386,-0.11712603
2019/12/2 3:00,10,-0.022004865,-0.113502994
2019/12/2 4:00,11,-0.022035774,-0.108899206
2019/12/2 5:00,12,-0.021868728,-0.09424576
2019/12/2 6:00,13,0.7689047,0.18157397
2019/12/2 7:00,14,4.876303,3.8364465
2019/12/2 8:00,15,10.06576,9.990174
2019/12/2 9:00,16,14.442551,15.047469
2019/12/2 10:00,17,17.530916,18.123468
2019/12/2 11:00,18,19.326307,20.051712
2019/12/2 12:00,19,19.955734,20.722168
2019/12/2 13:00,20,19.438091,19.781101
2019/12/2 14:00,21,17.90291,17.614098
2019/12/2 15:00,22,15.158197,14.334818
2019/12/2 16:00,23,9.860208,9.776757
2019/12/2 17:00,24,5.570719,4.6186314
