epoch,gamma_psg,gamma_wase,gamma_dsc,alpha_pgia_layer0,alpha_pgia_layer1,alpha_pgia_layer2
1,-0.2842508554458618,0.17043183743953705,0.05102038010954857,0.06272274255752563,0.06664508581161499,-0.011429487727582455
2,-0.3778514266014099,0.2677259147167206,0.048283349722623825,0.08138229697942734,0.1454283893108368,-0.013007346540689468
3,-0.39509323239326477,0.2902246117591858,0.04815364256501198,0.08372383564710617,0.15264162421226501,-0.011870153248310089
4,-0.40204188227653503,0.2998865246772766,0.048186369240283966,0.08502872288227081,0.15426284074783325,-0.011982585303485394
5,-0.40594395995140076,0.30528363585472107,0.04812905192375183,0.08565119653940201,0.15462002158164978,-0.012505452148616314
6,-0.40863361954689026,0.3093926012516022,0.048146363347768784,0.08620846271514893,0.15475799143314362,-0.013056112453341484
7,-0.41115304827690125,0.31271687150001526,0.04820738732814789,0.08655038475990295,0.15551136434078217,-0.013908258639276028
8,-0.41304025053977966,0.3153952658176422,0.0483504943549633,0.0867115929722786,0.15595795214176178,-0.01488582044839859
9,-0.41421380639076233,0.317503422498703,0.0483730249106884,0.0869472548365593,0.15610946714878082,-0.016203412786126137
10,-0.4155725836753845,0.3195834755897522,0.048410966992378235,0.08711006492376328,0.15704859793186188,-0.01755562238395214
11,-0.41662371158599854,0.32135337591171265,0.04836749657988548,0.08746659010648727,0.15771399438381195,-0.019086290150880814
12,-0.41812941431999207,0.3237086236476898,0.048385441303253174,0.08759403228759766,0.1585240364074707,-0.021918030455708504
13,-0.41905659437179565,0.32487788796424866,0.04857141897082329,0.08774112164974213,0.15857619047164917,-0.02378615364432335
14,-0.4200516641139984,0.3262607753276825,0.048630665987730026,0.08795703202486038,0.15891191363334656,-0.026505853980779648
15,-0.4207036793231964,0.3274114727973938,0.04862320423126221,0.08806648850440979,0.15884903073310852,-0.0300886332988739
16,-0.4217488169670105,0.3290119469165802,0.04854661598801613,0.08818311244249344,0.1592843383550644,-0.035240814089775085
17,-0.4222523272037506,0.32992562651634216,0.0485244020819664,0.08851932734251022,0.16022467613220215,-0.04024286940693855
18,-0.422726571559906,0.33119839429855347,0.048466574400663376,0.08871069550514221,0.16025662422180176,-0.048059385269880295
19,-0.42345908284187317,0.33222469687461853,0.04843772575259209,0.08901864290237427,0.16039514541625977,-0.055037517100572586
20,-0.4245537221431732,0.33358171582221985,0.048567816615104675,0.08940555155277252,0.16085757315158844,-0.0637015849351883
21,-0.4253559112548828,0.33433473110198975,0.048592690378427505,0.08972562104463577,0.16092945635318756,-0.0711708664894104
22,-0.4260598123073578,0.335897833108902,0.048526979982852936,0.09009707719087601,0.1609693169593811,-0.09807543456554413
23,-0.4262779653072357,0.33727574348449707,0.04839480295777321,0.09026182442903519,0.16183947026729584,-0.1179487556219101
24,-0.42929211258888245,0.33943891525268555,0.04888816550374031,0.09042342007160187,0.16291551291942596,-0.13354161381721497
25,-0.42985469102859497,0.3403158485889435,0.0487908236682415,0.09069182723760605,0.16364260017871857,-0.15095989406108856
26,-0.4308956265449524,0.3413653075695038,0.048826951533555984,0.09089725464582443,0.16378289461135864,-0.1713813692331314
