name,use_psg,use_wase,use_dsc,use_pgia,val_best_epoch,val_rmse,val_mae,val_r2,val_rmse_last,train_time_sec,params,experiment_phase,dataset,seed,optimizer,learning_rate,gate_lr_mult,weight_decay,batch_size,epochs,pred_len,lookback_len,dim,depth,heads,dim_head
iTransformer-17,False,False,False,False,50,2.2180831336839812,1.471189260482788,0.8950856328010559,2.2180831336839812,481.6,691230,module_screening_first_round,pv2017_ext,35040,AdamW,0.00019,5,0.0,32,50,4,168,128,4,2,32
PGIA_only,False,False,False,True,50,1.8315259810137605,1.181037425994873,0.9284671545028687,1.8315259810137605,535.3,730018,module_screening_first_round,pv2017_ext,35040,AdamW,0.00019,5,0.0,32,50,4,168,128,4,2,32
