epoch,train_loss,validation_loss
1,1257.6341038088826,410.28421688079834
2,210.05540136754865,191.86325281316584
3,105.09820421207586,94.18229840018533
4,53.46968356251011,43.96696065772664
5,23.794483512110965,16.85922526771372
6,9.179093953420425,6.11310416053642
7,3.6699203929957553,2.5920311121100728
8,1.85071152131233,1.432744910093871
9,1.1557210172421835,0.9230780543928797
10,0.8050758743427209,0.6533507256006653
11,0.5905395340637343,0.48556684812700207
12,0.4774754071200388,0.37436693331057375
13,0.36869879208020206,0.30308987928385084
14,0.3024060086033048,0.2485632153905251
15,0.2649747572354311,0.20513374692845074
16,0.21977301180010012,0.1718564612621611
17,0.19039974912736543,0.1435835613784465
18,0.16114499314120534,0.12542383584447883
19,0.13872359922299018,0.10976271957836368
20,0.12013953924179077,0.0938922332345762
21,0.10789297525522977,0.08114638306539167
22,0.09655279551561062,0.06965272852473638
23,0.08512372508116023,0.06264313492415981
24,0.0767698195823551,0.05539418435232206
25,0.06923981392260134,0.05182282628745518
26,0.06100199768352791,0.044889970597895706
27,0.05435384214806133,0.042048116024075585
28,0.04986643475981859,0.037520982515574855
29,0.04399027314984939,0.0319411158032546
30,0.040259862979929124,0.030334392848255284
31,0.03716940069075167,0.02681157320991836
32,0.03333809856082914,0.024766631181013177
33,0.031082900736987943,0.022063113553237847
34,0.02733450183457524,0.020076628287576816
35,0.02623261830951335,0.019159168190195818
36,0.023337493711233843,0.017760815760332414
37,0.020989789335420853,0.015415755470960656
38,0.019263258964352353,0.015035958965943957
39,0.018174978606843736,0.013796506605682556
40,0.0171153380662291,0.01259732887741517
41,0.015369230823470114,0.011664866096742282
42,0.014133083449467223,0.011584595560138538
43,0.013450413506985063,0.0118110946231437
44,0.012409030164994256,0.009851210755931044
45,0.011705574053256998,0.009386210818774998
46,0.010911143969017021,0.010013482252940197
47,0.010296326656908503,0.009251465973317285
48,0.009867765918682665,0.008879984472349117
49,0.009204207872696353,0.007769399798813869
50,0.008566120642198789,0.007670157648548907
