epoch,train_r²,validation_r²
1,-3120.01806640625,-3816.66650390625
2,0.0,-1787.5460205078125
3,0.0,-875.7018432617188
4,0.0,-408.3903503417969
5,0.0,-156.24830627441406
6,0.0,-56.027713775634766
7,0.0,-23.199209213256836
8,0.0,-12.378700256347656
9,0.0,-7.618679046630859
10,0.0,-5.099127769470215
11,0.0,-3.533090114593506
12,0.0,-2.495781898498535
13,0.0,-1.830199956893921
14,0.0,-1.321075201034546
15,0.0,-0.9156061410903931
16,0.0,-0.6043428182601929
17,0.0,-0.3404914140701294
18,0.0,-0.1708371639251709
19,0.0,-0.02476179599761963
20,0.0,0.1234394907951355
21,0.0,0.24221676588058472
22,0.0,0.3495780825614929
23,0.0,0.415080726146698
24,0.0,0.48290330171585083
25,0.6307824850082397,0.5163101553916931
26,0.0,0.5808652639389038
27,0.0,0.6073275804519653
28,0.0,0.6497004628181458
29,0.0,0.701845645904541
30,0.0,0.7168126106262207
31,0.0,0.749728798866272
32,0.0,0.7687591314315796
33,0.0,0.7939393520355225
34,0.0,0.8126554489135742
35,0.0,0.821264386177063
36,0.0,0.8341214656829834
37,0.0,0.8561258316040039
38,0.0,0.8596906661987305
39,0.0,0.8712955117225647
40,0.0,0.8824812769889832
41,0.0,0.8911788463592529
42,0.0,0.8920096755027771
43,0.0,0.8899499177932739
44,0.0,0.9081401228904724
45,0.0,0.9124591946601868
46,0.0,0.9065112471580505
47,0.0,0.9137392640113831
48,0.0,0.9171434044837952
49,0.0,0.9275235533714294
50,0.9471739530563354,0.9284671545028687
