epoch,train_mae,validation_mae
1,265.98931884765625,298.5825500488281
2,0.0,206.93643188476562
3,0.0,143.2298583984375
4,0.0,97.02569580078125
5,0.0,59.0853385925293
6,0.0,35.47591018676758
7,0.0,22.762832641601562
8,0.0,16.95988655090332
9,0.0,13.62816047668457
10,0.0,11.509076118469238
11,0.0,9.879523277282715
12,0.0,8.741447448730469
13,0.0,7.916413307189941
14,0.0,7.236124515533447
15,0.0,6.546800136566162
16,0.0,6.006473064422607
17,0.0,5.48399019241333
18,0.0,5.147335529327393
19,0.0,4.841500759124756
20,0.0,4.491943836212158
21,0.0,4.1556220054626465
22,0.0,3.8460936546325684
23,0.0,3.671537160873413
24,0.0,3.430941104888916
25,2.874890089035034,3.374694347381592
26,0.0,3.120427131652832
27,0.0,3.0477912425994873
28,0.0,2.823726177215576
29,0.0,2.6170966625213623
30,0.0,2.5661957263946533
31,0.0,2.4160680770874023
32,0.0,2.3262975215911865
33,0.0,2.1744863986968994
34,0.0,2.0824835300445557
35,0.0,2.0400784015655518
36,0.0,1.9750020503997803
37,0.0,1.8141423463821411
38,0.0,1.7843406200408936
39,0.0,1.6879243850708008
40,0.0,1.5763481855392456
41,0.0,1.5164178609848022
42,0.0,1.5416491031646729
43,0.0,1.5937150716781616
44,0.0,1.3967149257659912
45,0.0,1.3465701341629028
46,0.0,1.4629098176956177
47,0.0,1.3375953435897827
48,0.0,1.3351242542266846
49,0.0,1.1968778371810913
50,0.9881470203399658,1.181037425994873
