epoch,train_mse,test_mse
1,124242.7421875,205979.9375
2,47138.57421875,78891.4921875
3,24139.798828125,41030.15234375
4,11834.7646484375,21120.24609375
5,4910.6357421875,8806.5625
6,1839.0780029296875,3533.216064453125
7,858.5648193359375,1649.395263671875
8,486.84808349609375,942.6576538085938
9,314.684326171875,612.3277587890625
10,223.24510192871094,444.5505676269531
11,167.17538452148438,340.02484130859375
12,136.81655883789062,266.4570617675781
13,103.36094665527344,215.8403778076172
14,84.46319580078125,170.2687225341797
15,69.30889129638672,144.16282653808594
16,58.080142974853516,121.07815551757812
17,49.272491455078125,102.76736450195312
18,42.148414611816406,89.46745300292969
19,36.50912094116211,79.00196838378906
20,30.6104793548584,65.24175262451172
21,27.271940231323242,57.60749435424805
22,24.307767868041992,51.521949768066406
23,21.134653091430664,45.53852081298828
24,18.95916175842285,41.65968322753906
25,15.805902481079102,34.28615951538086
26,14.17136001586914,31.860403060913086
27,14.72787857055664,31.221315383911133
28,11.57851791381836,25.57926368713379
29,10.324485778808594,22.433225631713867
30,9.729534149169922,21.244150161743164
31,8.695281982421875,18.39451789855957
32,7.830440998077393,17.38821792602539
33,7.066062927246094,15.93752384185791
34,6.538067817687988,14.734074592590332
35,5.691323757171631,12.62630844116211
36,5.3947319984436035,11.750276565551758
37,5.000058650970459,11.65152645111084
38,5.020498752593994,10.480485916137695
39,4.038753032684326,9.29299545288086
40,3.9572579860687256,9.079293251037598
41,4.3250250816345215,8.950349807739258
42,3.343815326690674,7.846863746643066
43,3.6105356216430664,7.711938858032227
44,3.3715720176696777,7.613461494445801
45,3.260265350341797,7.1432647705078125
46,3.0165891647338867,6.369239807128906
47,2.6895601749420166,6.0507330894470215
48,2.726320505142212,5.889252662658691
49,2.657327175140381,5.704730987548828
50,2.310593843460083,5.110969066619873
