epoch,train_loss,test_loss
1,1471.1703029149014,471.88187685879797
2,183.85886913174195,180.87590262673118
3,81.81889525937362,94.09666279879484
4,40.501459533619766,48.45121173858642
5,18.647470201125167,20.2094126701355
6,7.220369202430259,8.112299591844732
7,2.9494018638637702,3.7890096599405463
8,1.488377780981467,2.1660092727704483
9,0.9097578664061049,1.4069992948662151
10,0.6128647884292782,1.0215774202888661
11,0.44790807415342104,0.7810989672487433
12,0.3425470575900145,0.6122732078487223
13,0.2686489369597793,0.4959888897158883
14,0.21704082894073407,0.39159583340991627
15,0.1768471456959214,0.33159359828992324
16,0.14826739439522157,0.27830932214856147
17,0.12462064898419828,0.23629252091050149
18,0.10851613991836986,0.20569400116801262
19,0.09038346407698913,0.18157042386856945
20,0.07772562142129236,0.1500885104591196
21,0.06852665779666162,0.13248826339840888
22,0.059168263517774884,0.11847434490919113
23,0.05200811975718664,0.10474584793502634
24,0.04585880046369324,0.09581800357184626
25,0.04067815232479796,0.07892851897261359
26,0.036557792812725746,0.07326620536094362
27,0.032392499863471785,0.07181349119002169
28,0.029063998813360508,0.05885876379907131
29,0.026241497967409697,0.051595447652719235
30,0.023481617589861576,0.04888198287649588
31,0.02113354998802495,0.042338051105087454
32,0.01916868620040551,0.040028847246007485
33,0.017332006713699007,0.0366719405928796
34,0.01624701357940693,0.03396521688184955
35,0.01449893516851283,0.02909581713717092
36,0.013507177532943481,0.0270672669634223
37,0.012335869920890375,0.026841069503941318
38,0.011745721571794559,0.024191047056493435
39,0.010575570338821047,0.021425110973756423
40,0.009883836707528768,0.020974568963389506
41,0.009256967948968282,0.020617274144156414
42,0.008627221537010631,0.018126060314137826
43,0.008564581803785104,0.0178103635172275
44,0.007772525873017703,0.017564662918448447
45,0.007344747415826844,0.016532855193046005
46,0.007295209350405445,0.014718760384924033
47,0.006714248119201949,0.013982847739349711
48,0.006382764366284852,0.013585815007205715
49,0.006049532338347234,0.01315314152532003
50,0.005888574657209673,0.011845721964809028
