timestamp,step,actual,predicted
2017/12/8 14:00,1,18.266783,17.607388
2017/12/8 15:00,2,15.489989,14.637198
2017/12/8 16:00,3,10.349824,10.274715
2017/12/8 17:00,4,5.894592,4.983824
2017/12/8 18:00,5,1.4880427,1.8951681
2017/12/8 19:00,6,0.0821816,0.10534209
2017/12/8 20:00,7,-0.02156172,-1.0375926
2017/12/8 21:00,8,-0.021413803,0.011814639
2017/12/8 22:00,9,-0.021352293,0.8422786
2017/12/8 23:00,10,-0.021284588,0.44746596
2017/12/9 0:00,11,-0.021027042,0.5196795
2017/12/9 1:00,12,-0.021282673,0.25620735
2017/12/9 2:00,13,-0.02134782,-0.22271003
2017/12/9 3:00,14,-0.021582201,0.1633678
2017/12/9 4:00,15,-0.021568941,0.43439698
2017/12/9 5:00,16,-0.021383516,-0.04661115
2017/12/9 6:00,17,0.72915316,1.0586209
2017/12/9 7:00,18,4.675529,3.9743621
2017/12/9 8:00,19,10.106802,9.93172
2017/12/9 9:00,20,14.53549,14.846281
2017/12/9 10:00,21,17.621714,17.735035
2017/12/9 11:00,22,19.571056,19.02674
2017/12/9 12:00,23,20.23087,19.448404
2017/12/9 13:00,24,18.683859,18.469702
