epoch,gamma_psg,gamma_wase,gamma_dsc,alpha_pgia_layer0,alpha_pgia_layer1,alpha_pgia_layer2,alpha_pgia_layer3,alpha_pgia_layer4
1,-0.026128379628062248,0.0103759141638875,-0.004755875561386347,-0.004778964910656214,0.0010117810452356935,-0.00047401271876879036,-0.001267063315026462,0.0014436341589316726
2,-0.04785012826323509,0.04892386123538017,-0.005956672597676516,-0.007551293354481459,0.0020497983787208796,-0.000251831574132666,-0.003924714867025614,0.0022429453674703836
3,-0.05651877075433731,0.07120805978775024,-0.0066526345908641815,-0.011260824277997017,0.0047620623372495174,1.5800000255694613e-05,-0.00825472455471754,0.001650473102927208
4,-0.061608996242284775,0.08535723388195038,-0.006984957028180361,-0.016291595995426178,0.008662685751914978,3.2905878470046446e-05,-0.014381026849150658,0.001191828167065978
5,-0.06483795493841171,0.09441529959440231,-0.007101643830537796,-0.02360725775361061,0.015026746317744255,0.0001387957890983671,-0.02098262682557106,0.001104453462176025
6,-0.06708888709545135,0.10061030089855194,-0.007167217321693897,-0.03237849846482277,0.02293054200708866,0.00035620274138636887,-0.027909664437174797,0.0007343791658058763
7,-0.06871268153190613,0.10473933070898056,-0.007210972253233194,-0.04279545322060585,0.032666128128767014,0.0007952178129926324,-0.03228472173213959,0.00047064817044883966
8,-0.070121631026268,0.10768375545740128,-0.007254846394062042,-0.053971413522958755,0.04107607528567314,0.0008892499026842415,-0.035507719963788986,0.0008228655788116157
9,-0.07145096361637115,0.10993634909391403,-0.007304447703063488,-0.06552925705909729,0.04833856597542763,0.0014387554256245494,-0.038148995488882065,0.0011968848994001746
10,-0.07239072024822235,0.11169542372226715,-0.007329338230192661,-0.07741940021514893,0.0554187148809433,0.0017942533595487475,-0.04021134972572327,0.0021018055267632008
11,-0.0733543336391449,0.11312834173440933,-0.007373216561973095,-0.08827050775289536,0.06122126802802086,0.002678383607417345,-0.04240908846259117,0.00325463037006557
12,-0.074208103120327,0.11436352133750916,-0.007421476766467094,-0.09911318868398666,0.06549280881881714,0.002555039245635271,-0.04474647343158722,0.006090200040489435
13,-0.07498308271169662,0.11540836095809937,-0.007450094446539879,-0.10828835517168045,0.0687255710363388,0.0027740877121686935,-0.04693055525422096,0.011871295049786568
14,-0.07576145976781845,0.11631426215171814,-0.007475143298506737,-0.11653683334589005,0.07232122123241425,0.0034908289089798927,-0.049340058118104935,0.02052130363881588
15,-0.0763506144285202,0.11711658537387848,-0.007510573603212833,-0.1237943023443222,0.07542207092046738,0.003628625301644206,-0.05165122449398041,0.03574497252702713
16,-0.07694736123085022,0.11783270537853241,-0.007530834060162306,-0.1301005482673645,0.07810002565383911,0.004227872937917709,-0.05477206036448479,0.053797364234924316
17,-0.07747548073530197,0.11848821491003036,-0.007550713140517473,-0.136156365275383,0.080812968313694,0.005155312828719616,-0.05726706236600876,0.0700596496462822
18,-0.07793032377958298,0.11907705664634705,-0.007576562464237213,-0.14124032855033875,0.08257409930229187,0.005257548298686743,-0.05945310741662979,0.07827935367822647
19,-0.07846950739622116,0.11961720883846283,-0.0075931488536298275,-0.14613491296768188,0.08489430695772171,0.006348166149109602,-0.062422677874565125,0.09020822495222092
