timestamp,actual,predicted,is_predicted_point
2017/12/8 7:00,4.7251,,0
2017/12/8 8:00,10.066254,,0
2017/12/8 9:00,14.494322,,0
2017/12/8 10:00,17.683691,,0
2017/12/8 11:00,19.70115,,0
2017/12/8 12:00,20.419106,,0
2017/12/8 13:00,19.963516,,0
2017/12/8 14:00,18.266783,,0
2017/12/8 15:00,15.489989,,0
2017/12/8 16:00,10.349824,,0
2017/12/8 17:00,5.8945923,,0
2017/12/8 18:00,1.4880427,,0
2017/12/8 19:00,0.0821816,,0
2017/12/8 20:00,-0.02156172,,0
2017/12/8 21:00,-0.021413803,,0
2017/12/8 22:00,-0.021352293,,0
2017/12/8 23:00,-0.021284588,,0
2017/12/9 0:00,-0.021027042,,0
2017/12/9 1:00,-0.021282673,,0
2017/12/9 2:00,-0.021347823,,0
2017/12/9 3:00,-0.021582201,,0
2017/12/9 4:00,-0.021568941,,0
2017/12/9 5:00,-0.021383516,,0
2017/12/9 6:00,0.7291531,,0
2017/12/9 7:00,4.6755285,4.6757073402404785,1
2017/12/9 8:00,10.106802,,0
2017/12/9 9:00,14.53549,,0
2017/12/9 10:00,17.621714,,0
2017/12/9 11:00,19.571056,,0
2017/12/9 12:00,20.23087,,0
2017/12/9 13:00,18.683859,,0
2017/12/9 14:00,14.215564,,0
2017/12/9 15:00,12.552882,,0
2017/12/9 16:00,7.4300475,,0
2017/12/9 17:00,4.6515074,,0
2017/12/9 18:00,1.602459,,0
2017/12/9 19:00,0.08310583,,0
2017/12/9 20:00,-0.021762298,,0
2017/12/9 21:00,-0.021694144,,0
2017/12/9 22:00,-0.021578588,,0
2017/12/9 23:00,-0.021538507,,0
2017/12/10 0:00,-0.021262718,,0
2017/12/10 1:00,-0.021476287,,0
2017/12/10 2:00,-0.02145626,,0
2017/12/10 3:00,-0.021478005,,0
2017/12/10 4:00,-0.02155704,,0
2017/12/10 5:00,-0.021266306,,0
2017/12/10 6:00,0.71421766,,0
2017/12/10 7:00,4.645185,,0
