epoch,train_r²,test_r²
1,-7473.6494140625,-304845.625
2,0.0,-266473.03125
3,0.0,-226637.234375
4,0.0,-188382.09375
5,0.0,-152419.953125
6,0.0,-119246.0703125
7,0.0,-92325.4296875
8,0.0,-70670.546875
9,0.0,-53551.4453125
10,0.0,-40020.109375
11,0.0,-29541.927734375
12,0.0,-21580.359375
13,0.0,-15577.55078125
14,0.0,-11122.7451171875
15,0.0,-7873.9677734375
16,0.0,-5527.21484375
17,0.0,-3842.1591796875
18,0.0,-2668.38671875
19,0.0,-1859.42138671875
20,0.0,-1298.2413330078125
21,0.0,-918.1581420898438
22,0.0,-654.9652099609375
23,0.0,-472.4626159667969
24,0.0,-342.2470703125
25,0.0,-250.42214965820312
26,0.0,-186.03768920898438
27,0.0,-140.1741485595703
28,0.0,-106.87487030029297
29,0.0,-82.36161041259766
30,0.0,-63.984703063964844
31,0.0,-50.443119049072266
32,0.0,-40.179481506347656
33,0.0,-32.13041305541992
34,0.0,-25.841136932373047
35,0.0,-20.826196670532227
36,0.0,-16.900663375854492
37,0.0,-13.757046699523926
38,0.0,-11.304784774780273
39,0.0,-9.273916244506836
40,0.0,-7.623736381530762
41,0.0,-6.183547019958496
42,0.0,-5.0076093673706055
43,0.0,-4.062894821166992
44,0.0,-3.286099433898926
45,0.0,-2.659487247467041
46,0.0,-2.1260554790496826
47,0.0,-1.677248239517212
48,0.0,-1.3003511428833008
49,0.0,-0.9855469465255737
50,0.9967489838600159,-0.7138434648513794
51,0.0,-0.4853755235671997
52,0.0,-0.2899160385131836
53,0.0,-0.12576186656951904
54,0.0,0.014277517795562744
55,0.0,0.13137739896774292
56,0.0,0.23600542545318604
57,0.0,0.3226814866065979
58,0.0,0.39863497018814087
59,0.0,0.4619594216346741
60,0.0,0.5172698497772217
61,0.0,0.5654355883598328
62,0.0,0.6076362729072571
63,0.0,0.644362211227417
64,0.0,0.6775883436203003
65,0.0,0.7059491872787476
66,0.0,0.7311064004898071
67,0.0,0.7528378367424011
68,0.0,0.7714757919311523
69,0.0,0.7880367040634155
70,0.0,0.8028084635734558
71,0.0,0.8159282207489014
72,0.0,0.8271270990371704
73,0.0,0.8369328379631042
74,0.0,0.8458278179168701
75,0.0,0.8539105653762817
76,0.0,0.8607705235481262
77,0.0,0.8666643500328064
78,0.0,0.872104287147522
79,0.0,0.8769062757492065
80,0.0,0.8811785578727722
81,0.0,0.8849369287490845
82,0.0,0.8883313536643982
83,0.0,0.8912696838378906
84,0.0,0.8938572406768799
85,0.0,0.8961597084999084
86,0.0,0.8983091115951538
87,0.0,0.9001782536506653
88,0.0,0.901884913444519
89,0.0,0.9034730792045593
90,0.0,0.9048445224761963
91,0.0,0.905983567237854
92,0.0,0.9070672988891602
93,0.0,0.908126711845398
94,0.0,0.9089892506599426
95,0.0,0.9097108244895935
96,0.0,0.9104892015457153
97,0.0,0.9112781882286072
98,0.0,0.9119195342063904
99,0.0,0.9125280380249023
100,0.9989237785339355,0.9130316376686096
101,0.0,0.9134646654129028
102,0.0,0.9138400554656982
103,0.0,0.9142576456069946
104,0.0,0.9145957231521606
105,0.0,0.9148944616317749
106,0.0,0.9152039885520935
107,0.0,0.915513813495636
108,0.0,0.9158208966255188
109,0.0,0.916072428226471
110,0.0,0.9162673950195312
111,0.0,0.9164360165596008
112,0.0,0.9165719151496887
113,0.0,0.9167457818984985
114,0.0,0.9169124960899353
115,0.0,0.9170596599578857
116,0.0,0.9171536564826965
117,0.0,0.9172128438949585
118,0.0,0.9172321557998657
119,0.0,0.91725093126297
120,0.0,0.9172469973564148
121,0.0,0.9173155426979065
122,0.0,0.9173825979232788
123,0.0,0.9174650311470032
124,0.0,0.9175001382827759
125,0.0,0.9175357818603516
126,0.0,0.9176135659217834
127,0.0,0.9176836609840393
128,0.0,0.9177371263504028
129,0.0,0.9177845120429993
130,0.0,0.9177974462509155
131,0.0,0.9178191423416138
132,0.0,0.9178755283355713
133,0.0,0.9178993701934814
134,0.0,0.9179339408874512
135,0.0,0.9179711937904358
136,0.0,0.9179786443710327
137,0.0,0.9180116057395935
138,0.0,0.9180447459220886
139,0.0,0.9180559515953064
140,0.0,0.918067216873169
141,0.0,0.9180799722671509
142,0.0,0.9180824756622314
143,0.0,0.9180819392204285
144,0.0,0.9181086421012878
145,0.0,0.9181589484214783
146,0.0,0.9182033538818359
147,0.0,0.9182391166687012
148,0.0,0.918282687664032
149,0.0,0.918311595916748
150,0.9997608661651611,0.9182923436164856
151,0.0,0.9183022379875183
152,0.0,0.918329656124115
153,0.0,0.9183656573295593
154,0.0,0.9184089303016663
155,0.0,0.918427586555481
156,0.0,0.9184514284133911
157,0.0,0.9184671640396118
158,0.0,0.9185055494308472
159,0.0,0.9185225963592529
160,0.0,0.9185226559638977
161,0.0,0.918547511100769
162,0.0,0.918554961681366
163,0.0,0.918582022190094
164,0.0,0.9185869097709656
165,0.0,0.9185951352119446
166,0.0,0.9186118841171265
167,0.0,0.9186307787895203
168,0.0,0.9186639785766602
169,0.0,0.9187073111534119
170,0.0,0.9187349081039429
171,0.0,0.9187624454498291
172,0.0,0.9187831878662109
173,0.0,0.9187906980514526
174,0.0,0.9188029170036316
175,0.0,0.9187968373298645
176,0.0,0.9188085794448853
177,0.0,0.9188144207000732
178,0.0,0.9188299775123596
179,0.0,0.9188435077667236
180,0.0,0.9188780188560486
181,0.0,0.9189094305038452
182,0.0,0.9189338684082031
183,0.0,0.9189394116401672
184,0.0,0.9189362525939941
185,0.0,0.9189474582672119
186,0.0,0.9189618229866028
187,0.0,0.9189755916595459
188,0.0,0.9189899563789368
189,0.0,0.9190001487731934
190,0.0,0.9190056324005127
191,0.0,0.9190139770507812
192,0.0,0.919025719165802
193,0.0,0.9190393686294556
194,0.0,0.9190465211868286
195,0.0,0.9190499782562256
196,0.0,0.9190568923950195
197,0.0,0.9190698862075806
198,0.0,0.919079065322876
199,0.0,0.9190840721130371
200,0.9999450445175171,0.9190876483917236
