epoch,gamma_psg,gamma_wase,gamma_dsc,alpha_pgia_layer0,alpha_pgia_layer1,alpha_pgia_layer2
1,0.0,0.08940846472978592,0.0,-0.00577543443068862,0.007423640228807926,0.0950566828250885
2,0.0,0.17776988446712494,0.0,-0.019945750012993813,0.011506974697113037,0.18431229889392853
3,0.0,0.20523078739643097,0.0,-0.02626952715218067,0.013178514316678047,0.19360442459583282
4,0.0,0.21353980898857117,0.0,-0.028545856475830078,0.013763648457825184,0.19521582126617432
5,0.0,0.2177658975124359,0.0,-0.02992640621960163,0.014207929372787476,0.1964128315448761
6,0.0,0.220607727766037,0.0,-0.03066869266331196,0.014444797299802303,0.19598303735256195
7,0.0,0.22293581068515778,0.0,-0.03142064809799194,0.014649130403995514,0.19621002674102783
8,0.0,0.22466686367988586,0.0,-0.03193686902523041,0.014818141236901283,0.1955658197402954
9,0.0,0.22623689472675323,0.0,-0.03238753229379654,0.014899522997438908,0.19535064697265625
10,0.0,0.22771435976028442,0.0,-0.032767411321401596,0.015023572370409966,0.1954282522201538
11,0.0,0.22912916541099548,0.0,-0.033125996589660645,0.015143283642828465,0.19640450179576874
12,0.0,0.23028229176998138,0.0,-0.033357951790094376,0.015264017507433891,0.1963767111301422
13,0.0,0.23187293112277985,0.0,-0.03355037048459053,0.015415841713547707,0.19744856655597687
14,0.0,0.23318377137184143,0.0,-0.033932339400053024,0.015540518797934055,0.2053527683019638
15,0.0,0.23431919515132904,0.0,-0.034136176109313965,0.015650741755962372,0.21137548983097076
16,0.0,0.23540633916854858,0.0,-0.03447999060153961,0.015795458108186722,0.21729092299938202
17,0.0,0.23615898191928864,0.0,-0.034829989075660706,0.01583237200975418,0.22474153339862823
18,0.0,0.2369326949119568,0.0,-0.035004280507564545,0.015957200899720192,0.23339346051216125
19,0.0,0.23764336109161377,0.0,-0.03541656583547592,0.016031458973884583,0.24197553098201752
20,0.0,0.23847612738609314,0.0,-0.03576337546110153,0.016241099685430527,0.2475663721561432
21,0.0,0.23964820802211761,0.0,-0.03613845258951187,0.01640893705189228,0.2609868049621582
22,0.0,0.2406182438135147,0.0,-0.03647512570023537,0.01654265820980072,0.27278611063957214
23,0.0,0.24125677347183228,0.0,-0.036905884742736816,0.016776690259575844,0.2791725695133209
24,0.0,0.24196591973304749,0.0,-0.037405017763376236,0.016978079453110695,0.2899043560028076
25,0.0,0.24250049889087677,0.0,-0.03791983425617218,0.01720665767788887,0.3014778196811676
26,0.0,0.24304763972759247,0.0,-0.03828927502036095,0.017529265955090523,0.3134986162185669
27,0.0,0.243734210729599,0.0,-0.03913681581616402,0.017697729170322418,0.319080650806427
28,0.0,0.2445908635854721,0.0,-0.03966433182358742,0.01789804920554161,0.3299185633659363
29,0.0,0.24535135924816132,0.0,-0.0399622917175293,0.01815980300307274,0.3429669141769409
30,0.0,0.2457442581653595,0.0,-0.04053918272256851,0.018596205860376358,0.3553245961666107
31,0.0,0.24611708521842957,0.0,-0.0411587730050087,0.0191445741802454,0.38155463337898254
32,0.0,0.24699218571186066,0.0,-0.04212189093232155,0.019476065412163734,0.41262251138687134
33,0.0,0.2476528286933899,0.0,-0.04282534494996071,0.020152902230620384,0.4288540780544281
34,0.0,0.24791552126407623,0.0,-0.0436551496386528,0.020688854157924652,0.45969322323799133
35,0.0,0.2489452213048935,0.0,-0.044618189334869385,0.021319013088941574,0.4991825819015503
36,0.0,0.2506149411201477,0.0,-0.04564352333545685,0.02212926372885704,0.5142652988433838
37,0.0,0.2502453625202179,0.0,-0.04641586169600487,0.022793153300881386,0.5097559690475464
38,0.0,0.2510181665420532,0.0,-0.04728713631629944,0.02352779731154442,0.5358074307441711
