epoch,train_r²,test_r²
1,0.8931213617324829,0.8582018613815308
2,0.8900334239006042,0.8466235995292664
3,0.9237632751464844,0.8752838373184204
4,0.9088250994682312,0.8525736331939697
5,0.9356225728988647,0.8787121176719666
6,0.9295415282249451,0.8765287399291992
7,0.9347742199897766,0.8740187287330627
8,0.935907244682312,0.8722279667854309
9,0.937148928642273,0.8803250789642334
10,0.9479736685752869,0.8890782594680786
11,0.9484102725982666,0.8920065760612488
12,0.9438539743423462,0.8838309049606323
13,0.9440612196922302,0.8860803246498108
14,0.9509163498878479,0.8926435112953186
15,0.9443235397338867,0.882701575756073
16,0.9439690709114075,0.8860477805137634
17,0.9044071435928345,0.8444077968597412
18,0.9536001086235046,0.8982111811637878
19,0.9540325999259949,0.8965479731559753
20,0.9429040551185608,0.886337399482727
21,0.9509760737419128,0.8944640159606934
22,0.9495012760162354,0.8888036608695984
23,0.9582375884056091,0.903560996055603
24,0.9587875604629517,0.9012832641601562
25,0.9510875940322876,0.8949756026268005
26,0.9611181616783142,0.9106442332267761
27,0.9579786062240601,0.9068092107772827
28,0.952030599117279,0.9026580452919006
29,0.9566138386726379,0.8977198004722595
30,0.9605427384376526,0.9026188254356384
31,0.9593809843063354,0.8999326825141907
32,0.9588091969490051,0.903064489364624
33,0.9611996412277222,0.9004824757575989
34,0.9591342210769653,0.9074932932853699
35,0.9579436182975769,0.8997871279716492
36,0.9574728608131409,0.894540011882782
37,0.96378493309021,0.9050437211990356
38,0.9531899690628052,0.8904607892036438
39,0.9635651707649231,0.8988388776779175
40,0.9591311812400818,0.8925352096557617
41,0.9635229110717773,0.8901737332344055
42,0.9609743356704712,0.8850845694541931
43,0.9619604349136353,0.8932161927223206
44,0.9617469310760498,0.8987671732902527
45,0.9659494757652283,0.8994885087013245
46,0.9544119834899902,0.8879536390304565
47,0.9662660956382751,0.9033258557319641
48,0.9670103192329407,0.8969820141792297
49,0.9671525955200195,0.8895667195320129
50,0.9645498394966125,0.8917962312698364
51,0.9669909477233887,0.8925178050994873
52,0.9674933552742004,0.8815436363220215
53,0.9657217264175415,0.8984271883964539
54,0.9654779434204102,0.8850342631340027
55,0.9682055711746216,0.8949952125549316
56,0.9654641151428223,0.8920943737030029
57,0.9624519348144531,0.886241614818573
58,0.9676171541213989,0.899263858795166
59,0.9688962697982788,0.8970919251441956
60,0.9630539417266846,0.8829694390296936
61,0.967094361782074,0.8926791548728943
62,0.9673635959625244,0.8930370807647705
63,0.9699152708053589,0.8950233459472656
64,0.9698605537414551,0.8939470648765564
65,0.9716580510139465,0.8903152346611023
66,0.9702605605125427,0.9011000394821167
67,0.9702144265174866,0.8806499242782593
68,0.9713878631591797,0.8952078819274902
69,0.9718571305274963,0.894476592540741
70,0.972762942314148,0.8899186253547668
71,0.9733858108520508,0.8889509439468384
72,0.9733483195304871,0.8877846002578735
73,0.9744086861610413,0.8926207423210144
74,0.974536120891571,0.8888709545135498
75,0.9722636342048645,0.8817890882492065
76,0.97354656457901,0.8885664939880371
77,0.9724751710891724,0.879365086555481
78,0.974859356880188,0.8941295146942139
79,0.9740138649940491,0.8879584074020386
80,0.9739941358566284,0.8944482207298279
81,0.9705207347869873,0.8775758743286133
82,0.9758444428443909,0.8939831256866455
83,0.9687976241111755,0.8809566497802734
84,0.9736425876617432,0.8898786306381226
85,0.9768973588943481,0.8938003778457642
86,0.9775328040122986,0.8964982628822327
87,0.9758607149124146,0.8877638578414917
88,0.97418212890625,0.8929026126861572
89,0.9776267409324646,0.8887189626693726
90,0.9748408198356628,0.8893203139305115
91,0.9786548018455505,0.8945885896682739
92,0.9784749150276184,0.8925713896751404
93,0.9794424772262573,0.8939140439033508
94,0.9764962792396545,0.8904013633728027
95,0.9784999489784241,0.8940401077270508
96,0.9781041145324707,0.895024299621582
97,0.9774572253227234,0.8874457478523254
98,0.9770057201385498,0.8725335597991943
99,0.9784581065177917,0.8895483613014221
100,0.9784796833992004,0.8831079006195068
