epoch,gamma_wase,gamma_dsc,physbias_w_norm_layer0,physbias_w_norm_layer1,physbias_w_norm_layer2,physbias_w_norm_layer3
1,0.023842962458729744,0.03588411957025528,0.07567505538463593,0.0396990105509758,0.029095761477947235,0.03266863152384758
2,0.06651095300912857,0.08034851402044296,0.13837377727031708,0.06537825614213943,0.05607234314084053,0.04642360657453537
3,0.14184243977069855,0.1478053480386734,0.21155840158462524,0.0930882915854454,0.08066898584365845,0.07150077819824219
4,0.3828098177909851,0.2951931059360504,0.26363882422447205,0.11692427098751068,0.08847430348396301,0.09834406524896622
5,0.7163953185081482,0.45654433965682983,0.3245377242565155,0.16137652099132538,0.12012359499931335,0.14304493367671967
6,0.778419017791748,0.40331533551216125,0.5409196615219116,0.3829612731933594,0.28751713037490845,0.3592354357242584
7,0.7804079055786133,0.3906443417072296,0.6975480914115906,0.49462300539016724,0.39040595293045044,0.4569803476333618
8,0.7824090719223022,0.3839627802371979,0.9098749756813049,0.6407573819160461,0.6436135768890381,0.611122190952301
9,0.7882458567619324,0.38269561529159546,1.144361972808838,0.905100405216217,0.8589939475059509,0.7096447348594666
10,0.7907270193099976,0.38031697273254395,1.3654087781906128,1.094111680984497,1.0434062480926514,0.7988166809082031
11,0.7933185696601868,0.3783424198627472,1.4999589920043945,1.213126540184021,1.139283537864685,0.8704915642738342
12,0.7957972288131714,0.37665340304374695,1.7102309465408325,1.3849515914916992,1.3158063888549805,0.9325438141822815
13,0.7975183725357056,0.3738503158092499,1.883844017982483,1.579832911491394,1.4208123683929443,0.9821574091911316
14,0.8013212084770203,0.3739258944988251,2.121981620788574,1.8512433767318726,1.5401666164398193,1.0200166702270508
15,0.8017470240592957,0.36989855766296387,2.3048713207244873,2.0456924438476562,1.6364495754241943,1.0142124891281128
16,0.806321382522583,0.3712068200111389,2.6306121349334717,2.2781498432159424,1.8126522302627563,1.0712265968322754
17,0.8086453676223755,0.36934706568717957,2.865957021713257,2.5064778327941895,1.926829218864441,1.1175591945648193
18,0.8079022169113159,0.36459052562713623,3.087409734725952,2.793073892593384,2.105956792831421,1.1681078672409058
19,0.8089762330055237,0.36368292570114136,3.202972412109375,2.9776878356933594,2.2945034503936768,1.165223479270935
