epoch,train_mse,validation_mse
1,182919.078125,248672.734375
2,0.0,63897.88671875
3,0.0,29813.763671875
4,0.0,16551.83984375
5,0.0,9887.5166015625
6,0.0,6559.7626953125
7,0.0,4354.13916015625
8,0.0,2985.43359375
9,0.0,2059.756591796875
10,0.0,1423.1162109375
11,0.0,977.2203979492188
12,0.0,664.3562622070312
13,0.0,446.78497314453125
14,0.0,298.8531188964844
15,0.0,193.3341064453125
16,0.0,123.47099304199219
17,0.0,77.76675415039062
18,0.0,49.40351867675781
19,0.0,32.66777420043945
20,0.0,23.093454360961914
21,0.0,17.93926429748535
22,0.0,15.050819396972656
23,0.0,13.303579330444336
24,0.0,12.148050308227539
25,8.210298538208008,11.317278861999512
26,0.0,10.736856460571289
27,0.0,10.14382266998291
28,0.0,9.652033805847168
29,0.0,9.27985954284668
30,0.0,8.959433555603027
31,0.0,8.720816612243652
32,0.0,8.549858093261719
33,0.0,8.456100463867188
34,0.0,8.380751609802246
35,0.0,8.427410125732422
36,0.0,8.394742012023926
37,0.0,8.481307983398438
38,0.0,8.292799949645996
39,0.0,8.353967666625977
40,0.0,8.293242454528809
41,0.0,8.389725685119629
42,0.0,8.454105377197266
43,0.0,8.796592712402344
44,0.0,8.565507888793945
45,0.0,8.616683959960938
46,0.0,8.977463722229004
47,0.0,8.411710739135742
48,0.0,8.710260391235352
49,0.0,8.769610404968262
50,2.2910993099212646,8.38949203491211
