epoch,train_r²,validation_r²
1,-4319.3720703125,-5301.826171875
2,0.0,-1361.5916748046875
3,0.0,-634.76416015625
4,0.0,-351.96002197265625
5,0.0,-209.84652709960938
6,0.0,-138.88377380371094
7,0.0,-91.84991455078125
8,0.0,-62.66292953491211
9,0.0,-42.923316955566406
10,0.0,-29.347265243530273
11,0.0,-19.838754653930664
12,0.0,-13.167076110839844
13,0.0,-8.527474403381348
14,0.0,-5.372899055480957
15,0.0,-3.1227564811706543
16,0.0,-1.6329593658447266
17,0.0,-0.6583385467529297
18,0.0,-0.05350625514984131
19,0.0,0.3033754229545593
20,0.0,0.5075432062149048
21,0.0,0.6174538135528564
22,0.0,0.6790485382080078
23,0.0,0.7163075804710388
24,0.0,0.7409486770629883
25,0.80608069896698,0.7586644887924194
26,0.0,0.7710416913032532
27,0.0,0.7836878895759583
28,0.0,0.7941750288009644
29,0.0,0.8021115064620972
30,0.0,0.8089444041252136
31,0.0,0.814032793045044
32,0.0,0.8176783919334412
33,0.0,0.8196777105331421
34,0.0,0.8212845325469971
35,0.0,0.8202895522117615
36,0.0,0.8209861516952515
37,0.0,0.8191401958465576
38,0.0,0.8231600522994995
39,0.0,0.8218556642532349
40,0.0,0.823150634765625
41,0.0,0.8210931420326233
42,0.0,0.8197202682495117
43,0.0,0.8124169111251831
44,0.0,0.8173446655273438
45,0.0,0.8162533640861511
46,0.0,0.8085598945617676
47,0.0,0.8206243515014648
48,0.0,0.8142578601837158
49,0.0,0.8129922747612
50,0.9458864331245422,0.8210980892181396
