epoch,train_mae,validation_mae
1,312.20343017578125,348.5487976074219
2,0.0,174.57965087890625
3,0.0,121.15274047851562
4,0.0,89.59915924072266
5,0.0,68.10602569580078
6,0.0,55.8626708984375
7,0.0,45.32435989379883
8,0.0,37.538482666015625
9,0.0,31.229360580444336
10,0.0,25.992176055908203
11,0.0,21.552522659301758
12,0.0,17.720809936523438
13,0.0,14.543485641479492
14,0.0,11.908218383789062
15,0.0,9.574423789978027
16,0.0,7.662265777587891
17,0.0,6.09719705581665
18,0.0,4.8863396644592285
19,0.0,4.007802486419678
20,0.0,3.399634599685669
21,0.0,3.009063720703125
22,0.0,2.7507832050323486
23,0.0,2.572563409805298
24,0.0,2.445951223373413
25,2.0631988048553467,2.344352960586548
26,0.0,2.263415575027466
27,0.0,2.1863150596618652
28,0.0,2.104457139968872
29,0.0,2.0263803005218506
30,0.0,1.955857515335083
31,0.0,1.8953144550323486
32,0.0,1.843265175819397
33,0.0,1.8045564889907837
34,0.0,1.7693288326263428
35,0.0,1.7505978345870972
36,0.0,1.7240630388259888
37,0.0,1.7197182178497314
38,0.0,1.6869444847106934
39,0.0,1.6792469024658203
40,0.0,1.6562191247940063
41,0.0,1.64901864528656
42,0.0,1.6499125957489014
43,0.0,1.671722173690796
44,0.0,1.6326706409454346
45,0.0,1.6352790594100952
46,0.0,1.6653116941452026
47,0.0,1.6042293310165405
48,0.0,1.6279181241989136
49,0.0,1.6396470069885254
50,0.9661662578582764,1.5911890268325806
