epoch,train_mse,test_mse
1,56775.41796875,100811.9140625
2,0.0,19894.533203125
3,0.0,8243.046875
4,0.0,4271.39453125
5,0.0,2858.227783203125
6,0.0,2400.85546875
7,0.0,2232.41943359375
8,0.0,2191.479736328125
9,0.0,2157.107666015625
10,0.0,2106.808349609375
11,0.0,2031.02001953125
12,0.0,1902.1947021484375
13,0.0,1748.6842041015625
14,0.0,1617.3946533203125
15,0.0,1465.44677734375
16,0.0,1338.0552978515625
17,0.0,1231.7432861328125
18,0.0,1122.6236572265625
19,0.0,1009.1506958007812
20,0.0,919.779541015625
21,0.0,822.4382934570312
22,0.0,746.5646362304688
23,0.0,669.5364379882812
24,0.0,598.591796875
25,0.0,535.9517211914062
26,0.0,467.7634582519531
27,0.0,413.9751281738281
28,0.0,366.829833984375
29,0.0,322.2818603515625
30,0.0,284.09515380859375
31,0.0,251.6678466796875
32,0.0,221.35691833496094
33,0.0,195.50718688964844
34,0.0,173.61097717285156
35,0.0,154.6735382080078
36,0.0,137.66738891601562
37,0.0,122.3596420288086
38,0.0,109.30341339111328
39,0.0,98.17157745361328
40,0.0,87.28076934814453
41,0.0,79.29500579833984
42,0.0,71.16325378417969
43,0.0,65.40931701660156
44,0.0,58.80682373046875
45,0.0,55.08784103393555
46,0.0,49.05931854248047
47,0.0,44.92231750488281
48,0.0,39.86589050292969
49,0.0,37.39219665527344
50,1.356078028678894,34.24554443359375
51,0.0,30.669729232788086
52,0.0,28.67429542541504
53,0.0,24.861448287963867
54,0.0,23.27099609375
55,0.0,21.237041473388672
56,0.0,20.068788528442383
57,0.0,18.141857147216797
58,0.0,16.856922149658203
59,0.0,16.089982986450195
60,0.0,15.269715309143066
61,0.0,14.121264457702637
62,0.0,13.889165878295898
63,0.0,12.955024719238281
64,0.0,12.857426643371582
65,0.0,12.666269302368164
66,0.0,12.392995834350586
67,0.0,11.44697093963623
68,0.0,11.69314193725586
69,0.0,11.305241584777832
70,0.0,11.010319709777832
71,0.0,10.836852073669434
72,0.0,10.426534652709961
73,0.0,10.359001159667969
74,0.0,10.561152458190918
75,0.0,10.815268516540527
76,0.0,9.625208854675293
77,0.0,9.53281021118164
78,0.0,8.666747093200684
79,0.0,8.27597427368164
80,0.0,8.9551362991333
81,0.0,8.336930274963379
82,0.0,7.970638275146484
83,0.0,7.525829792022705
84,0.0,7.514291763305664
85,0.0,7.187455654144287
86,0.0,6.811971664428711
87,0.0,7.148021697998047
88,0.0,7.43496561050415
89,0.0,7.3960065841674805
90,0.0,6.714914321899414
91,0.0,6.530214786529541
92,0.0,6.317686557769775
93,0.0,7.01957893371582
94,0.0,6.089897155761719
95,0.0,5.789280414581299
96,0.0,6.398391246795654
97,0.0,6.539552211761475
98,0.0,6.211264610290527
99,0.0,6.303798198699951
100,0.6729515790939331,6.330586910247803
