timestamp,actual,predicted,is_predicted_point
2017/12/9 3:00,-0.021582201,,0
2017/12/9 4:00,-0.021568941,,0
2017/12/9 5:00,-0.021383516,,0
2017/12/9 6:00,0.7291531,,0
2017/12/9 7:00,4.6755285,,0
2017/12/9 8:00,10.106802,,0
2017/12/9 9:00,14.53549,,0
2017/12/9 10:00,17.621714,,0
2017/12/9 11:00,19.571056,,0
2017/12/9 12:00,20.23087,,0
2017/12/9 13:00,18.683859,,0
2017/12/9 14:00,14.215564,,0
2017/12/9 15:00,12.552882,,0
2017/12/9 16:00,7.4300475,,0
2017/12/9 17:00,4.6515074,,0
2017/12/9 18:00,1.602459,,0
2017/12/9 19:00,0.08310583,,0
2017/12/9 20:00,-0.021762298,,0
2017/12/9 21:00,-0.021694144,,0
2017/12/9 22:00,-0.021578588,,0
2017/12/9 23:00,-0.021538507,,0
2017/12/10 0:00,-0.021262718,,0
2017/12/10 1:00,-0.021476287,,0
2017/12/10 2:00,-0.02145626,,0
2017/12/10 3:00,-0.021478005,-0.021236563101410866,1
2017/12/10 4:00,-0.02155704,,0
2017/12/10 5:00,-0.021266306,,0
2017/12/10 6:00,0.71421766,,0
2017/12/10 7:00,4.645185,,0
2017/12/10 8:00,9.954605,,0
2017/12/10 9:00,14.303127,,0
2017/12/10 10:00,17.379507,,0
2017/12/10 11:00,19.282566,,0
2017/12/10 12:00,19.950281,,0
2017/12/10 13:00,19.502739,,0
2017/12/10 14:00,17.968859,,0
2017/12/10 15:00,15.359431,,0
2017/12/10 16:00,10.235465,,0
2017/12/10 17:00,5.3054366,,0
2017/12/10 18:00,1.810621,,0
2017/12/10 19:00,0.18937324,,0
2017/12/10 20:00,-0.021720173,,0
2017/12/10 21:00,-0.021583714,,0
2017/12/10 22:00,-0.021469215,,0
2017/12/10 23:00,-0.021435617,,0
2017/12/11 0:00,-0.021148982,,0
2017/12/11 1:00,-0.021370927,,0
2017/12/11 2:00,-0.021283332,,0
2017/12/11 3:00,-0.021269303,,0
