epoch,train_mae,test_mae
1,2.094871997833252,2.094871997833252
2,1.7169020175933838,1.7169020175933838
3,1.5445890426635742,1.5445890426635742
4,1.8368598222732544,1.8368598222732544
5,1.6002804040908813,1.6002804040908813
6,1.6505261659622192,1.6505261659622192
7,1.6713677644729614,1.6713677644729614
8,1.6477012634277344,1.6477012634277344
9,1.5620135068893433,1.5620135068893433
10,1.2393897771835327,1.2393897771835327
11,1.4470692873001099,1.4470692873001099
12,1.6503483057022095,1.6503483057022095
13,1.387903094291687,1.387903094291687
14,1.2447295188903809,1.2447295188903809
15,1.3423364162445068,1.3423364162445068
16,1.1358590126037598,1.1358590126037598
17,1.2077076435089111,1.2077076435089111
18,1.3592464923858643,1.3592464923858643
19,1.225515604019165,1.225515604019165
20,1.2387604713439941,1.2387604713439941
21,0.9761667251586914,0.9761667251586914
22,1.0548638105392456,1.0548638105392456
23,1.0651084184646606,1.0651084184646606
24,1.1513636112213135,1.1513636112213135
25,1.3166570663452148,1.3166570663452148
26,0.9815412163734436,0.9815412163734436
27,1.0377527475357056,1.0377527475357056
28,1.266430377960205,1.266430377960205
29,1.0568385124206543,1.0568385124206543
30,1.034587025642395,1.034587025642395
31,0.985816478729248,0.985816478729248
32,0.9696099758148193,0.9696099758148193
33,0.8835182189941406,0.8835182189941406
34,1.0182194709777832,1.0182194709777832
35,1.075061559677124,1.075061559677124
36,0.9572039246559143,0.9572039246559143
37,1.0480693578720093,1.0480693578720093
38,0.9265828728675842,0.9265828728675842
39,0.9485312104225159,0.9485312104225159
40,0.8690259456634521,0.8690259456634521
41,0.8873371481895447,0.8873371481895447
42,0.8259274363517761,0.8259274363517761
43,0.8334345817565918,0.8334345817565918
44,0.8625892400741577,0.8625892400741577
45,0.8346525430679321,0.8346525430679321
46,0.8862878680229187,0.8862878680229187
47,0.9327271580696106,0.9327271580696106
48,0.7087576985359192,0.7087576985359192
49,0.9202972650527954,0.9202972650527954
50,0.9060032963752747,0.9060032963752747
51,0.8515424728393555,0.8515424728393555
52,1.0363831520080566,1.0363831520080566
53,0.8630403876304626,0.8630403876304626
54,0.9758336544036865,0.9758336544036865
55,0.8107258677482605,0.8107258677482605
56,0.7954933047294617,0.7954933047294617
57,0.7556160688400269,0.7556160688400269
58,0.8768895864486694,0.8768895864486694
59,0.7894837260246277,0.7894837260246277
60,0.8201418519020081,0.8201418519020081
61,0.7037579417228699,0.7037579417228699
62,0.94607013463974,0.94607013463974
63,1.0442335605621338,1.0442335605621338
64,0.755344033241272,0.755344033241272
65,0.7227081656455994,0.7227081656455994
66,0.726435661315918,0.726435661315918
67,0.7203009128570557,0.7203009128570557
68,0.9223834872245789,0.9223834872245789
69,0.8331369161605835,0.8331369161605835
70,0.8550223708152771,0.8550223708152771
71,0.7282251715660095,0.7282251715660095
72,0.7976052761077881,0.7976052761077881
73,0.8261518478393555,0.8261518478393555
74,0.802280068397522,0.802280068397522
75,0.7950769066810608,0.7950769066810608
76,0.8308389782905579,0.8308389782905579
77,0.8290126919746399,0.8290126919746399
78,0.7973384261131287,0.7973384261131287
79,0.9000800251960754,0.9000800251960754
80,0.7220106720924377,0.7220106720924377
81,0.786755383014679,0.786755383014679
82,0.8089727759361267,0.8089727759361267
83,0.888447642326355,0.888447642326355
84,0.8035698533058167,0.8035698533058167
85,0.7469647526741028,0.7469647526741028
86,0.7362085580825806,0.7362085580825806
87,0.7971073985099792,0.7971073985099792
88,0.8597730994224548,0.8597730994224548
89,0.741531252861023,0.741531252861023
90,0.7511003613471985,0.7511003613471985
91,0.8432886004447937,0.8432886004447937
92,0.7449213862419128,0.7449213862419128
93,0.8320012092590332,0.8320012092590332
94,0.6779939532279968,0.6779939532279968
95,0.7031944394111633,0.7031944394111633
96,0.7106334567070007,0.7106334567070007
97,0.7470375299453735,0.7470375299453735
98,0.756545901298523,0.756545901298523
99,0.8607075214385986,0.8607075214385986
100,0.7289254665374756,0.7289254665374756
