epoch,gamma_wase,gamma_dsc,alpha_pgia_layer0,alpha_pgia_layer1,alpha_pgia_layer2
1,0.12397776544094086,-0.0790378600358963,-0.08297862857580185,-0.028646232560276985,0.0029827584512531757
2,0.20014768838882446,-0.08835400640964508,-0.2007725089788437,-0.04181253910064697,0.004098351579159498
3,0.22426697611808777,-0.08904077857732773,-0.23703843355178833,-0.04730011150240898,0.0043752314522862434
4,0.23450717329978943,-0.08930200338363647,-0.25200000405311584,-0.049257103353738785,0.004646910820156336
5,0.2406618744134903,-0.0894419476389885,-0.260547399520874,-0.050489090383052826,0.0051726652309298515
6,0.24530428647994995,-0.08954498171806335,-0.2675513029098511,-0.0515015572309494,0.005839081946760416
7,0.2488042414188385,-0.08962604403495789,-0.2720450758934021,-0.05202991142868996,0.006218898110091686
8,0.2516040503978729,-0.0896964967250824,-0.2758747637271881,-0.052647579461336136,0.006923772394657135
9,0.2539843022823334,-0.08973793685436249,-0.2771284282207489,-0.05318721756339073,0.00774111645296216
10,0.2565172016620636,-0.08979621529579163,-0.27811458706855774,-0.053567368537187576,0.009201718494296074
11,0.2587542235851288,-0.08984565734863281,-0.27949634194374084,-0.054078832268714905,0.009735126048326492
12,0.26065993309020996,-0.08985268324613571,-0.2812955975532532,-0.05450884997844696,0.010676836594939232
13,0.26256194710731506,-0.08985930681228638,-0.2812105119228363,-0.05466297268867493,0.01334882341325283
14,0.2643182873725891,-0.08987515419721603,-0.2818562090396881,-0.05502409487962723,0.015835769474506378
15,0.2661871910095215,-0.08996128290891647,-0.2824203372001648,-0.05537291616201401,0.019813839346170425
16,0.2678356468677521,-0.08998025953769684,-0.2834209203720093,-0.055734727531671524,0.02413828670978546
17,0.2694956958293915,-0.08998612314462662,-0.28487250208854675,-0.05586038529872894,0.032433442771434784
18,0.2713959813117981,-0.09005387872457504,-0.28664928674697876,-0.056134309619665146,0.03613637387752533
19,0.2726738154888153,-0.09013731777667999,-0.28623563051223755,-0.05595773085951805,0.051825471222400665
20,0.27435678243637085,-0.09021227061748505,-0.2869623303413391,-0.05635274946689606,0.06021919474005699
21,0.2761690616607666,-0.09019867330789566,-0.28791379928588867,-0.056596726179122925,0.07679056376218796
22,0.2780179977416992,-0.09022779017686844,-0.28860193490982056,-0.05704998970031738,0.08886032551527023
23,0.28001394867897034,-0.09026927500963211,-0.28873738646507263,-0.057362716645002365,0.10910649597644806
24,0.28184908628463745,-0.09031956642866135,-0.29037749767303467,-0.05748141184449196,0.12622123956680298
25,0.283347487449646,-0.09038276970386505,-0.28909796476364136,-0.05761939287185669,0.15041539072990417
26,0.2846631109714508,-0.09022969752550125,-0.287687212228775,-0.05784466862678528,0.20736083388328552
27,0.28781428933143616,-0.09036014974117279,-0.28149452805519104,-0.058250490576028824,0.2243194729089737
28,0.2897278964519501,-0.09039495140314102,-0.28451794385910034,-0.05890723317861557,0.24531280994415283
29,0.2912585735321045,-0.0905691385269165,-0.28336039185523987,-0.05898043140769005,0.3275282382965088
30,0.2934231460094452,-0.09064535051584244,-0.28503262996673584,-0.05900006368756294,0.354550302028656
31,0.2945270240306854,-0.09066934138536453,-0.2864743769168854,-0.05913824215531349,0.3836713433265686
32,0.29576075077056885,-0.09072525054216385,-0.2866309583187103,-0.05930260196328163,0.41330820322036743
33,0.2967718839645386,-0.09067076444625854,-0.28695350885391235,-0.05944490060210228,0.45699501037597656
34,0.2971220910549164,-0.0907309353351593,-0.28591516613960266,-0.0595303513109684,0.49472498893737793
35,0.29845818877220154,-0.09063374996185303,-0.2856673300266266,-0.059636425226926804,0.5408461093902588
36,0.29978522658348083,-0.09046506881713867,-0.2880057692527771,-0.05931533873081207,0.5772498846054077
37,0.3000892102718353,-0.09037146717309952,-0.28926536440849304,-0.0584140308201313,0.5596739053726196
38,0.30396705865859985,-0.0903875082731247,-0.29038405418395996,-0.05782264843583107,0.6494107842445374
39,0.307041734457016,-0.09051990509033203,-0.2935284674167633,-0.05921532213687897,0.6612808704376221
40,0.3081326484680176,-0.09015082567930222,-0.2935381233692169,-0.05965135619044304,0.6756446957588196
41,0.30946314334869385,-0.09006892889738083,-0.29316702485084534,-0.06098898872733116,0.6959647536277771
42,0.3105657994747162,-0.08982239663600922,-0.28971320390701294,-0.06147138029336929,0.7169957160949707
43,0.31735822558403015,-0.09016728401184082,-0.29258108139038086,-0.06407845765352249,0.7523401379585266
44,0.32104626297950745,-0.08995743840932846,-0.30029910802841187,-0.06625688821077347,0.8031100630760193
45,0.32687699794769287,-0.08982636034488678,-0.30010563135147095,-0.06768054515123367,0.8270652294158936
46,0.32966506481170654,-0.08963581919670105,-0.3089722692966461,-0.06877623498439789,0.8554192185401917
47,0.33566048741340637,-0.08942992985248566,-0.31232401728630066,-0.0696832686662674,0.864319384098053
48,0.340374231338501,-0.0894680917263031,-0.3263683617115021,-0.07080605626106262,0.9458326697349548
49,0.3706549406051636,-0.09068606793880463,-0.35211530327796936,-0.07089386880397797,1.0099999904632568
50,0.3751988410949707,-0.08994241058826447,-0.3711142838001251,-0.07222186774015427,1.1019117832183838
51,0.3796449899673462,-0.08973554521799088,-0.3897131085395813,-0.07561927288770676,1.1459993124008179
52,0.38226449489593506,-0.08930131793022156,-0.4220302104949951,-0.0812358409166336,1.230277419090271
53,0.3882419466972351,-0.08861133456230164,-0.4599587321281433,-0.08064790070056915,1.2560158967971802
54,0.39298775792121887,-0.08784210681915283,-0.49912217259407043,-0.08892654627561569,1.347792387008667
55,0.40351879596710205,-0.08689893782138824,-0.5351261496543884,-0.09806311130523682,1.3847519159317017
56,0.4107719957828522,-0.08631939440965652,-0.5778436064720154,-0.1029936745762825,1.3869497776031494
57,0.41865116357803345,-0.0860552042722702,-0.6301266551017761,-0.11020869016647339,1.4131882190704346
58,0.4280047118663788,-0.08448347449302673,-0.6864106059074402,-0.1190265491604805,1.4169244766235352
59,0.43745824694633484,-0.08292296528816223,-0.7892324328422546,-0.13210353255271912,1.4420758485794067
60,0.4490586221218109,-0.08204778283834457,-0.8582070469856262,-0.1456497758626938,1.4580847024917603
61,0.45871424674987793,-0.0817217156291008,-0.9208323359489441,-0.15271244943141937,1.4854909181594849
62,0.4722651541233063,-0.08109109848737717,-0.9447107315063477,-0.16694678366184235,1.5262677669525146
63,0.48084017634391785,-0.08163117617368698,-0.9869657754898071,-0.17836901545524597,1.5291969776153564
64,0.4920961558818817,-0.0811823308467865,-1.038858413696289,-0.20341292023658752,1.5288417339324951
65,0.5038419961929321,-0.08256028592586517,-1.0581550598144531,-0.22238032519817352,1.5562323331832886
66,0.5157131552696228,-0.08165036886930466,-1.102342963218689,-0.2540658414363861,1.5798897743225098
67,0.5238925814628601,-0.08191551268100739,-1.1390756368637085,-0.3005596995353699,1.5928438901901245
68,0.5351824760437012,-0.08180335909128189,-1.1501924991607666,-0.2991808354854584,1.5822128057479858
69,0.5465654730796814,-0.08318637311458588,-1.1806488037109375,-0.2968781292438507,1.5837706327438354
70,0.5569089651107788,-0.08791554719209671,-1.1933724880218506,-0.293271541595459,1.5878486633300781
71,0.5709304809570312,-0.0859212875366211,-1.2114301919937134,-0.301884263753891,1.5951242446899414
72,0.5780379176139832,-0.08111720532178879,-1.2360546588897705,-0.33640068769454956,1.574845790863037
73,0.5901637077331543,-0.08804458379745483,-1.2356722354888916,-0.33838000893592834,1.572448968887329
74,0.5952372550964355,-0.06779920309782028,-1.2518303394317627,-0.335761696100235,1.5587897300720215
75,0.6070569753646851,-0.07655700296163559,-1.2679823637008667,-0.389314204454422,1.5740000009536743
76,0.6145293712615967,-0.08035366237163544,-1.2726926803588867,-0.4103579521179199,1.5748618841171265
77,0.6243121027946472,-0.07995563000440598,-1.2742714881896973,-0.4261009693145752,1.5890893936157227
78,0.6331004500389099,-0.07828589528799057,-1.2770401239395142,-0.44345471262931824,1.599824070930481
79,0.6386655569076538,-0.08129657059907913,-1.2803946733474731,-0.48226505517959595,1.5964338779449463
80,0.6449198722839355,-0.0676262229681015,-1.2805737257003784,-0.47090497612953186,1.5984493494033813
81,0.6529297828674316,-0.06601648032665253,-1.2880815267562866,-0.4861066937446594,1.609795093536377
82,0.6584259867668152,-0.06300108134746552,-1.3053175210952759,-0.4899612367153168,1.6180377006530762
83,0.6659132242202759,-0.06587432324886322,-1.3072558641433716,-0.5194970965385437,1.6185274124145508
84,0.672787606716156,-0.06583838164806366,-1.3245176076889038,-0.5680758953094482,1.6143275499343872
85,0.6767765283584595,-0.06935852766036987,-1.3341130018234253,-0.6314326524734497,1.630407691001892
86,0.6833783984184265,-0.06129242852330208,-1.3462084531784058,-0.6573526859283447,1.6227613687515259
87,0.6879671216011047,-0.06132630631327629,-1.369494080543518,-0.7060613036155701,1.621475338935852
88,0.6936538219451904,-0.058183733373880386,-1.3705958127975464,-0.7580623626708984,1.6246155500411987
89,0.6986443400382996,-0.06875793635845184,-1.3661860227584839,-0.7994347214698792,1.614938497543335
90,0.7035423517227173,-0.05957834795117378,-1.3692264556884766,-0.8628218770027161,1.611175298690796
91,0.708996057510376,-0.05461616441607475,-1.3750332593917847,-0.8947034478187561,1.626327633857727
92,0.715580940246582,-0.06709375232458115,-1.3948460817337036,-0.9343054890632629,1.6273080110549927
93,0.7216407060623169,-0.060694530606269836,-1.4009205102920532,-0.9532326459884644,1.6357953548431396
94,0.7221202850341797,-0.07764804363250732,-1.4370888471603394,-0.9875169992446899,1.6311308145523071
95,0.7309172749519348,-0.07332099974155426,-1.4231113195419312,-1.081561803817749,1.633136510848999
96,0.7357959747314453,-0.07032954692840576,-1.4271330833435059,-1.1215626001358032,1.6418064832687378
97,0.7378149628639221,-0.06045763939619064,-1.4071444272994995,-1.215179204940796,1.6291353702545166
98,0.7441881895065308,-0.06030632555484772,-1.3899693489074707,-1.2646933794021606,1.6431373357772827
99,0.7494208812713623,-0.06305669993162155,-1.4101935625076294,-1.3110584020614624,1.6385337114334106
100,0.75201815366745,-0.06485290825366974,-1.4156346321105957,-1.3818726539611816,1.6471123695373535
101,0.755049467086792,-0.057636138051748276,-1.4192180633544922,-1.3439230918884277,1.6391949653625488
102,0.7584406137466431,-0.05884357541799545,-1.381896734237671,-1.3370977640151978,1.623209834098816
103,0.7627771496772766,-0.06073083356022835,-1.4069079160690308,-1.3967288732528687,1.6490285396575928
104,0.7678415775299072,-0.06547786295413971,-1.4174935817718506,-1.39887273311615,1.6546164751052856
105,0.7716661691665649,-0.05581609904766083,-1.4150025844573975,-1.4059778451919556,1.618975043296814
106,0.7727990746498108,-0.05728257820010185,-1.4253886938095093,-1.388334035873413,1.633421540260315
107,0.7756662368774414,-0.060702092945575714,-1.418035626411438,-1.4056247472763062,1.6363294124603271
108,0.7767559289932251,-0.05746455118060112,-1.4126733541488647,-1.4080209732055664,1.6252403259277344
109,0.7809478044509888,-0.055121973156929016,-1.4107743501663208,-1.401882290840149,1.6276309490203857
110,0.7820759415626526,-0.059168171137571335,-1.3940434455871582,-1.423205018043518,1.6179864406585693
111,0.7858172059059143,-0.06320704519748688,-1.4084694385528564,-1.4245293140411377,1.631298542022705
112,0.7902507185935974,-0.060791708528995514,-1.4190376996994019,-1.4245760440826416,1.6333681344985962
113,0.7930231094360352,-0.05636196956038475,-1.413956880569458,-1.4214167594909668,1.609487771987915
114,0.7964305281639099,-0.04932931438088417,-1.4164519309997559,-1.4142519235610962,1.6280966997146606
115,0.7976778149604797,-0.051555149257183075,-1.4089423418045044,-1.4467309713363647,1.6126279830932617
116,0.8000774383544922,-0.05732905864715576,-1.4119247198104858,-1.445978045463562,1.6127420663833618
117,0.8041213154792786,-0.06348003447055817,-1.406663179397583,-1.4448931217193604,1.6188730001449585
118,0.8031337261199951,-0.05300050228834152,-1.403560996055603,-1.4382377862930298,1.6147242784500122
119,0.8071290850639343,-0.06727252155542374,-1.3998619318008423,-1.4431143999099731,1.5934758186340332
120,0.8091573119163513,-0.05870889872312546,-1.4075287580490112,-1.4407230615615845,1.6028178930282593
121,0.8109554648399353,-0.0648038312792778,-1.4029040336608887,-1.43769109249115,1.5853142738342285
122,0.8123603463172913,-0.05540978163480759,-1.3992310762405396,-1.4269005060195923,1.593902826309204
123,0.8152366280555725,-0.05396296828985214,-1.4021427631378174,-1.4259153604507446,1.594305157661438
124,0.8178733587265015,-0.055049262940883636,-1.4015660285949707,-1.4439013004302979,1.5771409273147583
125,0.8172883987426758,-0.0558270700275898,-1.3874945640563965,-1.444008708000183,1.581140160560608
126,0.8185149431228638,-0.05083567649126053,-1.3916306495666504,-1.434075117111206,1.584005355834961
127,0.8229734301567078,-0.05158162862062454,-1.3755592107772827,-1.4715418815612793,1.6054385900497437
128,0.8253328204154968,-0.051562532782554626,-1.3804749250411987,-1.4534136056900024,1.5901803970336914
129,0.8266570568084717,-0.04838627576828003,-1.3941891193389893,-1.4619898796081543,1.5947190523147583
130,0.8290442824363708,-0.05304708704352379,-1.3752936124801636,-1.4693418741226196,1.590477705001831
131,0.8288916349411011,-0.0530347041785717,-1.3698453903198242,-1.4761122465133667,1.5938663482666016
132,0.8322068452835083,-0.05094605311751366,-1.3710380792617798,-1.472251296043396,1.5970426797866821
133,0.8312694430351257,-0.05248154699802399,-1.373551845550537,-1.4709985256195068,1.5763379335403442
134,0.8341342806816101,-0.05366131663322449,-1.3816909790039062,-1.4722859859466553,1.571244478225708
135,0.83574378490448,-0.05443115532398224,-1.3867026567459106,-1.473950982093811,1.5668377876281738
136,0.836260974407196,-0.04693226143717766,-1.394205093383789,-1.4776655435562134,1.5570343732833862
137,0.8351683616638184,-0.04697522893548012,-1.3840408325195312,-1.463201880455017,1.5697429180145264
138,0.8377436995506287,-0.054748717695474625,-1.4014854431152344,-1.49465012550354,1.5553086996078491
139,0.8390127420425415,-0.05298679694533348,-1.3786745071411133,-1.47542142868042,1.565793752670288
140,0.8414514660835266,-0.05175486579537392,-1.3881627321243286,-1.4766596555709839,1.5619362592697144
141,0.8428120017051697,-0.050021667033433914,-1.3835099935531616,-1.4973031282424927,1.5735759735107422
142,0.8435019850730896,-0.053697507828474045,-1.4258888959884644,-1.4809110164642334,1.587195634841919
