timestamp,step,actual,predicted
2017/12/23 4:00,1,-0.02124535,0.582366
2017/12/23 5:00,2,-0.021108925,0.30404162
2017/12/23 6:00,3,0.53322697,1.0950102
2017/12/23 7:00,4,4.0259366,4.042916
2017/12/23 8:00,5,9.012362,9.0970545
2017/12/23 9:00,6,13.283987,13.666205
2017/12/23 10:00,7,16.289295,16.09525
2017/12/23 11:00,8,18.183117,17.578041
2017/12/23 12:00,9,18.910065,18.88522
2017/12/23 13:00,10,18.474691,18.67796
2017/12/23 14:00,11,17.416098,17.349947
2017/12/23 15:00,12,14.965842,14.526194
2017/12/23 16:00,13,10.456234,11.18967
2017/12/23 17:00,14,6.0538926,6.2837715
2017/12/23 18:00,15,1.7828847,2.1432579
2017/12/23 19:00,16,0.13544486,0.5696311
2017/12/23 20:00,17,-0.021281134,0.5677877
2017/12/23 21:00,18,-0.021155339,0.42156497
2017/12/23 22:00,19,-0.021207184,0.16737147
2017/12/23 23:00,20,-0.021160567,0.36448818
2017/12/24 0:00,21,-0.020848269,0.4720791
2017/12/24 1:00,22,-0.021054408,0.12849367
2017/12/24 2:00,23,-0.021124257,0.21924071
2017/12/24 3:00,24,-0.021227483,0.45703128
