epoch,gamma_psg,gamma_wase,gamma_dsc,alpha_pgia_layer0,alpha_pgia_layer1,alpha_pgia_layer2,alpha_pgia_layer3,alpha_pgia_layer4
1,-0.4921616017818451,0.1812795102596283,0.09683290123939514,0.02198933996260166,0.05802891403436661,-0.03754939138889313,0.03392695263028145,0.025125764310359955
2,-0.7062870860099792,0.3016411364078522,0.10217664390802383,0.026707176119089127,0.08889811486005783,-0.03976375237107277,0.040125586092472076,0.03188084065914154
3,-0.7616965770721436,0.33876171708106995,0.10302532464265823,0.028013067319989204,0.09455215930938721,-0.03852679952979088,0.040824152529239655,0.03155821934342384
4,-0.7859903573989868,0.35462501645088196,0.10340731590986252,0.02860632725059986,0.0984969288110733,-0.03769037500023842,0.0408037006855011,0.0292355976998806
5,-0.8004003167152405,0.36395156383514404,0.10362233966588974,0.029012911021709442,0.10035400092601776,-0.03718399256467819,0.04134352505207062,0.028079448267817497
6,-0.809981644153595,0.37002965807914734,0.1037282720208168,0.029253965243697166,0.10158820450305939,-0.03718556836247444,0.042017612606287,0.027996713295578957
7,-0.8159857988357544,0.37383243441581726,0.10383912175893784,0.029433738440275192,0.10210184752941132,-0.03732796758413315,0.042672526091337204,0.029042743146419525
8,-0.821282684803009,0.3771190345287323,0.10388658940792084,0.02955935336649418,0.10274842381477356,-0.03748512640595436,0.04353072866797447,0.03043636493384838
9,-0.8248878121376038,0.3792913854122162,0.10394603759050369,0.029656047001481056,0.10306699573993683,-0.037555497139692307,0.04372980445623398,0.031875304877758026
10,-0.8279356360435486,0.38110920786857605,0.10397640615701675,0.02972865290939808,0.10341376066207886,-0.037572380155324936,0.04409525915980339,0.03339280188083649
11,-0.8307115435600281,0.38282454013824463,0.10397865623235703,0.029781879857182503,0.10385818034410477,-0.03759390860795975,0.044313378632068634,0.03519086539745331
12,-0.8332259654998779,0.3842991292476654,0.10400217771530151,0.029838906601071358,0.1043795645236969,-0.03762100636959076,0.04478694871068001,0.0369764007627964
13,-0.8356499075889587,0.38570523262023926,0.10399335622787476,0.02988392859697342,0.10479149222373962,-0.037623561918735504,0.04510083794593811,0.03875977173447609
14,-0.8374724984169006,0.38680049777030945,0.10404865443706512,0.02990805357694626,0.10492449998855591,-0.03762037679553032,0.044958896934986115,0.04040252044796944
15,-0.8392351269721985,0.3878638446331024,0.10406452417373657,0.029937759041786194,0.1053093746304512,-0.03759230300784111,0.044925183057785034,0.04233599081635475
16,-0.8412595391273499,0.38915207982063293,0.10403601080179214,0.029967235401272774,0.10576492547988892,-0.037569768726825714,0.045010726898908615,0.044445283710956573
17,-0.8426337242126465,0.3899858891963959,0.10405068099498749,0.029980642721056938,0.10612713545560837,-0.03753706067800522,0.04482525214552879,0.04631898179650307
18,-0.8441987633705139,0.3909241557121277,0.10405866801738739,0.030001632869243622,0.10649663209915161,-0.03753556311130524,0.044655539095401764,0.04804282635450363
19,-0.8452637195587158,0.39156481623649597,0.1040966734290123,0.030018359422683716,0.10682019591331482,-0.03753875568509102,0.04489653557538986,0.04991291090846062
20,-0.846562922000885,0.3923593759536743,0.10410843044519424,0.030038483440876007,0.10714368522167206,-0.03752809390425682,0.044874176383018494,0.0520307794213295
21,-0.8479313254356384,0.39321622252464294,0.10409726947546005,0.030063601210713387,0.10754390805959702,-0.03750463202595711,0.045024324208498,0.053071703761816025
22,-0.8489913940429688,0.39388900995254517,0.10410599410533905,0.03008211776614189,0.10793647170066833,-0.03751057758927345,0.04530901089310646,0.05440709367394447
23,-0.8500954508781433,0.3945658802986145,0.104112409055233,0.030100354924798012,0.10837799310684204,-0.03749329596757889,0.0455222986638546,0.056019771844148636
24,-0.8511531949043274,0.39523807168006897,0.10411569476127625,0.030122149735689163,0.10885418951511383,-0.03748311474919319,0.04585890471935272,0.0571909062564373
25,-0.852168083190918,0.39587563276290894,0.10411997884511948,0.030138785019516945,0.10932495445013046,-0.03747442737221718,0.04610629007220268,0.05847308412194252
26,-0.853225827217102,0.3965173363685608,0.10412243753671646,0.030156195163726807,0.10986994951963425,-0.03746463358402252,0.04663969203829765,0.05997762456536293
27,-0.854215145111084,0.3971123993396759,0.10412459075450897,0.030174650251865387,0.11041007190942764,-0.03745243698358536,0.047165729105472565,0.061655860394239426
28,-0.8548614382743835,0.39747095108032227,0.1041732132434845,0.030183926224708557,0.1109669879078865,-0.03743987902998924,0.04774975776672363,0.06351447850465775
29,-0.8556836843490601,0.39806878566741943,0.10417499393224716,0.030204053968191147,0.11141384392976761,-0.03740224242210388,0.04804639890789986,0.06474385410547256
30,-0.8566263914108276,0.3986970782279968,0.10417697578668594,0.030228890478610992,0.11199994385242462,-0.03738422319293022,0.04908861964941025,0.066891610622406
31,-0.8575007915496826,0.39926549792289734,0.10418117046356201,0.030245264992117882,0.11253146082162857,-0.0373532772064209,0.04995701462030411,0.06909506022930145
32,-0.8583142161369324,0.3997882008552551,0.10418517142534256,0.03026312217116356,0.11309939622879028,-0.03734656050801277,0.051349639892578125,0.07159241288900375
33,-0.8591182827949524,0.40033629536628723,0.10418941080570221,0.03028288669884205,0.1137172058224678,-0.03732364624738693,0.05183873325586319,0.07502265274524689
34,-0.8600519299507141,0.4008791446685791,0.10418852418661118,0.03029930219054222,0.1142868846654892,-0.03731611743569374,0.05308525264263153,0.07799277454614639
35,-0.8607603907585144,0.40142205357551575,0.10419365763664246,0.030313288792967796,0.11484260112047195,-0.037283558398485184,0.05436991527676582,0.08255065977573395
36,-0.8615687489509583,0.4020211100578308,0.10421034693717957,0.030330907553434372,0.11548174172639847,-0.03729470819234848,0.05537646636366844,0.08838068693876266
37,-0.8624184131622314,0.4026501476764679,0.10421959310770035,0.030346296727657318,0.11622531712055206,-0.03729451820254326,0.055937472730875015,0.09293793886899948
38,-0.8635066747665405,0.40332573652267456,0.1042444035410881,0.03036421723663807,0.1168689876794815,-0.03730560094118118,0.05696261674165726,0.10216256231069565
39,-0.864406168460846,0.4040081202983856,0.10425715148448944,0.030403658747673035,0.11773765087127686,-0.03725896403193474,0.05830879136919975,0.11286637932062149
40,-0.8653119206428528,0.4045172333717346,0.10431476682424545,0.030414937064051628,0.11853791773319244,-0.0372704453766346,0.0588642954826355,0.12221743166446686
41,-0.8671553730964661,0.40544411540031433,0.10434578359127045,0.03043438121676445,0.11919911950826645,-0.0372464619576931,0.06031321734189987,0.13256341218948364
42,-0.8880317807197571,0.41748836636543274,0.10437676310539246,0.030801957473158836,0.12430602312088013,-0.036529265344142914,0.0549740232527256,0.12855125963687897
43,-0.8919572830200195,0.420221209526062,0.10437819361686707,0.030749475583434105,0.12796437740325928,-0.03645410016179085,0.05546622723340988,0.13723993301391602
44,-0.9011385440826416,0.42336735129356384,0.1045667827129364,0.030642278492450714,0.1288638710975647,-0.03637376427650452,0.05842124670743942,0.1627296805381775
45,-0.9073730111122131,0.42688727378845215,0.10458776354789734,0.03073929250240326,0.1326659470796585,-0.036543987691402435,0.06131553277373314,0.20500889420509338
46,-0.9116840362548828,0.42854931950569153,0.10466726869344711,0.030754370614886284,0.13459542393684387,-0.036552827805280685,0.0659492164850235,0.23631861805915833
47,-0.9137712717056274,0.4296577572822571,0.10467864573001862,0.030772335827350616,0.136347234249115,-0.03655773028731346,0.06756027787923813,0.2820749878883362
48,-0.915887176990509,0.43073779344558716,0.10473192483186722,0.030733885243535042,0.13795679807662964,-0.036589473485946655,0.07289852201938629,0.32425862550735474
49,-0.9190223217010498,0.432354599237442,0.1047305315732956,0.030784519389271736,0.13985055685043335,-0.03656836599111557,0.07846644520759583,0.3755786418914795
50,-0.9230113625526428,0.4342714846134186,0.10472255200147629,0.03084849938750267,0.14225509762763977,-0.0365542396903038,0.08027619123458862,0.46535763144493103
51,-0.9271327257156372,0.43565160036087036,0.10472426563501358,0.030843660235404968,0.1438279002904892,-0.03669711574912071,0.08007628470659256,0.5509387850761414
52,-0.9339303970336914,0.43922123312950134,0.10465215146541595,0.030857250094413757,0.14746932685375214,-0.03648196533322334,0.08003866672515869,0.6069203019142151
53,-0.9773397445678711,0.45652055740356445,0.10509809851646423,0.030965570360422134,0.1561639904975891,-0.03613806143403053,0.07567545026540756,0.6300910115242004
54,-0.9961801767349243,0.46241819858551025,0.10507625341415405,0.03101593628525734,0.16284088790416718,-0.03652751445770264,0.07779816538095474,0.682716965675354
55,-1.0270811319351196,0.47145605087280273,0.10505273193120956,0.031256094574928284,0.17167846858501434,-0.036228060722351074,0.0812496691942215,0.7297515869140625
56,-1.1252094507217407,0.49460265040397644,0.10508215427398682,0.03149613365530968,0.2168189138174057,-0.035598717629909515,0.09370699524879456,0.8114461302757263
57,-1.18991219997406,0.5075085759162903,0.10549554973840714,0.03170744702219963,0.24367180466651917,-0.035562578588724136,0.09185945242643356,0.8242521286010742
58,-1.217409372329712,0.5127822756767273,0.10560733079910278,0.03184666112065315,0.2638784646987915,-0.03558938205242157,0.10220056772232056,0.8378670811653137
59,-1.2492337226867676,0.5168793201446533,0.10568634420633316,0.03195865824818611,0.2956412434577942,-0.03580418601632118,0.11582373082637787,0.8781037330627441
60,-1.2805330753326416,0.5208408236503601,0.10587941110134125,0.03198619186878204,0.33063018321990967,-0.03588729724287987,0.12764200568199158,0.934090256690979
61,-1.32027006149292,0.5253097414970398,0.1061316505074501,0.032073456794023514,0.3598364293575287,-0.036156900227069855,0.1493586152791977,0.9899340271949768
62,-1.3911333084106445,0.5344370603561401,0.10651702433824539,0.03211981803178787,0.4165823757648468,-0.03658553957939148,0.17816832661628723,1.009073257446289
63,-1.447738528251648,0.5439077019691467,0.10694392770528793,0.03222321718931198,0.45465829968452454,-0.03667064756155014,0.20244313776493073,1.047439694404602
64,-1.515026569366455,0.5516470074653625,0.10748223215341568,0.03230461850762367,0.4873586893081665,-0.03689897805452347,0.2355288714170456,1.0675702095031738
65,-1.5579115152359009,0.5556971430778503,0.1077701598405838,0.03242647275328636,0.506367027759552,-0.037128061056137085,0.2737908959388733,1.0859732627868652
66,-1.5790369510650635,0.5591399669647217,0.1080775335431099,0.03246255964040756,0.5245023369789124,-0.03743148222565651,0.30361634492874146,1.10382080078125
67,-1.6267752647399902,0.5692768096923828,0.10871206223964691,0.03245893120765686,0.5605047941207886,-0.03763999789953232,0.3796980381011963,1.1274638175964355
68,-1.6433584690093994,0.5753501057624817,0.10913196951150894,0.032415758818387985,0.5727935433387756,-0.038305167108774185,0.449470192193985,1.1315045356750488
69,-1.691983699798584,0.5818490386009216,0.10951149463653564,0.03243396431207657,0.5935211777687073,-0.03969413787126541,0.4867556095123291,1.161454677581787
70,-1.731963038444519,0.5873589515686035,0.10991373658180237,0.03245922550559044,0.6404393315315247,-0.04066277667880058,0.5439012050628662,1.1742875576019287
71,-1.6987738609313965,0.5938148498535156,0.11028556525707245,0.03250323608517647,0.6925126910209656,-0.041505202651023865,0.6270063519477844,1.2138539552688599
72,-1.6865909099578857,0.601507306098938,0.11075100302696228,0.03250211849808693,0.7227442860603333,-0.04265914484858513,0.6869993805885315,1.2347991466522217
73,-1.661286473274231,0.6072813272476196,0.11107756197452545,0.03258100897073746,0.7345792055130005,-0.04345877841114998,0.7654872536659241,1.2649685144424438
74,-1.6858614683151245,0.6228245496749878,0.11191899329423904,0.03249676898121834,0.741690456867218,-0.04416608065366745,0.837520182132721,1.284605860710144
75,-1.7111014127731323,0.6284951567649841,0.11294232308864594,0.032658305019140244,0.7662192583084106,-0.045670151710510254,0.952857494354248,1.3081166744232178
76,-1.808261752128601,0.6368493437767029,0.11303520202636719,0.032639093697071075,0.8583164215087891,-0.04703385382890701,0.9880921840667725,1.349726915359497
77,-1.9597796201705933,0.6970387101173401,0.11705827713012695,0.03291250392794609,0.8742054104804993,-0.04847980663180351,1.0252249240875244,1.3564798831939697
78,-1.9750665426254272,0.702069878578186,0.11710139364004135,0.03315287083387375,0.893467128276825,-0.05025686323642731,1.0625720024108887,1.4006695747375488
79,-2.0033576488494873,0.7065693140029907,0.11715053021907806,0.03336752951145172,0.9146048426628113,-0.05056171864271164,1.1150507926940918,1.402703046798706
