timestamp,step,actual,predicted
2018/12/27 3:00,1,-0.021449393,-0.071863785
2018/12/27 4:00,2,-0.021525789,0.098397225
2018/12/27 5:00,3,-0.021307746,0.035710085
2018/12/27 6:00,4,0.6580278,0.46652818
2018/12/27 7:00,5,3.9951801,3.8687406
2018/12/27 8:00,6,8.903667,8.860589
2018/12/27 9:00,7,13.081473,13.091876
2018/12/27 10:00,8,16.205406,16.364027
2018/12/27 11:00,9,17.983866,18.266644
2018/12/27 12:00,10,18.860931,19.084764
2018/12/27 13:00,11,18.430227,18.492468
2018/12/27 14:00,12,17.145058,17.194956
2018/12/27 15:00,13,14.504666,14.565624
2018/12/27 16:00,14,10.374795,10.555555
2018/12/27 17:00,15,6.214055,6.172241
2018/12/27 18:00,16,1.7926872,1.6424825
2018/12/27 19:00,17,0.13258615,0.057197254
2018/12/27 20:00,18,-0.021684188,-0.07851027
2018/12/27 21:00,19,-0.021572784,-0.020945404
2018/12/27 22:00,20,-0.021480642,0.017672978
2018/12/27 23:00,21,-0.021252679,0.052853364
2018/12/28 0:00,22,-0.020961894,-0.009500753
2018/12/28 1:00,23,-0.02116012,0.029563617
2018/12/28 2:00,24,-0.021148937,-0.011591647
