epoch,train_mse,test_mse
1,5.7649407386779785,8.354729652404785
2,5.48624849319458,8.677679061889648
3,5.6269636154174805,9.097668647766113
4,3.068586826324463,6.260885238647461
5,2.5422749519348145,5.42159366607666
6,3.4540469646453857,6.8914642333984375
7,2.0212786197662354,4.53510046005249
8,2.0034334659576416,4.602134704589844
9,1.7375357151031494,4.250732421875
10,1.4320436716079712,3.630328416824341
11,1.299434781074524,3.5684304237365723
12,1.7278988361358643,3.9326930046081543
13,1.41351318359375,3.299406051635742
14,1.5323125123977661,3.7852108478546143
15,1.252479910850525,3.4235281944274902
16,1.1432983875274658,3.152989149093628
17,0.9537736177444458,2.785521984100342
18,1.1081490516662598,3.1081573963165283
19,1.3604999780654907,3.2396090030670166
20,0.9408047199249268,2.825697898864746
21,0.8837957978248596,2.7235827445983887
22,1.094773530960083,3.0493812561035156
23,0.9641539454460144,2.9320783615112305
24,1.5303444862365723,3.6525022983551025
25,0.9558223485946655,2.8818087577819824
26,0.8095842599868774,2.5349860191345215
27,0.9149609208106995,2.716413974761963
28,0.9370401501655579,2.9189975261688232
29,1.2559149265289307,3.3307857513427734
30,1.097210168838501,3.200164556503296
31,1.0034807920455933,2.9681968688964844
32,0.9933539032936096,2.7666192054748535
33,1.4397598505020142,3.589383363723755
34,0.7756264805793762,2.5948188304901123
35,1.6649973392486572,3.4018161296844482
36,0.7933143973350525,2.677370548248291
37,0.7781459093093872,2.729079008102417
38,0.8062229752540588,3.0018818378448486
39,1.049687385559082,3.2768239974975586
40,0.775364100933075,2.5608816146850586
41,0.7584187388420105,2.81197190284729
42,0.9384304881095886,3.0632193088531494
43,0.951641857624054,2.7394120693206787
44,0.7863456606864929,2.7868642807006836
45,1.1129424571990967,3.3293232917785645
46,0.6802076101303101,2.569704532623291
47,0.7221860289573669,2.7495274543762207
48,0.7579887509346008,2.6785876750946045
49,0.8230140805244446,2.9128670692443848
50,1.4888076782226562,3.9573891162872314
51,0.7423513531684875,2.7214252948760986
52,0.7173522114753723,2.881969451904297
53,0.7103941440582275,2.8076510429382324
54,0.6783653497695923,2.8027360439300537
55,0.787592351436615,3.0296106338500977
56,0.7106770873069763,2.811474084854126
57,0.79440838098526,2.837290048599243
58,0.6883193850517273,2.8122260570526123
59,0.653448224067688,2.663222312927246
60,0.6549895405769348,2.94087815284729
61,0.6668652296066284,2.6759819984436035
62,0.6412546634674072,2.7812306880950928
63,0.6592479348182678,2.7235498428344727
64,0.8202863335609436,3.3538806438446045
65,0.6458861827850342,2.7736363410949707
66,0.6432191729545593,2.8326034545898438
67,0.712558925151825,2.85975980758667
68,0.6422762870788574,3.055807590484619
69,0.6271029114723206,2.933701515197754
70,0.6827583312988281,2.852315902709961
71,0.6490222215652466,3.037771701812744
72,0.6363101601600647,3.0405995845794678
73,0.6359719634056091,2.9076850414276123
74,0.6560468077659607,3.0525429248809814
75,0.6598781943321228,3.0433473587036133
76,0.6520809531211853,2.7959444522857666
77,0.5736797451972961,2.93172287940979
78,0.6457082033157349,2.999945640563965
79,0.6396446228027344,3.1346211433410645
80,0.5847839713096619,2.993210792541504
81,0.6618022322654724,3.159978151321411
82,0.6184899806976318,2.791548490524292
83,0.5974257588386536,2.759913444519043
84,0.7513377666473389,3.4315056800842285
85,0.7514024376869202,3.40301251411438
86,0.5630103945732117,3.006174325942993
